Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Frisvold;16000;NOR;2003;2003;2003;2003;0;5;0;3;0;5;0;M61007;2003;2030;2030;x
Hansen;16001;NOR;2003;2003;2003;2100;1;5;0;2;0;5;0;;2003;2030;2030;x
Huitfeldt;16002;NOR;2003;2003;2003;2100;1;5;0;1;0;5;0;;2003;2030;2030;x
Dalhaug;16003;NOR;2003;2003;2003;2100;1;5;0;1;0;5;0;;2003;2030;2030;x
Sølvberg;16004;NOR;2003;2003;2100;2100;2;5;0;2;0;5;0;M61008;2003;2030;2030;x
Diesen;16005;NOR;2003;2003;2100;2100;2;5;0;1;0;5;0;M61036;2003;2030;2030;x
Johansen;16006;NOR;2003;2003;2100;2100;2;5;0;2;0;5;0;;2003;2030;2030;x
Brovold;16007;NOR;2003;2003;2100;2100;2;5;0;3;0;5;0;M61037;2003;2030;2030;x
Sunde;16008;NOR;2003;2003;2100;2100;2;5;0;5;0;5;0;;2003;2030;2030;x
Ludvigsen;16009;NOR;2003;2003;2100;2100;2;5;0;4;0;5;0;;2003;2030;2030;x
Hamang;16010;NOR;2003;2003;2100;2100;2;5;0;1;0;5;0;;2003;2030;2030;x
Skiaker;16011;NOR;2003;2003;2100;2100;2;5;0;2;0;5;0;;2003;2030;2030;x
Haugen;16012;NOR;2003;2003;2100;2100;2;5;0;1;0;5;0;;2003;2030;2030;x
Grandhagen;16013;NOR;2003;2003;2100;2100;2;5;0;1;0;5;0;;2003;2030;2030;x
Skare;16014;NOR;2003;2100;2100;2100;3;5;0;4;0;5;0;;2003;2030;2030;x
Mood;16015;NOR;2003;2100;2100;2100;3;5;0;1;0;5;0;M61038;2003;2030;2030;x
Anda;16016;NOR;2003;2100;2100;2100;3;5;0;4;0;5;0;;2003;2030;2030;x
Olstad;16017;NOR;2003;2100;2100;2100;3;5;0;1;0;5;0;;2003;2030;2030;x
Dahlberg;16018;NOR;2003;2100;2100;2100;3;5;0;2;0;5;0;;2003;2030;2030;x
Skjærpe;16019;NOR;2003;2100;2100;2100;3;5;0;4;0;5;0;M61039;2003;2030;2030;x
Berggrav;16020;NOR;2003;2003;2100;2100;2;5;0;1;0;5;1;;2003;2030;2030;x
Finseth;16021;NOR;2003;2003;2100;2100;2;5;0;2;0;5;1;M61009;2003;2030;2030;x
Sandbekk;16022;NOR;2003;2003;2100;2100;2;5;0;3;0;5;1;;2003;2030;2030;x
Grytting;16023;NOR;2003;2100;2100;2100;3;5;0;5;0;5;1;;2003;2030;2030;x
Osen;16024;NOR;2003;2100;2100;2100;3;5;0;3;0;5;1;;2003;2030;2030;x
Karlsvik;16025;NOR;2003;2100;2100;2100;3;5;0;1;0;5;1;;2003;2030;2030;x
Hansen S.;16026;NOR;2003;2003;2003;2100;1;5;0;3;0;5;2;;2003;2030;2030;x
Archer;16027;NOR;2003;2003;2003;2100;1;5;0;2;0;5;2;M61010;2003;2030;2030;x
Nodeland;16028;NOR;2003;2003;2100;2100;2;5;0;4;0;5;2;M61043;2003;2030;2030;x
Harilstad;16029;NOR;2003;2003;2100;2100;2;5;0;1;0;5;2;;2003;2030;2030;x
Jacobsen;16030;NOR;2003;2003;2100;2100;2;5;0;1;0;5;2;;2003;2030;2030;x
Kristiansen;16031;NOR;2003;2003;2100;2100;2;5;0;3;0;5;2;;2003;2030;2030;x
Løvbukten;16032;NOR;2003;2003;2100;2100;2;5;0;1;0;5;2;;2003;2030;2030;x
Nordby;16033;NOR;2003;2003;2100;2100;2;5;0;1;0;5;2;;2003;2030;2030;x
Rolland;16034;NOR;2003;2003;2100;2100;2;5;0;3;0;5;2;;2003;2030;2030;x
Amundsen;16035;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
Eriksen;16036;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Gulbrandsen;16037;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Gustavson;16038;NOR;2003;2100;2100;2100;3;5;0;3;0;5;2;;2003;2030;2030;x
Hannestad;16039;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Hauen;16040;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
Heiestad;16041;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Husebø;16042;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
Hustvedt;16043;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Karlsen;16044;NOR;2003;2100;2100;2100;3;5;0;3;0;5;2;;2003;2030;2030;x
Klever;16045;NOR;2003;2100;2100;2100;3;5;0;3;0;5;2;;2003;2030;2030;x
Knutsen;16046;NOR;2003;2100;2100;2100;3;5;0;3;0;5;2;;2003;2030;2030;x
Lunde;16047;NOR;2003;2100;2100;2100;3;5;0;4;0;5;2;;2003;2030;2030;x
Rikter-Svendsen;16048;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
Sandli;16049;NOR;2003;2100;2100;2100;3;5;0;2;0;5;2;;2003;2030;2030;x
Strandmann;16050;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
Strømnes;16051;NOR;2003;2100;2100;2100;3;5;0;1;0;5;2;;2003;2030;2030;x
