Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abbas;564000;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Aabbas;2003;2030;2030;x
Afzal;564001;PAK;2000;2000;2030;2030;2;9;132;3;0;5;0;Safzal;2003;2030;2030;x
Ahmad M.;564002;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Ahmad M.N.I.;564003;PAK;2000;2030;2030;2030;3;9;132;2;0;5;0;Unknown;2003;2030;2030;x
Ahmed M.;564004;PAK;2000;2030;2030;2030;3;9;4194312;3;0;5;0;Unknown;2003;2030;2030;x
Ahmed S.;564005;PAK;2000;2030;2030;2030;3;9;0;3;0;5;0;Unknown;2003;2030;2030;x
Ahmed W.;564006;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Ahsan;564007;PAK;2000;2000;2004;2030;1;9;132;3;0;5;0;Ashyat;2003;2030;2030;x
Akhtar;564008;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Akram S.;564009;PAK;2000;2000;2030;2030;2;9;0;2;0;5;0;Sakram;2003;2030;2030;x
Aleem;564010;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Ali L.;564011;PAK;2000;2030;2030;2030;3;9;1048576;2;0;5;0;Unknown;2003;2030;2030;x
Ali T.;564012;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Alvi;564013;PAK;2000;2000;2000;2030;3;9;256;2;0;5;0;Afalvi;2003;2008;2008;x#killed Nov 19 2008
Arshad;564014;PAK;2000;2000;2000;2030;3;9;132;2;0;5;0;Warshad;2003;2030;2030;x
Asghar M.;564015;PAK;2000;2000;2030;2030;2;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Aslam M.H.;564016;PAK;2000;2030;2030;2030;3;9;256;3;0;5;0;Unknown;2003;2030;2030;x
Aslam M.M.;564017;PAK;2000;2005;2030;2030;2;9;67108864;3;0;5;0;Maslam;2003;2030;2030;x
Awan;564018;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Iawan;2003;2030;2030;x
Bajwa;564019;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Bakhshi;564020;PAK;2000;2000;2030;2030;2;9;0;3;0;5;0;Iabakhshi;2003;2030;2030;x
Bilal;564021;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Chaudhry;564022;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Dar;564023;PAK;2000;2000;2030;2030;2;9;0;2;0;5;0;Szdar;2003;2030;2030;x
Ehsan;564024;PAK;2000;2001;2004;2030;1;9;0;3;0;5;0;M62506;2003;2030;2030;x
Ghani;564025;PAK;2000;2030;2030;2030;3;9;32;2;0;5;0;Unknown;2003;2030;2030;x
Haider;564026;PAK;2000;2000;2030;2030;2;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Hashmat;564027;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Hayat A.A.;564028;PAK;2000;2000;2030;2030;2;9;0;2;0;5;0;Aahayat;2003;2030;2030;x
Hussain K.;564029;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Khussain;2003;2030;2030;x
Hussain S.A.;564030;PAK;2000;2000;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Hussain S.W.;564031;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Hussain U.;564032;PAK;2000;2030;2030;2030;3;9;1;2;0;5;0;Unknown;2003;2030;2030;x
Iqbal A.;564033;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Iqbal M.F.;564034;PAK;2000;2030;2030;2030;3;9;1;2;0;5;0;Mfiqbal;2003;2030;2030;x
Iqbal S.;564035;PAK;2000;2000;2030;2030;2;9;0;2;0;5;0;Siqbal;2003;2030;2030;x
Islam;564036;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Jaffery;564037;PAK;2000;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Jamil;564038;PAK;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
