Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Aponte;240000;PAR;2003;2003;2003;2030;1;4;2;2;0;4;0;;2003;2040;2040;X
Ayala Queirolo;240001;PAR;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Baez Allende;240002;PAR;2003;2003;2030;2030;2;4;2;1;0;5;0;;2003;2040;2040;X
Belaieff;240003;PAR;2003;2003;2030;2030;2;5;2;1;0;5;0;;2003;2040;2040;X
Caballero Ayala;240004;PAR;2003;2003;2030;2030;3;3;64;1;0;5;0;;2003;2040;2040;X
Cabrera Leia;240005;PAR;2003;2030;2030;2030;3;4;0;0;0;5;0;;2003;2040;2040;X
Estigarribia;240008;PAR;2003;2003;2003;2003;0;9;20;5;0;5;0;;2003;2040;2040;X
Franco;240009;PAR;2003;2003;2030;2030;2;2;3;0;0;5;0;;2003;2040;2040;X
Irrazábal;240013;PAR;2003;2030;2030;2030;3;4;16;0;0;5;0;;2003;2040;2040;X
Lezcano;240014;PAR;2003;2003;2030;2030;2;4;128;1;0;4;0;;2003;2040;2040;X
Machuca;240015;PAR;2003;2003;2030;2030;3;5;0;1;0;5;0;;2003;2040;2040;X
Paiva;240019;PAR;2003;2030;2030;2030;3;4;1;0;0;5;0;;2003;2040;2040;X
Pampliega;240020;PAR;2003;1947;2030;2030;3;4;5;1;0;4;0;;2003;2040;2040;X
Rojas Rolon;240021;PAR;2003;2030;2030;2030;3;3;1;0;0;5;0;;2003;2040;2040;X
Rolon Vilasanti;240022;PAR;2003;2003;2030;2030;3;3;0;1;0;3;0;;2003;2040;2040;X
Sosa Valdez;240023;PAR;2003;2003;2030;2030;2;4;128;1;0;5;0;;2003;2040;2040;X
Stroessner Matiauda;240024;PAR;2003;2030;2030;2030;3;4;0;2;0;3;1;;2003;2040;2040;X
Aponte;240025;PAR;2003;2003;2003;2030;1;3;0;2;0;5;1;;2003;2040;2040;X
Chamorro Barcovich;240026;PAR;2003;2003;2030;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Marin Ybarrola;240027;PAR;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Acosta Araujo;240028;PAR;2003;2030;2030;2030;3;3;0;0;0;5;2;;2003;2040;2040;X
Almonacid;240029;PAR;2003;2003;2030;2030;2;5;8192;1;0;5;2;;2003;2040;2040;X
Palacios Franco;240033;PAR;2003;2030;2030;2030;3;3;0;0;0;5;2;;2003;2040;2040;X
Porfenenko;240034;PAR;2003;2030;2030;2030;3;5;4096;1;0;4;2;;2003;2040;2040;X
Rojas Baltassare;240035;PAR;2003;2003;2030;2030;2;4;0;1;0;4;2;;2003;2040;2040;X
