Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Gilardi;260005;PRU;2003;2030;2030;2030;3;4;0;0;0;5;0;;2003;2040;2040;X
Gonzalez y Leon;260006;PRU;2003;2030;2030;2030;3;5;2;0;0;5;0;;2003;2040;2040;X
Guabloche Rodrígues;260007;PRU;2003;2003;2030;2030;2;5;1;1;0;5;0;;2003;2040;2040;X
Heredia Montagne;260008;PRU;2003;2030;2030;2030;3;5;514;1;0;5;0;;2003;2040;2040;X
Huerta Pacheco;260009;PRU;2003;2030;2030;2030;3;4;1;0;0;4;0;;2003;2040;2040;X
Iglesias;260010;PRU;2003;2030;2030;2030;3;5;128;0;0;4;0;;2003;2040;2040;X
Jimenez Torribané;260011;PRU;2003;2003;2030;2030;2;5;2;1;0;3;0;;2003;2040;2040;X
Lopéz Trigoso;260012;PRU;2003;2030;2030;2030;3;6;256;0;0;3;0;;2003;2040;2040;X
Montagne Sanchez;260013;PRU;2003;2003;2030;2030;2;5;0;1;0;4;0;;2003;2040;2040;X
Perez Godoy;260020;PRU;2003;2003;1950;2030;1;5;256;2;0;3;0;;2003;2040;2040;X
Quesada Larrea;260021;PRU;2003;2030;2030;2030;3;4;2;0;0;5;0;;2003;2040;2040;X
Ramirez Ortiz;260022;PRU;2003;2030;2030;2030;3;4;0;0;0;3;0;;2003;2040;2040;X
Ramón Castillo;260023;PRU;2003;2003;2003;2030;1;6;513;1;0;4;0;;2003;2040;2040;X
Rodriguez Zabalbeascoa;260024;PRU;2003;2030;2030;2030;3;4;1;0;0;2;0;;2003;2040;2040;X
Reyes Tavera;260025;PRU;2003;2030;2030;2030;3;4;4;0;0;4;0;;2003;2040;2040;X
Velasco Astete;260031;PRU;2003;2003;2030;2030;2;6;128;1;0;5;0;;2003;2040;2040;X
Vinatea Ruiz;260032;PRU;2003;2030;2030;2030;3;5;32;0;0;4;0;;2003;2040;2040;X
Zubazoigoichea;260033;PRU;2003;2030;2030;2030;3;4;64;0;0;5;0;;2003;2040;2040;X
Carbayal Martinez;260034;PRU;2003;2003;2030;2030;2;4;2024;1;0;5;1;;2003;2040;2040;X
Jimenéz Pacheco;260035;PRU;2003;2030;2030;2030;3;4;0;0;0;5;1;;2003;2040;2040;X
Lindley Lopez;260036;PRU;2003;1950;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Mendoza Urribe;260037;PRU;2003;2030;2030;2030;3;4;2024;0;0;5;1;;2003;2040;2040;X
Navarreté la Prúel;260038;PRU;2003;2003;2030;2030;2;5;8192;1;0;5;1;;2003;2040;2040;X
Nieto;260039;PRU;2003;2030;2030;2030;3;4;0;0;0;5;1;;2003;2040;2040;X
Patiño Cruzatti;260040;PRU;2003;2003;2030;2030;3;5;8192;1;0;4;1;;2003;2040;2040;X
Poncé Diaz;260041;PRU;2003;2030;2030;2030;3;4;0;0;0;3;1;;2003;2040;2040;X
Roque Saldias;260042;PRU;2003;2003;2003;2030;1;5;0;2;0;3;1;;2003;2040;2040;X
Scroth;260043;PRU;2003;2030;2030;2030;3;5;0;0;0;4;1;;2003;2040;2040;X
Abelardo Quiñonés;260044;PRU;2003;2030;2030;2030;3;5;0;0;0;5;2;;2003;2040;2040;X
Benites Luna;260045;PRU;2003;2030;2030;2030;3;4;0;0;0;5;2;;2003;2040;2040;X
Campodonico;260046;PRU;2003;2003;2030;2030;2;5;0;1;0;5;2;;2003;2040;2040;X
Quesada Blanco;260051;PRU;2003;2003;2030;2030;3;5;32768;2;0;3;2;;2003;2040;2040;X
Secada Vigneta;260052;PRU;2003;2030;2030;2030;3;4;4096;0;0;5;2;;2003;2040;2040;X
Solano Ermendíaz;260053;PRU;2003;2003;2030;2030;3;5;16384;1;0;5;2;;2003;2040;2040;X
