Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Alano;430000;PHI;2003;2030;2030;2030;3;3;1;0;0;5;0;;2003;2040;2040;X
Arellano;430001;PHI;2003;2003;2030;2030;2;3;4;1;0;4;0;;2003;2040;2040;X
Capinpin;430002;PHI;2003;2003;2003;2030;1;4;32;1;0;5;0;;2003;2040;2040;X
Castañeda;430003;PHI;2003;2030;2030;2030;3;3;32;0;0;4;0;;2003;2040;2040;X
de Jesús;430004;PHI;2003;2003;2003;2030;1;5;20;2;0;4;0;;2003;2040;2040;X
Delos Reyes;430005;PHI;2003;2003;2030;2030;2;3;128;1;0;3;0;;2003;2040;2040;X
Dizon;430006;PHI;2003;2030;2030;2030;3;3;0;0;0;4;0;;2003;2040;2040;X
Duque;430007;PHI;2003;2030;2030;2030;3;3;2;0;0;5;0;;2003;2040;2040;X
Ebuen;430008;PHI;2003;2003;2030;2030;2;3;16;1;0;5;0;;2003;2040;2040;X
Evangelista;430009;PHI;2003;2030;2030;2030;3;3;128;0;0;5;0;;2003;2040;2040;X
Francisco;430010;PHI;2003;2003;2030;2030;2;3;0;0;0;5;0;;2003;2040;2040;X
Jalandoni;430011;PHI;2003;2030;2030;2030;3;4;4;0;0;5;0;;2003;2040;2040;X
Jurado;430012;PHI;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Lim;430013;PHI;2003;2003;2030;2030;2;3;1;1;0;5;0;;2003;2040;2040;X
Molina;430014;PHI;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Quezon;430017;PHI;2003;2003;2003;2030;1;3;0;0;0;5;0;;2003;2040;2040;X
Santos;430018;PHI;2003;2003;2030;2030;2;3;0;0;0;5;0;;2003;2040;2040;X
Segundo;430019;PHI;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Tan;430020;PHI;2003;2003;2003;2030;1;4;2;2;0;5;0;;2003;2040;2040;X
Valdez;430021;PHI;2003;2030;2030;2030;3;3;2;0;0;3;0;;2003;2040;2040;X
Vargas;430022;PHI;2003;2003;2030;2030;2;3;256;1;0;5;0;;2003;2040;2040;X
Alcaraz;430024;PHI;2003;2030;2030;2030;3;4;0;0;0;5;1;;2003;2040;2040;X
Andrada;430025;PHI;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Apolinario;430026;PHI;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Garcia;430027;PHI;2003;2003;2030;2030;3;4;0;1;0;5;1;;2003;2040;2040;X
Jurado;430028;PHI;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Mata;430029;PHI;2003;2030;2030;2030;3;3;0;0;0;4;1;;2003;2040;2040;X
Nuval;430030;PHI;2003;2003;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Orobia;430031;PHI;2003;2003;2030;2030;2;3;2024;0;0;2;1;;2003;2040;2040;X
Papa;430032;PHI;2003;2003;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Basa;430034;PHI;2003;2030;2030;2030;3;3;0;0;0;5;2;;2003;2040;2040;X
Cruz;430035;PHI;2003;2003;2030;2030;2;3;4096;1;0;5;2;;2003;2040;2040;X
Garcia;430036;PHI;2003;2030;2030;2030;3;3;8192;0;0;5;2;;2003;2040;2040;X
Gil;430037;PHI;2003;2030;2030;2030;3;3;0;0;0;3;2;;2003;2040;2040;X
Mata;430038;PHI;2003;2030;2030;2030;3;3;0;0;0;4;2;;2003;2040;2040;X
Pestana;430039;PHI;2003;2030;2030;2030;3;3;0;0;0;5;2;;2003;2040;2040;X
Rancudi;430040;PHI;2003;2003;2030;2030;2;4;0;1;0;4;2;;2003;2040;2040;X
Villamor;430042;PHI;2003;2030;2030;2030;3;3;131072;0;0;5;2;;2003;2040;2040;X
