Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Piatas;66500;POL;2003;2003;2003;2003;0;2;132;2;0;5;0;L66500;2003;2100;2100;X
Bieniek;66501;POL;2003;2003;2003;2100;0;3;260;3;0;5;0;L66501;2003;2100;2100;X
Cieniuch;66502;POL;2003;2003;2100;2100;0;2;0;2;0;5;0;L66502;2003;2100;2100;X
Ekiert;66503;POL;2003;2003;2005;2100;0;3;0;3;0;5;0;L66503;2003;2100;2100;X
Flis;66504;POL;2003;2003;2100;2100;0;1;0;1;0;5;0;L66504;2003;2100;2100;X
Konopka;66505;POL;2003;2003;2100;2100;0;2;8192;1;0;5;2;L66505;2003;2100;2100;X
Pietrzyk E.;66506;POL;2003;2003;2003;2100;0;2;64;2;0;5;0;L66506;2003;2100;2100;X
Tyszkiewicz;66507;POL;2003;2003;2004;2100;0;3;1;2;0;5;0;L66507;2003;2100;2100;X
Ameljanczyk;66508;POL;2003;2003;2100;2100;1;1;1;1;0;5;0;L66508;2003;2100;2100;X
Baran;66509;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66509;2003;2100;2100;X
Baranowski;66510;POL;2003;2003;2100;2100;1;1;0;1;0;5;0;L66510;2003;2100;2100;X
Buczynski;66511;POL;2003;2003;2100;2100;1;1;512;1;0;5;0;L66511;2003;2100;2100;X
Chyla;66512;POL;2003;2003;2100;2100;1;1;0;1;0;5;0;L66512;2003;2100;2100;X
Cieslik;66513;POL;2003;2003;2100;2100;1;2;0;2;0;5;0;L66513;2003;2100;2100;X
Czerwinski;66514;POL;2003;2003;2100;2100;1;2;132;2;0;5;0;L66514;2003;2100;2100;X
Dominikowski;66515;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66515;2003;2100;2100;X
Dziewiatka;66516;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66516;2003;2100;2100;X
Gagor;66517;POL;2003;2003;2005;2006;3;9;133;3;0;5;0;L66517;2003;2100;2100;X
Glowienka;66518;POL;2003;2003;2003;2100;1;2;2;2;0;5;0;L66518;2003;2100;2100;X
Iwaszkiewicz;66519;POL;2003;2003;2003;2100;1;1;512;1;0;5;2;L66519;2003;2100;2100;X
Jablonski;66520;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66520;2003;2100;2100;X
Juniec;66521;POL;2003;2003;2003;2100;1;1;1;1;0;5;0;L66521;2003;2100;2100;X
Krzywoszynski;66522;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66522;2003;2100;2100;X
Kubiak;66523;POL;2003;2003;2003;2100;1;2;0;2;0;5;0;L66523;2003;2100;2100;X
Lackner;66524;POL;2003;2003;2003;2100;1;2;132;2;0;5;0;L66524;2003;2100;2100;X
Mainda;66525;POL;2003;2003;2003;2100;1;2;2;2;0;5;0;L66525;2003;2100;2100;X
Makarewicz;66526;POL;2003;2003;2003;2100;1;2;128;1;0;5;0;L66526;2003;2100;2100;X
Pietrzyk A.;66527;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66527;2003;2100;2100;X
Samarcew;66528;POL;2003;2003;2003;2100;1;2;128;2;0;5;0;L66528;2003;2100;2100;X
Sasiadek;66529;POL;2003;2003;2003;2100;1;2;0;2;0;5;0;L66529;2003;2100;2100;X
Skarbowski;66530;POL;2003;2003;2003;2100;1;2;0;2;0;5;0;L66530;2003;2100;2100;X
Skrzypaczak;66531;POL;2003;2003;2006;2100;1;3;129;3;0;5;0;L66531;2003;2100;2100;X
Stachowiak;66532;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66532;2003;2100;2100;X
Stefaniak;66533;POL;2003;2003;2003;2100;1;1;0;1;0;5;0;L66533;2003;2100;2100;X
Tacik;66534;POL;2003;2003;2003;2100;1;2;32;2;0;5;0;L66534;2003;2100;2100;X
Balcerowicz;66535;POL;2003;2100;2100;2100;2;1;0;1;0;5;0;L66535;2003;2100;2100;X
Bortnowski;66536;POL;2003;2003;2100;2100;2;2;0;2;0;5;0;L66536;2003;2100;2100;X
