Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Alves Rocadas;45200;POR;2030;2030;2030;2030;2;4;576;1;0;4;0;;2030;2040;2040;X
Barcineio Pinto;45201;POR;2030;2030;2030;2030;1;4;514;1;0;3;0;;2030;2040;2040;X
Barros Rodrigues;45202;POR;2030;2030;2030;2030;2;5;4;1;0;5;0;;2030;2040;2040;X
Basto Goncalves;45203;POR;2030;2030;2030;2030;3;3;0;0;0;5;0;;2030;2040;2040;X
Borges Júnior;45204;POR;2030;2030;2030;2030;2;4;16;1;0;5;0;;2030;2040;2040;X
Botelho Moniz;45205;POR;2030;2030;2030;2030;2;3;0;1;0;5;0;;2030;2040;2040;X
Camara Pina;45206;POR;2030;2030;2030;2030;3;4;128;0;0;5;0;;2030;2040;2040;X
Carmona Fragosa;45207;POR;2030;2030;2030;2030;1;5;514;1;0;5;0;;2030;2040;2040;X
Carrilho;45208;POR;2030;2030;2030;2030;2;3;513;1;0;4;0;;2030;2040;2040;X
de Lucena;45217;POR;2030;2030;2030;2030;3;4;512;1;0;5;0;;2030;2040;2040;X
Domingues;45218;POR;2030;2030;2030;2030;1;4;768;1;0;4;0;;2030;2040;2040;X
Duarte Silva;45219;POR;2030;2030;2030;2030;3;4;0;0;0;5;0;;2030;2040;2040;X
Enes Ferreira;45220;POR;2030;2030;2030;2030;3;3;0;0;0;5;0;;2030;2040;2040;X
Ferreira Silva Couto Júnior;45221;POR;2030;2030;2030;2030;3;3;128;0;0;5;0;;2030;2040;2040;X
Freiria;45222;POR;2030;2030;2030;2030;3;4;64;1;0;5;0;;2030;2040;2040;X
Freitas;45223;POR;2030;2030;2030;2030;2;5;128;1;0;4;0;;2030;2040;2040;X
Garcia Rosado;45224;POR;2030;2030;2030;2030;3;5;516;1;0;5;0;;2030;2040;2040;X
Ivens Ferraz;45225;POR;2030;2030;2030;2030;3;4;128;0;0;5;0;;2030;2040;2040;X
Kaúlza Arriaga;45226;POR;2030;2030;2030;2030;2;5;0;2;0;5;0;;2030;2040;2040;X
Lima Viera;45227;POR;2030;2030;2030;2030;3;4;2;0;0;5;0;;2030;2040;2040;X
Lobato Guerra;45228;POR;2030;2030;2030;2030;2;5;2;1;0;5;0;;2030;2040;2040;X
Lopes;45229;POR;2030;2030;2030;2030;3;4;0;2;0;5;0;;2030;2040;2040;X
Monteiro Barras;45236;POR;2030;2030;2030;2030;2;3;0;1;0;4;0;;2030;2040;2040;X
