Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Frunzeti;12000;ROM;2003;2003;2003;2030;1;9;0;3;0;5;0;ROM001;2003;2030;2030;x
Bahnareanu;12001;ROM;2003;2003;2003;2030;1;8;512;1;0;5;0;ROM002;2003;2030;2030;x
Neagoe;12002;ROM;2003;2003;2030;2030;2;7;0;1;0;5;0;ROM003;2003;2030;2030;x
Ghica-Radu;11003;ROM;2003;2003;2030;2030;2;7;32;1;0;5;0;ROM004;2003;2030;2030;x
Roman;12004;ROM;2003;2003;2030;2030;2;8;128;2;10;5;0;ROM005;2003;2030;2030;x
Grecu;12005;ROM;2003;2003;2030;2030;2;5;0;1;0;5;0;ROM006;2003;2030;2030;x
Pinete;12006;ROM;2003;2003;2030;2030;2;5;0;1;0;5;0;ROM007;2003;2030;2030;x
Toader;12007;ROM;2003;2030;2030;2030;3;5;256;2;10;5;0;ROM008;2003;2030;2030;x
Ciungu;12008;ROM;2003;2030;2030;2030;3;4;1;1;0;5;0;ROM009;2003;2030;2030;x
Cojocaru;12009;ROM;2003;2030;2030;2030;3;4;0;1;0;5;0;ROM010;2003;2030;2030;x
Toma;12010;ROM;2003;2030;2030;2030;3;4;0;1;10;5;0;ROM011;2003;2030;2030;x
Ioan;12011;ROM;2003;2030;2030;2030;3;4;0;1;0;5;0;ROM012;2003;2030;2030;x
Tonea;12012;ROM;2003;2030;2030;2030;3;4;0;1;0;5;0;ROM013;2003;2030;2030;x
Dinulica;12013;ROM;2003;2030;2030;2030;3;3;0;1;0;5;0;ROM014;2003;2030;2030;x
Danila;12014;ROM;2003;2030;2030;2030;2;7;0;2;3;5;1;ROM015;2003;2030;2030;x
Petria;12015;ROM;2003;2003;2030;2030;3;6;0;1;0;5;1;ROM016;2003;2030;2030;x
Popescu;12016;ROM;2003;2003;2030;2030;3;6;0;1;0;5;1;ROM017;2003;2030;2030;x
Rusmanica;12017;ROM;2003;2030;2030;2030;3;5;0;1;0;5;1;ROM018;2003;2030;2030;x
Valsan;12018;ROM;2003;2030;2030;2030;3;3;0;1;0;5;1;ROM019;2003;2030;2030;x
Croitoru;12019;ROM;2003;2003;2003;2030;1;7;0;2;5;5;2;ROM020;2003;2030;2030;x
Maftei;12030;ROM;2003;2003;2003;2030;1;5;512;1;0;5;2;ROM021;2003;2030;2030;x
Carnu;12021;ROM;2003;2003;2030;2030;2;5;0;1;0;5;2;ROM022;2003;2030;2030;x
Stefan;12022;ROM;2003;2003;2030;2030;2;4;0;1;0;5;2;ROM023;2003;2030;2030;x
Nicolae;12023;ROM;2003;2003;2030;2030;2;3;0;1;0;5;2;ROM024;2003;2030;2030;x
Ristea;12024;ROM;2003;2030;2030;2030;3;4;0;1;0;5;2;ROM025;2003;2030;2030;x
Tataru;12025;ROM;2003;2030;2030;2030;3;3;0;1;0;5;2;ROM026;2003;2030;2030;x
Avram;12026;ROM;2003;2030;2030;2030;3;3;0;1;0;5;2;ROM027;2003;2030;2030;x
Simionescu;12027;ROM;2003;2030;2030;2030;3;3;0;1;0;5;2;ROM028;2003;2030;2030;x
Buciuman;12028;ROM;2003;2030;2030;2030;3;3;0;1;0;5;2;ROM029;2003;2030;2030;x
