Name;ID;Country;Rank3Year;Rank2Year;Rank1Year;Rank0Year;IdealRank;MaxSkill;Traits;Skill;Experience;Loyalty;Type;Picture;StartYear;EndYear;Retirement Year;X
Grebeniuk;69000;RUS;2003;2003;2003;2003;0;2;5;2;0;5;0;L69000;2003;2020;2020;X
Sergeyev;69001;RUS;2003;2003;2003;2003;0;3;80;3;0;5;0;L69001;2003;2020;2020;X
Grachev ;69002;RUS;2003;2003;2003;2003;0;2;0;2;0;5;0;L69002;2003;2030;2030;x
Kvashnin;69003;RUS;2003;2003;2003;2003;0;2;0;2;0;5;0;L69003;2003;2030;2030;x
Baluevskiy;69004;RUS;2003;2003;2003;2003;0;2;132;2;0;5;0;L69004;2003;2030;2030;x
Efremov;69005;RUS;2003;2003;2003;2003;0;1;0;1;0;5;0;L69005;2003;2030;2030;x
Dvorkin;69006;RUS;2003;2003;2003;2003;0;2;3;2;0;5;0;L69006;2003;2030;2030;x
Yakubov;69007;RUS;2003;2003;2003;2003;0;2;1;2;0;5;0;L69007;2003;2030;2030;x
Boldyrev;69008;RUS;2003;2003;2003;2003;0;1;0;1;0;5;0;L69008;2003;2030;2030;x
Bihzov;69009;RUS;2003;2003;2003;2100;1;2;0;2;0;5;0;L69009;2003;2030;2030;x
Maslin;69010;RUS;2003;2003;2003;2100;1;3;2;3;0;5;0;L69010;2003;2030;2030;x
Moltensko;69011;RUS;2003;2003;2003;2100;1;3;0;3;0;5;0;L69011;2003;2030;2030;x
Valynkin;69012;RUS;2003;2003;2003;2100;1;2;0;2;0;5;0;L69012;2003;2030;2030;x
Kormiltsev;69013;RUS;2003;2003;2003;2100;1;1;4;1;0;5;0;L69013;2003;2030;2030;x
Manilov;69014;RUS;2003;2003;2003;2100;1;2;0;2;0;5;0;L69014;2003;2030;2030;x
Solovtsov;69015;RUS;2003;2003;2003;2100;1;1;0;1;0;5;0;L69015;2003;2030;2030;x
Labutin;69016;RUS;2003;2003;2003;2100;1;1;8;1;0;5;0;L69016;2003;2030;2030;x
Kosovan;69017;RUS;2003;2003;2003;2100;1;2;0;2;0;5;0;L69017;2003;2030;2030;x
Puzanov;69018;RUS;2003;2003;2003;2100;1;2;2;2;0;5;0;L69018;2003;2030;2030;x
Kholstov;69019;RUS;2003;2003;2100;2100;2;2;4;2;0;5;0;L69019;2003;2030;2030;x
Kortelainen;69020;RUS;2003;2003;2100;2100;2;2;64;2;0;5;0;L69020;2003;2030;2030;x
Pronomariov;69021;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69021;2003;2030;2030;x
Prilukov;69022;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69022;2003;2030;2030;x
Sumilichin;69023;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69023;2003;2030;2030;x
Borisov;69024;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69024;2003;2030;2030;x
Batyrov;69025;RUS;2003;2003;2100;2100;2;2;17;2;0;5;0;L69025;2003;2030;2030;x
Skorodumov;69026;RUS;2003;2003;2100;2100;2;1;0;1;0;5;0;L69026;2003;2030;2030;x
Mirzazyanov;69027;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69027;2003;2030;2030;x
Bulgakov;69028;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69028;2003;2030;2030;x
Maslov;69029;RUS;2003;2003;2100;2100;2;2;0;2;0;5;0;L69029;2003;2030;2030;x
Lezin;69030;RUS;2003;2003;2100;2100;2;1;2;1;0;5;0;L69030;2003;2030;2030;x
Evstafiev;69031;RUS;2003;2003;2100;2100;2;1;5;1;0;5;0;L69031;2003;2030;2030;x
