Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abdul al Saud;290000;SAU;2003;2003;2003;2003;0;2;1;2;0;5;0;;2003;2040;2040;X
al Jaballah;290001;SAU;2003;2030;2030;2030;3;3;16;1;0;5;0;;2003;2040;2040;X
Faisal al Saud;290006;SAU;2003;2003;2030;2030;2;2;1;2;0;5;0;;2003;2040;2040;X
Hamdi;290007;SAU;2003;2003;2030;2030;2;4;514;1;0;5;0;;2003;2040;2040;X
Jameel;290008;SAU;2003;2003;2003;2030;2;3;1;2;0;5;0;;2003;2040;2040;X
Kemal;290009;SAU;2003;2003;2030;2030;2;3;0;1;0;5;0;;2003;2040;2040;X
Khalid al Saud;290010;SAU;2003;2030;2030;2030;3;2;1;2;0;5;0;;2003;2040;2040;X
Rafi Reiss;290016;SAU;2003;2030;2030;2030;3;4;0;0;0;5;1;;2003;2040;2040;X
Saleem;290017;SAU;2003;2003;2003;2030;2;4;0;1;0;5;1;;2003;2040;2040;X
Saud al Saud;290018;SAU;2003;2003;2003;2030;1;2;0;0;0;5;1;;2003;2040;2040;X
Shaikh;290019;SAU;2003;2003;2030;2030;3;3;0;1;0;5;1;;2003;2040;2040;X
Jameel;290028;SAU;2003;2003;2030;2030;2;2;0;1;0;5;2;;2003;2040;2040;X
Abu Khadar;290029;SAU;2003;2030;2030;2030;3;2;0;0;0;5;2;;2003;2040;2040;X
Shaikh;290033;SAU;2003;2003;2030;2030;3;3;0;1;0;5;2;;2003;2040;2040;X
