Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Chevallaz;79520;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79520;2003;2030;2030;x
Grünig;79521;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79521;2003;2030;2030;x
Staffelbach;79522;SCH;2003;2030;2030;2030;2;4;0;0;0;5;0;L79522;2003;2030;2030;x
Wüthrich;79523;SCH;2003;2030;2030;2030;2;4;2;1;0;5;0;L79523;2003;2030;2030;x
Fisch;79524;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79524;2003;2030;2030;x
Favre;79525;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79525;2003;2030;2030;x
Lier;79526;SCH;2003;2030;2030;2030;2;4;256;0;0;5;0;L79526;2003;2030;2030;x
Duc;79527;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79527;2003;2030;2030;x
Nef;79528;SCH;2003;2030;2030;2030;2;4;128;0;0;5;0;L79528;2003;2030;2030;x
Willy;79529;SCH;2003;2030;2030;2030;2;4;0;2;0;5;0;L79529;2003;2030;2030;x
Roubaty;79530;SCH;2003;2030;2030;2030;2;4;0;1;0;5;0;L79530;2003;2030;2030;x
Corminboeuf;79531;SCH;2003;2003;2030;2030;2;4;0;1;0;5;0;L79531;2003;2030;2030;x
Hofmeister;79532;SCH;2003;2003;2030;2030;2;4;0;2;0;5;0;L79532;2003;2030;2030;x
Christen;79533;SCH;2003;2003;2030;2030;2;4;0;0;0;5;0;L79533;2003;2030;2030;x
Stutz;79534;SCH;2003;2003;2030;2030;2;4;0;1;0;5;0;L79534;2003;2030;2030;x
Fellay;79535;SCH;2003;2003;2003;2030;2;4;0;1;0;5;0;L79535;2003;2030;2030;x
