Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Andric;71001;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Bandric;2008;2030;2030;x
Avric;71002;SER;2008;2030;2030;2030;3;9;1;1;0;5;0;Davric;2008;2030;2030;x
Bjelica;71003;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Mbjelica;2008;2030;2030;x
Brankovic;71004;SER;2008;2030;2030;2030;3;9;0;2;0;5;0;Cbrankovic;2008;2030;2030;x
Celic;71005;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Djcelic;2008;2030;2030;x
Djordjevic;71006;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Sdjordjevic;2008;2030;2030;x
Fezer;71007;SER;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Jelisavcic;71008;SER;2003;2030;2030;2030;3;9;16;2;0;5;0;Zjelisavcic;2003;2030;2030;x
Jondic;71009;SER;2008;2030;2030;2030;3;9;0;2;0;5;0;Vjondic;2008;2030;2030;x
Jovanovic;71010;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Djovanovic;2008;2030;2030;x
Karajovic;71011;SER;2000;2003;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Kolundzija;71012;SER;2005;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2005;2030;2030;x
Kovac M.;71013;SER;2008;2030;2030;2030;1;9;4;3;0;5;0;Mitarkovac;2008;2030;2030;x
Kovac S.;71014;SER;2003;2030;2030;2030;3;9;16;1;0;5;0;Svetkokovac;2003;2030;2030;x
Lakcevic;71015;SER;2003;2030;2030;2030;3;9;0;2;0;5;0;Jlakcevic;2003;2030;2030;x
Lazarevic;71016;SER;2000;2002;2030;2030;1;9;0;2;0;5;0;Vlazarevic;2003;2010;2010;X
Miladinovic;71017;SER;2000;2003;2030;2030;2;9;0;3;0;5;0;Mmiladinovic;2003;2030;2030;x
Milosavljevic;71018;SER;2003;2030;2030;2030;3;9;0;1;0;5;0;Dmilosavljevic;2003;2030;2030;x
Momcilovic;71019;SER;2000;2003;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Mucibabic;71020;SER;2003;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Paskas;71021;SER;2000;2003;2030;2030;2;9;2;2;0;5;0;Dpaskas;2003;2011;2011;X
Pavlovic;71022;SER;2008;2030;2030;2030;3;9;1;1;0;5;0;Ppavlovic;2008;2030;2030;x
Peric;71023;SER;2004;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2004;2030;2030;x
Petrovic;71024;SER;2008;2030;2030;2030;1;9;0;1;0;5;0;Djpetrovic;2008;2030;2030;x
Ponos;71025;SER;2003;2006;2030;2030;2;9;20;3;0;5;0;Zponos;2003;2030;2030;x
Radovanovic;71026;SER;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Simovic;71027;SER;2008;2030;2030;2030;2;9;0;2;0;5;0;Msimovic;2008;2030;2030;x
Stanimirovic;71028;SER;2004;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2004;2030;2030;x
Stefanovic;71029;SER;2000;2003;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Stojiljkovic;72030;SER;2003;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Stojkovic;71031;SER;2004;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2004;2030;2030;x
Terzic;71032;SER;2008;2030;2030;2030;3;9;0;2;0;5;0;Zterzic;2008;2030;2030;x
Todorov;71033;SER;2008;2030;2030;2030;3;9;256;3;0;5;0;Itodorov;2008;2030;2030;x
Todorovic Lj.;71034;SER;2004;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2004;2030;2030;x
Todorovic V.;71035;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Vtodorovic;2008;2030;2030;x
Trkulja;71036;SER;2004;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2004;2030;2030;x
Vojinovic;71037;SER;2000;2004;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2010;2010;x
Vuruna;71038;SER;2008;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2008;2030;2030;x
Zivkovic;71039;SER;2008;2030;2030;2030;2;9;0;2;0;5;0;Unknown;2008;2030;2030;x
Zaric;71040;SER;2003;2007;2030;2030;2;9;0;1;16;5;0;Mzaric;2003;2030;2030;x
Zivanovic;71041;SER;2003;2030;2030;2030;3;9;0;2;0;5;0;Dzivanovic;2003;2030;2030;x
Bulatovic;71042;SER;2003;2030;2030;2030;3;9;0;1;0;5;1;Rbulatovic;2003;2030;2030;x
Grbavac;71043;SER;2003;2030;2030;2030;3;9;0;1;0;5;1;Jgrbavac;2003;2030;2030;x
Grujic;71044;SER;2000;2003;2030;2030;2;9;0;1;0;5;1;Unknown;2003;2030;2030;x
Samardzic;71045;SER;2003;2008;2030;2030;2;9;0;2;0;5;1;Dsamardzic;2003;2030;2030;x
