Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Jan Durove;70000;SLO;2000;2000;2030;2030;2;5;0;2;0;5;0;unknown;2000;2030;2030;x
Leopold Bilcík;70001;SLO;2000;2000;2030;2030;2;4;2;2;0;3;0;unknown;2000;2030;2030;x
Emil Vestenicky;70002;SLO;2000;2000;2030;2030;2;5;32;2;0;5;0;unknown;2000;2030;2030;x
Rudolf Žídek;70004;SLO;2000;2000;2030;2030;2;5;4;1;0;3;0;unknown;2000;2030;2030;x
Frantisek Blanarik;70006;SLO;2000;2000;2030;2030;2;5;32;1;0;3;0;L70006;2000;2030;2030;x
Milan Cerovsky;70007;SLO;2000;2000;2030;2030;2;5;1;3;0;4;0;L70007;2000;2030;2030;x
Jan Èmilansky;70008;SLO;2000;2000;2030;2030;2;5;128;2;0;5;0;unknown;2000;2030;2030;x
Milan Podhorani;70009;SLO;2000;2000;2030;2030;3;4;0;1;0;4;0;unknown;2000;2030;2030;x
Jozef Pivarèi;70010;SLO;2000;2000;2030;2030;2;6;0;2;0;5;2;L70010;2000;2030;2030;x
Frantisek Butko;70011;SLO;2000;2000;2030;2030;2;6;16;1;0;4;0;unknown;2000;2030;2030;x
Gaspar Hozman;70012;SLO;2000;2000;2030;2030;2;5;3;3;0;5;0;unknown;2000;2030;2030;x
Marián Mikluš;70014;SLO;2000;2000;2030;2030;2;4;11;3;0;5;0;L70014;2000;2030;2030;x
Oto Necas;70015;SLO;2000;2000;2030;2030;2;7;4;2;0;5;0;L70015;2000;2030;2030;x
Ondrej Samas;70016;SLO;2000;2000;2030;2030;2;6;0;1;0;4;0;unknown;2000;2030;2030;x
Alojz Siro;70017;SLO;2000;2000;2030;2030;2;5;2;2;0;4;0;unknown;2000;2030;2030;x
Jozef Blizman;70019;SLO;2000;2000;2030;2030;2;4;514;3;0;5;0;unknown;2000;2030;2030;x
Igor Èombor;70020;SLO;2000;2000;2030;2030;2;5;0;2;0;5;0;L70020;2000;2030;2030;x
Jozef Zadžora;70021;SLO;2000;2000;2030;2030;2;4;0;1;0;5;0;unknown;2000;2030;2030;x
Lubomír Bulík;70022;SLO;2000;2000;2030;2030;2;4;0;3;0;5;0;L70022;2000;2030;2030;x
Jozef Dunaj;70024;SLO;2000;2000;2030;2030;2;4;16384;2;0;4;2;L70024;2000;2030;2030;x
Dušan Humený;70025;SLO;2000;2000;2030;2030;2;6;516;1;0;5;0;unknown;2000;2030;2030;x
Peter Novotòák;70027;SLO;2000;2000;2030;2030;2;5;4;2;0;5;0;unknown;2000;2030;2030;x
Ján Kaèmár;70028;SLO;2000;2030;2030;2030;3;5;0;2;0;5;0;L70028;2000;2030;2030;x
Milan Maxim;70029;SLO;2000;2030;2030;2030;3;5;0;2;0;5;0;L70029;2000;2030;2030;x
Vladimír Púèik;70030;SLO;2000;2030;2030;2030;3;5;0;2;0;5;0;L70030;2000;2030;2030;x
Peter Gajdos;70031;SLO;2003;2030;2030;2030;3;5;64;2;0;5;0;unknown;2003;2030;2030;x
Lubomír Haberl;70032;SLO;2003;2030;2030;2030;3;5;0;1;0;5;0;unknown;2003;2030;2030;x
František Bartko;70033;SLO;2004;2030;2030;2030;3;5;0;2;0;5;0;unknown;2004;2030;2030;x
Miroslav Kovác;70034;SLO;2003;2030;2030;2030;3;5;160;3;0;5;0;L70034;2003;2030;2030;x
Jaroslav Kuèa;70035;SLO;2003;2030;2030;2030;3;5;2;3;0;5;0;L70035;2003;2030;2030;x
Mikulás Regula;70036;SLO;2003;2030;2030;2030;3;5;32;1;0;5;0;L70036;2003;2030;2030;x
Jaroslav Vyvlek;70037;SLO;2003;2030;2030;2030;3;5;0;2;0;5;0;unknown;2003;2030;2030;x
Juraj Baránek;70038;SLO;2003;2030;2030;2030;3;5;0;3;0;5;2;L70038;2003;2030;2030;x
Vendelín Leitner;70039;SLO;2005;2030;2030;1990;3;5;0;2;0;5;0;unknown;2005;2030;2030;x
Stanislav Petrenec;70040;SLO;2005;2030;2030;2030;3;5;128;2;0;5;0;L70040;2005;2030;2030;x
Pavol Maslík;70041;SLO;2006;2030;2030;2030;3;5;256;2;0;5;0;unknown;2006;2030;2030;x
Štefan Mecár;70042;SLO;2006;2030;2030;2030;3;5;16;1;0;5;0;unknown;2006;2030;2030;x
Jaroslav Muríò;70043;SLO;2006;2030;2030;2030;3;5;0;1;0;5;0;unknown;2006;2030;2030;x
Ján Salaganiè;70044;SLO;2006;2030;2030;2030;3;5;32;2;0;5;0;L70044;2006;2030;2030;x
