Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Ladislav Lipic;73501;SLV;2003;2003;2015;2030;0;9;19;2;20;5;0;L73501;2003;2199;2199;X
Renato Petric;73502;SLV;2003;2011;2015;2030;0;9;0;1;10;5;1;L73502;2003;2199;2199;X
Jozef Zunkovic;73503;SLV;2003;2011;2015;2030;0;9;81920;1;10;5;2;L73503;2003;2199;2199;X
Albin Gutman;73504;SLV;2003;2003;2003;2030;0;9;104;3;30;5;0;L73504;2003;2199;2199;X
Alojz Jehart;73505;SLV;2003;2015;2015;2030;1;9;16;1;10;5;0;L73505;2003;2199;2199;X
Alojz Steiner;73506;SLV;2003;2015;2015;2030;2;9;1;1;10;5;0;L73506;2003;2199;2199;X
Alojz Zavrsnik;73507;SLV;2003;2015;2015;2030;2;9;262272;1;10;5;0;L73507;2003;2199;2199;X
Anton Turk;73508;SLV;2003;2015;2015;2030;2;9;32;1;10;5;0;L73508;2003;2199;2199;X
Bogdan Beltram;73509;SLV;2003;2015;2015;2030;2;9;262720;1;10;5;0;L73509;2003;2199;2199;X
Bojan Suligoj;73510;SLV;2003;2015;2015;2030;2;9;513;1;10;5;0;L73510;2003;2199;2199;X
Janez Kavar;73511;SLV;2003;2015;2015;2030;2;9;2;1;10;5;0;L73511;2003;2199;2199;X
Viktor Kranjc;73512;SLV;2003;2015;2015;2030;2;9;256;1;10;5;0;L73512;2003;2199;2199;X
Anron Krkovic;73513;SLV;2003;2015;2015;2030;2;9;272;1;10;5;0;L73513;2003;2199;2199;X
Miran Bogataj;73514;SLV;2003;2015;2015;2030;2;9;513;1;10;5;0;L73514;2003;2199;2199;X
Peter Zupan;73515;SLV;2003;2015;2015;2030;2;9;4;1;10;5;0;L73515;2003;2199;2199;X
Rade Klisaric;73516;SLV;2003;2015;2015;2030;2;9;128;1;10;5;0;L73516;2003;2199;2199;X
Iztok Podbregar;73517;SLV;2003;2003;2003;2030;0;9;256;3;30;5;0;L73517;2003;2199;2199;X
