Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abdullahi Omar;1033000;SOM;2003;2003;2030;2030;2;5;4096;1;0;5;2;;2003;2090;2090;X
Ismail Qassim Naji;1033001;SOM;2003;2003;2003;2030;1;7;6;3;0;5;0;;2003;2090;2090;X
Barre Shire Hirrale;1033002;SOM;2003;2030;2030;2030;3;7;131072;3;0;5;2;;2003;2090;2090;X
Ali Hassan Loyaan;1033003;SOM;2003;2030;2030;2030;3;8;164;4;0;5;0;;2003;2090;2090;X
Abdullahi Sheikh Fara-Tag;1033004;SOM;2003;2003;2030;2030;2;7;8;3;0;5;0;;2003;2090;2090;X
Muktar hussein Afrah;1033005;SOM;2003;2003;2003;2030;1;6;256;2;0;5;0;;2003;2090;2090;X
Aden Muhamud ;1033006;SOM;2003;2003;2030;2030;2;8;1;4;0;5;0;;2003;2090;2090;X
Said Mohamed Hirsi;1033007;SOM;2003;2003;2003;2003;0;6;0;2;0;5;1;;2003;2090;2090;X
Ibarahim Batari;1033008;SOM;2003;2030;2030;2030;3;7;132;3;0;5;0;;2003;2090;2090;X
Abdirisak Afgadud;1033009;SOM;2003;2003;2030;2030;2;8;69632;4;0;5;2;;2003;2090;2090;X
Omar Jees;1033010;SOM;2003;2003;2030;2030;2;6;131072;2;0;5;2;;2003;2090;2090;X
Hassan Shatigadud;1033011;SOM;2003;2003;2030;2030;2;7;260;3;0;5;0;;2003;2090;2090;X
Mohamed Habeeb;1033012;SOM;2003;2003;2030;2030;2;6;8;2;0;5;0;;2003;2090;2090;X
Muse Hirsi;1033013;SOM;2003;2003;2030;2030;2;7;3;3;0;5;0;;2003;2090;2090;X
