Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Sang-Hee ;75501;KOR;2003;2003;2003;2003;0;5;0;2;0;5;0;L75501;2003;2030;2030;x
Jong-Hwan;75502;KOR;2003;2003;2003;2003;0;5;1;2;0;5;0;L75502;2003;2030;2030;x
Shin;75503;KOR;2003;2003;2003;2003;0;5;0;2;0;5;0;L75503;2003;2030;2030;x
Kil;75504;KOR;2003;2003;2003;2003;0;5;0;3;0;5;0;L75504;2003;2030;2030;x
Ho;75505;KOR;2003;2003;2003;2003;0;5;8192;2;0;5;2;L75505;2003;2030;2030;x
Nam;75506;KOR;2003;2003;2003;2003;0;5;3;1;0;5;0;L75506;2003;2030;2030;x
Jin;75507;KOR;2003;2003;2003;2003;0;5;1;1;0;5;0;L75507;2003;2030;2030;x
Sup;75508;KOR;2003;2003;2003;2003;0;5;0;2;0;5;0;L75508;2003;2030;2030;x
Sung-il;75509;KOR;2003;2003;2003;2003;0;5;16384;3;0;5;2;L75509;2003;2030;2030;x
Ho;75510;KOR;2003;2003;2003;2003;0;5;4096;2;0;5;2;L75510;2003;2030;2030;x
Lip;75511;KOR;2003;2003;2003;2030;1;5;4096;3;0;5;2;L75511;2003;2030;2030;x
Do;75512;KOR;2003;2003;2003;2030;1;5;0;3;0;5;2;L75512;2003;2030;2030;x
Shin-il;75513;KOR;2003;2003;2003;2030;1;5;5;3;0;5;0;L75513;2003;2030;2030;x
Jae;75514;KOR;2003;2003;2003;2003;0;5;2;3;0;5;0;L75514;2003;2030;2030;x
Jung-il;75515;KOR;2003;2003;2003;2030;1;5;2048;2;0;5;1;L75515;2003;2030;2030;x
Chung-Kil;75516;KOR;2003;2003;2003;2003;0;5;4096;2;0;5;1;L75516;2003;2030;2030;x
Hyun-Jung;75517;KOR;2003;2030;2030;2030;1;5;4096;3;0;5;2;L75517;2003;2030;2030;x
Jinho;75518;KOR;2003;2030;2030;2030;3;5;0;2;0;5;0;L75518;2003;2030;2030;x
Taegyu;75519;KOR;2003;2030;2030;2030;3;5;288;3;0;5;0;L75519;2003;2030;2030;x
Ha;75520;KOR;2003;2030;2030;2030;3;5;256;3;0;5;0;L75520;2003;2030;2030;x
R. Jae;75521;KOR;2003;2030;2030;2030;3;5;1;2;0;5;0;L75521;2003;2030;2030;x
Yung;75522;KOR;2003;2003;2003;2030;1;5;1;3;0;5;0;L75522;2003;2030;2030;x
Rhew;75523;KOR;2003;2003;2003;2030;1;5;256;1;0;5;0;L75523;2003;2030;2030;x
Sik;75524;KOR;2003;2003;2003;2030;1;5;4;4;0;5;0;L75524;2003;2030;2030;x
Song;75525;KOR;2003;2030;2030;2030;2;5;256;2;0;5;0;L75525;2003;2030;2030;x
Kim;75526;KOR;2003;2003;2030;2030;2;5;2024;3;0;5;1;L75526;2003;2030;2030;x
Sung-Choo;75527;KOR;2003;2003;2030;2030;2;5;0;2;0;5;0;L75527;2003;2030;2030;x
Ji-Doo;75528;KOR;2003;2003;2003;2030;1;5;0;2;0;5;1;L75528;2003;2030;2030;x
 Jin-Gyu;75529;KOR;2003;2003;2030;2030;2;5;2024;2;0;5;1;L75529;2003;2030;2030;x
Hae-il;75530;KOR;2003;2003;2003;2003;0;5;12288;2;0;5;1;L75530;2003;2030;2030;x
Hiromichi;75531;KOR;2003;2003;2030;2030;2;5;0;1;0;5;0;L75531;2003;2030;2030;x
Hwa;75532;KOR;2003;2030;2030;2030;3;5;0;1;0;5;2;L75532;2003;2030;2030;x
Kyung;75533;KOR;2003;2030;2030;2030;3;5;0;1;0;5;2;L75533;2003;2030;2030;x
Nae;75534;KOR;2003;2030;2030;2030;3;5;0;2;0;5;2;L75534;2003;2030;2030;x
Young-Hoo;75535;KOR;2003;2003;2030;2030;1;5;0;3;0;5;0;L75535;2003;2030;2030;x
Whan;75536;KOR;2003;2030;2030;2030;3;5;0;1;0;5;2;L75536;2003;2030;2030;x
Lee;75537;KOR;2003;2003;2003;2003;0;5;0;3;0;5;0;L75537;2003;2030;2030;x
Dae-Hyun;75538;KOR;2003;2030;2030;2030;3;5;0;3;0;5;2;L75538;2003;2030;2030;x
Kainuma;75539;KOR;2003;2030;2030;2030;3;5;0;3;0;5;0;L75539;2003;2030;2030;x
Oh;75540;KOR;2003;2003;2030;2030;2;5;0;2;0;5;1;L75540;2003;2030;2030;x
Seo-gi ;75541;KOR;2003;2030;2030;2030;3;5;0;3;0;5;0;L75541;2003;2030;2030;x
Sung-sook;75542;KOR;2003;2003;2030;2030;2;5;0;1;0;5;0;L75542;2003;2030;2030;x
Dae-Young;75543;KOR;2003;2030;2030;2030;3;5;256;4;0;5;0;L75543;2003;2030;2030;x
Se-Hwan;75544;KOR;2003;2003;2030;2030;1;5;0;2;0;5;0;L75544;2003;2030;2030;x
Dae-Cheol;75545;KOR;2003;2030;2030;2030;3;5;1;1;0;5;0;L75545;2003;2030;2030;x
Tae-Kyeong;75546;KOR;2003;2030;2030;2030;3;5;4;3;0;5;0;L75546;2003;2030;2030;x
Myungkoo;75547;KOR;2003;2030;2030;2030;3;5;1;2;0;5;0;L75547;2003;2030;2030;x
Woong-sik;75548;KOR;2003;2030;2030;2030;3;5;0;2;0;5;0;L75548;2003;2030;2030;x
Choe;75549;KOR;2003;2030;2030;2030;3;5;1;2;0;5;0;L75549;2003;2030;2030;x
Kwon-Jin;75550;KOR;2003;2030;2030;2030;3;5;0;1;0;5;2;L75550;2003;2030;2030;x
Hyun-Kun;75551;KOR;2003;2030;2030;2030;3;5;1;2;0;5;0;L75551;2003;2030;2030;x
Jung-hwa;75552;KOR;2003;2003;2030;2030;2;5;0;2;0;5;1;unknown;2003;2030;2030;x
Chol-shik;75553;KOR;2003;2030;2030;2030;3;5;2048;3;0;5;1;L75553;2003;2030;2030;x
Kim;75555;KOR;2003;2003;2003;2030;1;5;4096;3;0;5;1;L75555;2003;2030;2030;x
Jong;75556;KOR;2003;2003;2003;2003;0;5;0;2;0;5;0;L75556;2003;2030;2030;x
