Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Luis Feliu;76001;SPA;2003;2003;2003;2006;3;9;256;3;20;5;0;L76001;2003;2030;2030;x
Alfredo Cardona;76002;SPA;2003;2003;2005;2010;2;9;64;2;10;5;0;L76002;2003;2030;2030;x
JM.Muñoz;76003;SPA;2003;2003;2005;2010;3;9;1;2;10;5;0;L76003;2003;2030;2030;x
Pere Guerra;76004;SPA;2003;2019;2028;2030;3;9;128;1;10;5;0;Unknown;2003;2030;2030;x
Luis Alejandre;76005;SPA;2003;2003;2003;2006;3;9;128;2;20;5;0;L76005;2003;2030;2030;x
Fulgencio Coll;76006;SPA;2003;2003;2005;2010;1;9;2;1;5;5;0;L76006;2003;2030;2030;x
Alberto Asarta;76007;SPA;2003;2003;2005;2010;1;9;8;2;5;5;0;L76007;2003;2030;2030;x
Ramón García;76008;SPA;2003;2003;2005;2010;2;9;4096;3;5;5;2;Unknown;2003;2030;2030;x
Albert Armisen;76009;SPA;2003;2019;2028;2030;3;9;128;1;5;5;0;Unknown;2003;2030;2030;x
Lombo Moruno;76010;SPA;2003;2003;2010;2020;1;9;8192;1;0;4;2;Unknown;2003;2030;2030;x
Roel Fernandez;76011;SPA;2003;2003;2003;2009;3;9;131072;2;0;5;2;Unknown;2003;2030;2030;x
Llanos Morán;76012;SPA;2003;2003;2005;2010;3;9;65536;2;0;5;2;Unknown;2003;2030;2030;x
Coing O'Donell Durán;76013;SPA;2003;2003;2005;2010;2;9;32768;2;0;5;2;Unknown;2003;2030;2030;x
Francesc Armengol;76014;SPA;2003;2019;2020;2030;3;9;0;1;0;5;1;Unknown;2003;2030;2030;x
García Berrio;76015;SPA;2003;2003;2005;2010;3;9;0;2;0;5;2;Unknown;2003;2030;2030;x
Navas Ráez;76016;SPA;2003;2005;2010;2020;3;9;0;1;0;5;2;Unknown;2003;2030;2030;x
Enric Cardona;76017;SPA;2003;2020;2029;2030;1;9;8;1;0;5;0;Unknown;2003;2030;2030;x
Alex Gummà;76018;SPA;2003;2019;2028;2030;3;9;2;1;0;5;0;Unknown;2003;2030;2030;x
Martín del Moral;76019;SPA;2003;2005;2007;2015;3;9;0;2;0;5;2;Unknown;2003;2030;2030;x
Gonzalo Martínez;76020;SPA;2003;2004;2006;2015;3;9;0;2;0;5;2;Unknown;2003;2030;2030;x
José Gil Colón;76022;SPA;2003;2003;2003;2008;2;9;4;2;10;5;0;Unknown;2003;2030;2030;x
Ferran Oller;76023;SPA;2003;2019;2020;2030;3;9;0;1;0;5;0;Unknown;2003;2030;2030;x
Silvestre Sánchez;76024;SPA;2003;2003;2004;2009;3;9;32;2;0;5;0;Unknown;2003;2030;2030;x
Jma Gutiérrez;76025;SPA;2003;2003;2003;2010;3;9;16;2;0;5;0;Unknown;2003;2030;2030;x
Cumbreño;76026;SPA;2003;2003;2003;2011;3;9;0;1;0;5;1;Unknown;2003;2030;2030;x
Arnau Lloret;76027;SPA;2003;2019;2020;2030;3;9;0;1;0;5;1;Unknown;2003;2030;2030;x
Rapallo Comendador;76028;SPA;2003;2003;2003;2005;3;9;2024;2;0;5;1;Unknown;2003;2030;2030;x
Torrente Sánchez;76029;SPA;2003;2003;2003;2009;3;9;0;3;0;5;1;Unknown;2003;2030;2030;x
Moreno;76030;SPA;2003;2003;2005;2010;3;9;2024;2;0;5;1;Unknown;2003;2030;2030;x
Carrillo Franc;76031;SPA;2003;2003;2005;2011;2;9;2048;1;0;5;1;Unknown;2003;2030;2030;x
Nil MB;76032;SPA;2003;2003;2005;2011;3;9;0;1;0;5;1;Unknown;2003;2030;2030;x
