Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Håkan Syrén;79001;SWE;2003;2003;2003;2003;0;9;2;3;0;5;0;L79001;2003;2030;2030;x
Alf Sandqvist;79002;SWE;2003;2003;2003;2100;1;9;4;3;0;5;0;L79002;2003;2030;2030;x
Claes Skoglund;79003;SWE;2003;2003;2003;2100;1;9;512;2;0;5;0;Unknown;2003;2030;2030;x
PerCurt Green;79004;SWE;2003;2003;2100;2100;2;9;8;2;0;5;0;L79004;2003;2030;2030;x
Hans Berndtson;79005;SWE;2003;2003;2100;2100;2;9;0;1;0;5;0;L79005;2003;2030;2030;x
Johan Kihl;79006;SWE;2003;2003;2100;2100;2;9;0;2;0;5;0;L79006;2003;2030;2030;x
Gustaf Welin;79007;SWE;2003;2003;2100;2100;2;9;256;1;0;5;0;Unknown;2003;2030;2030;x
Göran Gunnarsson;79008;SWE;2003;2003;2100;2100;2;9;0;2;0;5;0;L79009;2003;2030;2030;x
Jan Jonsson;79009;SWE;2003;2003;2100;2100;2;9;128;2;0;5;0;L79009;2003;2030;2030;x
Åke Sagren;79010;SWE;2003;2003;2100;2100;2;9;2;2;0;5;0;Unknown;2003;2030;2030;x
Anders Lindström;79011;SWE;2003;2100;2100;2100;2;9;0;2;0;5;0;L79011;2003;2030;2030;x
Björn Anderson;79012;SWE;2003;2100;2100;2100;3;9;2;3;0;5;0;Unknown;2003;2030;2030;x
Bo Waldemarsson;79013;SWE;2003;2100;2100;2100;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Håkan Espmark;79014;SWE;2003;2100;2100;2100;3;9;256;2;0;5;0;L79014;2003;2030;2030;x
Axelsson;79015;SWE;2003;2100;2100;2100;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Anders Brännström;79016;SWE;2003;2100;2100;2100;3;9;130;4;0;5;0;L79016;2003;2030;2030;x
Göran Fant;79017;SWE;2003;2100;2100;2100;3;9;1;2;0;5;0;L79017;2003;2030;2030;x
Tony Stigsson;79018;SWE;2003;2100;2100;2100;3;9;0;2;0;5;0;L79018;2003;2030;2030;x
Karlis Neretnieks;79019;SWE;2003;2100;2100;2100;3;9;8;3;0;5;0;L79019;2003;2030;2030;x
Paul Degerlund;79020;SWE;2003;2100;2100;2100;3;9;0;2;0;5;0;L79020;2003;2030;2030;x
Lars Frisk;79021;SWE;2003;2100;2100;2100;3;9;2;2;0;5;0;Unknown;2003;2030;2030;x
Håkan Pettersson;79022;SWE;2003;2100;2100;2100;3;9;2;2;0;5;0;Unknown;2003;2030;2030;x
Åke Jansson;79023;SWE;2003;2100;2100;2100;3;9;0;2;0;5;0;L79023;2003;2030;2030;x
Frank Rosenius;79024;SWE;2003;2003;2100;2100;2;9;4096;2;0;5;1;L79024;2003;2030;2030;x
Jörgen Eriksson;79025;SWE;2003;2003;2100;2100;2;9;8192;3;0;5;1;L79025;2003;2030;2030;x
Bertil Björkman;79026;SWE;2003;2003;2100;2100;2;9;2024;2;0;5;1;L79026;2003;2030;2030;x
Göran Larsbrink;79027;SWE;2003;2003;2100;2100;2;9;0;2;0;5;1;L79027;2003;2030;2030;x
Torsten Lindh;79028;SWE;2003;2003;2100;2100;2;9;0;2;0;5;1;L79028;2003;2030;2030;x
PB Sörensen;79029;SWE;2003;2003;2100;2100;2;9;9216;2;0;5;1;Unknown;2003;2030;2030;x
Mats Nilsson;79030;SWE;2003;2100;2100;2100;2;9;4096;3;0;5;2;L79030;2003;2030;2030;x
Lennart Pettersson;79031;SWE;2003;2100;2100;2100;3;9;0;1;0;5;2;L79031;2003;2030;2030;x
Jan Andersson;79032;SWE;2003;2100;2100;2100;3;9;16384;2;0;5;2;L79032;2003;2030;2030;x
