Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abrash;528000;SYR;2003;2003;2030;2030;3;2;0;2;0;5;0;;2003;2040;2040;X
al-Aslan;528001;SYR;2003;2003;2030;2030;3;4;0;3;0;5;0;;2003;2040;2040;X
al-Fiqri;528002;SYR;2003;2003;2030;2030;3;2;16;2;0;5;0;;2003;2040;2040;X
al-Gawzi;528003;SYR;2003;2003;2003;2030;1;3;576;2;0;5;0;;2003;2040;2040;X
al-Quawugji;528004;SYR;2003;2003;2030;2030;2;2;2;2;0;5;0;;2003;2040;2040;X
al-Shishakli;528005;SYR;2003;2003;2003;2030;2;3;0;2;0;5;0;;2003;2040;2040;X
al-Zaim;528006;SYR;2003;2003;2003;2030;2;3;0;2;0;5;0;;2003;2040;2040;X
Amiel;528007;SYR;2003;2003;2003;2030;2;5;128;2;0;5;0;;2003;2040;2040;X
Salvat;528020;SYR;2003;2003;2003;2030;2;3;0;2;0;5;1;;2003;2040;2040;X
Sharba;528021;SYR;2003;2030;2030;2030;3;2;0;1;0;5;1;;2003;2040;2040;X
al-Gawzi;528026;SYR;2003;2003;2003;2030;1;1;8704;0;0;5;1;;2003;2040;2040;X
al-Shishakli;528028;SYR;2003;2003;2030;2030;2;2;0;2;0;5;1;;2003;2040;2040;X
Johani;528033;SYR;2003;2030;2030;2030;3;2;0;0;0;5;2;;2003;2040;2040;X
Silu;528034;SYR;2003;2003;2003;2030;1;4;2;2;0;5;0;;2003;2040;2040;X
Hinnawi;528035;SYR;2003;2003;2030;2030;2;3;1;1;0;5;0;;2003;2040;2040;X
al Razi;528036;SYR;2003;2003;2030;2030;2;2;0;1;0;5;2;;2003;2040;2040;X
