Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Kao;123101;CHI;1003;1003;1003;1003;0;6;2;2;0;4;0;L123101;2003;2030;2030;x
Hau;123102;CHI;1003;1003;1003;1003;0;6;4;2;0;4;0;L123102;2003;2030;2030;x
Tang;123103;CHI;1003;1003;1003;1003;0;6;0;2;0;3;0;L123103;2003;2030;2030;x
Huo;123104;CHI;1003;1003;1003;1003;0;6;128;2;0;3;0;L123104;2003;2030;2030;x
Huang;123105;CHI;1003;1003;1003;2099;1;6;0;2;0;3;0;L123105;2003;2030;2030;x
Chen;123106;CHI;1003;1003;1003;2099;1;6;0;2;0;3;0;L123106;2003;2030;2030;x
Li;123107;CHI;1003;1003;1003;2099;1;6;0;2;0;3;0;L123107;2003;2030;2030;x
Chu;123108;CHI;1003;1003;1003;2099;1;6;1;2;0;3;0;L123108;2003;2030;2030;x
Hu;123109;CHI;1003;1003;1003;2099;1;6;1;2;0;3;0;L123109;2003;2030;2030;x
Wu;123110;CHI;1003;1003;1003;2099;1;6;256;2;0;3;0;L123110;2003;2030;2030;x
Dai;123111;CHI;1003;1003;1003;2099;1;6;5;2;0;3;0;L123111;2003;2030;2030;x
Tseng;123112;CHI;1003;1003;1003;2099;1;6;4;2;0;3;0;L123112;2003;2030;2030;x
Chao;123113;CHI;1003;1003;1003;2099;1;6;274;2;0;3;0;L123113;2003;2030;2030;x
Chi;123114;CHI;1003;1003;1003;2099;1;6;256;2;0;3;0;L123114;2003;2030;2030;x
Yang;123115;CHI;1003;1003;1003;2099;1;6;0;2;0;3;0;L123115;2003;2030;2030;x
Yu;123116;CHI;1003;1003;1003;2099;1;6;1;2;0;3;0;L123116;2003;2030;2030;x
Teng;123117;CHI;1003;1003;1003;2099;1;6;256;2;0;3;0;L123117;2003;2030;2030;x
Lei;123118;CHI;1003;1003;2099;2099;2;6;0;2;0;3;0;L123118;2003;2030;2030;x
Wang;123119;CHI;1003;1003;2099;2099;2;6;1;2;0;3;0;L123119;2003;2030;2030;x
Chu;123120;CHI;1003;1003;2099;2099;2;6;128;2;0;3;0;L123120;2003;2030;2030;x
Lu;123121;CHI;1003;1003;2099;2099;2;6;288;2;0;3;0;L123121;2003;2030;2030;x
Lee;123122;CHI;1003;1003;2099;2099;2;6;32;2;0;3;0;L123122;2003;2030;2030;x
Wang;123123;CHI;1003;1003;2099;2099;2;6;256;2;0;3;0;L123123;2003;2030;2030;x
Yen;123124;CHI;1003;1003;2099;2099;2;6;256;2;0;3;0;L123124;2003;2030;2030;x
Hu;123125;CHI;1003;1003;2099;2099;2;6;0;2;0;3;0;L123125;2003;2030;2030;x
Huang;123126;CHI;1003;1003;2099;2099;2;6;1;2;0;3;0;L123126;2003;2030;2030;x
Wang;123127;CHI;1003;1003;2099;2099;2;6;80;2;0;3;0;L123127;2003;2030;2030;x
Chou;123128;CHI;1003;1003;2099;2099;2;6;0;2;0;3;0;L123128;2003;2030;2030;x
Yen;123129;CHI;1003;1003;2099;2099;2;6;128;2;0;3;0;L123129;2003;2030;2030;x
Chang;123130;CHI;1003;1003;2099;2099;2;6;16;2;0;3;0;L123130;2003;2030;2030;x
Hsu;123131;CHI;1003;1003;2099;2099;2;6;256;2;0;3;0;L123131;2003;2030;2030;x
Chiang;123132;CHI;1003;1003;2099;2099;2;6;32;2;0;3;0;L123132;2003;2030;2030;x
Hsu;123133;CHI;1003;1003;2099;2099;2;6;0;2;0;3;0;L123133;2003;2030;2030;x
Liu;123134;CHI;1003;1003;2099;2099;2;6;0;2;0;3;0;L123134;2003;2030;2030;x
Chen;123135;CHI;1003;2099;2099;2099;3;6;129;2;0;3;0;L123135;2003;2030;2030;x
Hu;123136;CHI;1003;2099;2099;2099;3;6;128;2;0;3;0;L123136;2003;2030;2030;x
Han;123137;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123137;2003;2030;2030;x
Yang;123138;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123138;2003;2030;2030;x
Chou;123139;CHI;1003;2099;2099;2099;3;6;16;2;0;3;0;L123139;2003;2030;2030;x
Wang;123140;CHI;1003;2099;2099;2099;3;6;1;2;0;3;0;L123140;2003;2030;2030;x
Yu;123141;CHI;1003;2099;2099;2099;3;6;1;2;0;3;0;L123141;2003;2030;2030;x
Hsu;123142;CHI;1003;2099;2099;2099;3;6;32;2;0;3;0;L123142;2003;2030;2030;x
Liu;123143;CHI;1003;2099;2099;2099;3;6;128;2;0;3;0;L123143;2003;2030;2030;x
Chou;123144;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123144;2003;2030;2030;x
Hau;123145;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123145;2003;2030;2030;x
Soong;123146;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123146;2003;2030;2030;x
Meng;123147;CHI;1003;2099;2099;2099;3;6;256;2;0;3;0;L123147;2003;2030;2030;x
Ma;123148;CHI;1003;2099;2099;2099;3;6;16;2;0;3;0;L123148;2003;2030;2030;x
Ho;123149;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123149;2003;2030;2030;x
Hu;123150;CHI;1003;2099;2099;2099;3;6;0;2;0;3;0;L123150;2003;2030;2030;x
Yang;123151;CHI;1003;2099;2099;2099;3;6;33;2;0;3;0;L123151;2003;2030;2030;x
Kao;123152;CHI;1003;2099;2099;2099;3;6;32;2;0;3;0;L123152;2003;2030;2030;x
