Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Gafurov;524004;TAJ;2003;2003;2003;2030;1;3;64;1;0;5;0;;2003;2040;2040;X
Kazachestevo;524006;TAJ;2003;2003;2003;2030;2;4;9;2;0;5;0;;2003;2040;2040;X
Perminov;524009;TAJ;2003;2003;2030;2030;3;4;9;1;0;5;0;;2003;2040;2040;X
Proskuriakov;524010;TAJ;2003;2003;2003;2030;1;3;8;1;0;5;0;;2003;2040;2040;X
Protopopov;524011;TAJ;2003;2003;2003;2030;1;4;4;1;0;5;0;;2003;2040;2040;X
Shpigun;524014;TAJ;2003;2030;2030;2030;3;2;8;0;0;5;0;;2003;2040;2040;X
Sinaiski;524015;TAJ;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Starikovich;524016;TAJ;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
Teschner;524017;TAJ;2003;2030;2030;2030;3;3;32;0;0;5;0;;2003;2040;2040;X
Ryndenko;524022;TAJ;2003;2003;2030;2030;3;2;2024;1;0;5;1;;2003;2040;2040;X
Sinaiski;524023;TAJ;2003;2030;2030;2030;3;2;4096;1;0;5;1;;2003;2040;2040;X
Telasnikov;524024;TAJ;2003;2030;2030;2030;3;2;0;0;0;5;1;;2003;2040;2040;X
Ushurov;524025;TAJ;2003;2003;2003;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Barsukov;524026;TAJ;2003;2003;2003;2030;1;4;0;1;0;5;1;;2003;2040;2040;X
Ryndenko;524027;TAJ;2003;2003;2030;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Surén;524030;TAJ;2003;2003;2003;2030;2;2;0;2;0;5;0;;2003;2040;2040;X
