Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Mayorga;95001;U20;2003;2030;2030;2030;3;9;0;2;0;5;0;Jmayorga;2003;2019;2019;X
Rodriguez;95002;U20;2003;2003;2030;2030;2;9;0;3;0;5;0;Crodriguez;2003;2019;2019;X
Sanders;95003;U20;2003;2030;2030;2030;3;9;0;2;0;5;0;Sgsanders;2003;2019;2019;X
Smith W.;95004;U20;2003;2030;2030;2030;3;9;132;2;0;5;0;Wsmith;2003;2019;2019;X
Spurgin;95005;U20;2003;2030;2030;2030;3;9;0;2;0;5;0;Emspurgin;2003;2019;2019;X
Stevens;95006;U20;2003;2030;2030;2030;3;9;0;1;0;5;0;Jstevens;2003;2019;2019;X
Nathman;95007;U20;2003;2003;2003;2030;1;9;0;3;0;5;1;Jbnathman;2003;2019;2019;X
Skinner;95008;U20;2003;2030;2030;2030;3;9;0;2;0;5;1;Mskinner;2003;2019;2019;X
Walsh;95009;U20;2003;2003;2003;2030;1;9;8192;3;0;5;1;patrick_walsh;2003;2019;2019;X
Fraser;95010;U20;2003;2003;2003;2030;1;9;32768;3;0;5;2;Wfraser;2003;2019;2019;X
Nichols;95011;U20;2003;2030;2030;2030;3;9;0;2;0;5;2;Jnichols;2003;2019;2019;X
Wisian;95012;U20;2003;2030;2030;2030;3;9;0;1;0;5;2;Unknown;2003;2019;2019;X
