Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Aphaiwong;100000;SIA;2003;2030;2030;2030;3;4;1;0;0;3;0;;2003;2040;2040;X
Banomyong;100001;SIA;2003;2030;2030;2030;3;4;128;0;0;4;0;;2003;2040;2040;X
Bunyaket;100002;SIA;2003;2030;2030;2030;3;5;16;0;0;2;0;;2003;2040;2040;X
Chitnasongkhla;100003;SIA;2003;2003;2030;2030;2;4;0;1;0;4;0;;2003;2040;2040;X
Huntrakool;100004;SIA;2003;2030;2030;2030;3;4;256;0;0;5;0;;2003;2040;2040;X
Kamlanavin;100005;SIA;2003;2003;2030;2030;2;4;0;1;0;4;0;;2003;2040;2040;X
Khanphialong;100006;SIA;2003;2030;2030;2030;3;5;514;1;0;4;0;;2003;2040;2040;X
Maghaviphulaya;100007;SIA;2003;2003;2030;2030;2;4;0;0;0;4;0;;2003;2040;2040;X
Munsilpa Sinadyodharaksa;100008;SIA;2003;2030;2030;2030;3;4;1;0;0;3;0;;2003;2040;2040;X
Nakrob;100009;SIA;2003;2030;2030;2030;3;5;128;0;0;5;0;;2003;2040;2040;X
Phaholphonphayuhasena;100010;SIA;2003;2003;2030;2030;2;4;2;1;0;4;0;;2003;2040;2040;X
Phamonmontri;100011;SIA;2003;2003;2030;2030;3;5;256;1;0;5;0;;2003;2040;2040;X
Phanomyong;100012;SIA;2003;2003;2003;2030;2;5;2;2;0;4;0;;2003;2040;2040;X
Phibunsongkhram;100013;SIA;2003;2003;2003;2003;0;5;0;1;0;4;0;;2003;2040;2040;X
Phromyothi;100014;SIA;2003;2003;2003;2030;1;5;32;2;0;4;0;;2003;2040;2040;X
Phronalanathai;100015;SIA;2003;2030;2030;2030;3;4;1;0;0;4;0;;2003;2040;2040;X
Punyaketu;100016;SIA;2003;2003;2030;2030;2;4;2;1;0;3;0;;2003;2040;2040;X
Thishampula;100024;SIA;2003;2003;2030;2030;2;4;2;1;0;4;0;;2003;2040;2040;X
Vechayanrangsarit;100025;SIA;2003;2003;2030;2030;2;4;128;1;0;4;0;;2003;2040;2040;X
Wichitsongkram;100026;SIA;2003;2030;2030;2030;3;4;32;0;0;4;0;;2003;2040;2040;X
Wichitwathakarn;100027;SIA;2003;2003;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Chamnanarthayutha;100028;SIA;2003;2030;2030;2030;3;4;0;0;0;4;1;;2003;2040;2040;X
Kamonawin;100029;SIA;2003;2003;2030;2030;2;4;0;0;0;4;1;;2003;2040;2040;X
Luansonburano;100030;SIA;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2040;2040;X
Pholasinthanawat;100031;SIA;2003;2003;2030;2030;2;4;0;1;0;3;1;;2003;2040;2040;X
Phunawasawat;100032;SIA;2003;2003;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Phutianands;100033;SIA;2003;2030;2030;2030;3;4;0;0;0;3;1;;2003;2040;2040;X
Preechacholayudha;100034;SIA;2003;2030;2030;2030;3;4;2024;0;0;4;1;;2003;2040;2040;X
Thamrongnawasawat;100035;SIA;2003;2003;2030;2030;2;4;0;0;0;4;1;;2003;2040;2040;X
Wichanworajak;100036;SIA;2003;2030;2030;2030;3;4;8192;0;0;4;1;;2003;2040;2040;X
Wichcitcholathai;100037;SIA;2003;2030;2030;2030;3;4;0;0;0;4;1;;2003;2040;2040;X
Yuthasatkoson;100038;SIA;2003;2003;2003;2030;1;5;0;2;0;4;1;;2003;2040;2040;X
Aminothraykorn;100039;SIA;2003;2030;2030;2030;3;4;0;0;0;4;2;;2003;2040;2040;X
Arvudsikikorn;100040;SIA;2003;2003;2030;2030;2;4;0;1;0;4;2;;2003;2040;2040;X
Chalermarkas;100041;SIA;2003;2003;2030;2030;2;4;0;1;0;4;2;;2003;2040;2040;X
Chalermarkiart;100042;SIA;2003;2003;2003;2030;1;4;0;1;0;3;2;;2003;2040;2040;X
Kajsongkram;100043;SIA;2003;2030;2030;2030;3;5;0;0;0;4;2;;2003;2040;2040;X
Phuketsamlee;100044;SIA;2003;2030;2030;2030;3;4;0;0;0;3;2;;2003;2040;2040;X
Prawasjamshee;100045;SIA;2003;2030;2030;2030;3;4;0;0;0;3;2;;2003;2040;2040;X
Silpasakrakorn;100046;SIA;2003;2030;2030;2030;3;4;0;0;0;4;2;;2003;2040;2040;X
Sinthusongkhramchai;100047;SIA;2003;2030;2030;2030;3;4;131072;0;0;4;2;;2003;2040;2040;X
Thayarnpikart;100048;SIA;2003;2003;2030;2030;2;4;4096;1;0;5;2;;2003;2040;2040;X
Vechayanrangsarit;100049;SIA;2003;2003;2030;2030;2;4;65536;1;0;4;2;;2003;2040;2040;X
Vehasayarn;100050;SIA;2003;2003;2030;2030;2;4;0;0;0;5;2;;2003;2040;2040;X
