Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Ergin Saygun;84501;TUR;2003;2003;2003;2003;0;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Avni Atila Isik;84502;TUR;2003;2003;2003;2003;0;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Hasan Igsiz;84503;TUR;2003;2003;2003;2003;0;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Oktar Ataman;84504;TUR;2003;2003;2003;2100;0;6;68;3;0;5;0;L84504;2003;2030;2030;x
Necdet Timur;84505;TUR;2003;2003;2003;2100;0;6;1;2;0;5;0;L84505;2003;2030;2030;x
Mehmet Cavdaroglu;84506;TUR;2003;2003;2003;2100;0;6;18;3;0;5;0;L84506;2003;2030;2030;x
Ethem Erdagi;84507;TUR;2003;2003;2003;2100;0;7;4;4;0;5;0;L84507;2003;2030;2030;x
Bekir Kalyoncu;84508;TUR;2003;2003;2003;2100;0;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Hilmi Akin Zorlu;84509;TUR;2003;2003;2003;2100;0;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Servet Yörük;84510;TUR;2003;2003;2003;2100;0;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Yalcin Ataman;84511;TUR;2003;2003;2003;2100;0;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Eyüp Kaptan;84512;TUR;2003;2003;2003;2100;0;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Salih Zeki Colak;84513;TUR;2003;2003;2003;2100;0;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Ümit Dündar;84514;TUR;2003;2003;2003;2100;1;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Hüsmen Akdeniz;84515;TUR;2003;2003;2003;2100;1;6;0;2;0;5;0;Unknown;2003;2030;2030;x
Nejat Bek;84516;TUR;2003;2003;2003;2100;1;6;0;1;0;5;0;Unknown;2003;2030;2030;x
Muharrem Karaduman;84517;TUR;2003;2003;2003;2100;1;6;0;1;0;5;0;Unknown;2003;2030;2030;x
Abdullah Atay;84518;TUR;2003;2003;2003;2100;1;6;0;1;0;5;0;Unknown;2003;2030;2030;x
Kemal Ay;84519;TUR;2003;2003;2003;2100;1;6;0;1;0;5;0;Unknown;2003;2030;2030;x
Salih Göloglu;84520;TUR;2003;2003;2003;2100;1;6;0;1;0;5;0;Unknown;2003;2030;2030;x
Reha Taskesen;84521;TUR;2003;2003;2100;2100;3;7;17;2;0;5;0;L84521;2003;2030;2030;x
Bahtiyar Türker;84522;TUR;2003;2003;2100;2100;3;6;17;2;0;5;0;L84522;2003;2030;2030;x
Süleyman Biyiksiz;84523;TUR;2003;2003;2100;2100;1;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Tuncay Kalender;84524;TUR;2003;2003;2100;2100;1;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Deniz Girgin;84525;TUR;2003;2003;2100;2100;1;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Selcuk Divan;84526;TUR;2003;2003;2100;2100;1;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Eren Günseli;84527;TUR;2003;2003;2100;2100;1;6;0;3;0;5;0;Unknown;2003;2030;2030;x
Deniz Gezer;84528;TUR;2003;2003;2100;2100;1;6;0;2;0;5;0;Unknown;2003;2030;2030;x
