Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Banchukov;525000;TRK;2003;2030;2030;2030;3;5;384;0;0;5;0;;2003;2040;2040;X
Barabanov;525001;TRK;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Baranov;525002;TRK;2003;2003;2030;2030;2;2;0;0;0;5;0;;2003;2040;2040;X
Batyrov;525003;TRK;2003;2003;2003;2030;1;4;8;2;0;5;0;;2003;2040;2040;X
Beloglazov;525004;TRK;2003;2003;2030;2030;3;3;256;1;0;5;0;;2003;2040;2040;X
Belov;525005;TRK;2003;2030;2030;2030;3;3;128;0;0;5;0;;2003;2040;2040;X
Borisenko;525007;TRK;2003;2003;2030;2030;2;2;64;1;0;5;0;;2003;2040;2040;X
Bunin;525008;TRK;2003;2030;2030;2030;3;2;4;0;0;5;0;;2003;2040;2040;X
Ihssen;525011;TRK;2003;2030;2030;2030;3;3;32;0;0;5;0;;2003;2040;2040;X
Raevs;525015;TRK;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
Batalov;525024;TRK;2003;2003;2030;2030;3;2;0;1;0;5;1;;2003;2040;2040;X
Baturin;525025;TRK;2003;2003;2030;2030;2;3;4096;1;0;5;1;;2003;2040;2040;X
Kasatonov;525027;TRK;2003;2003;2003;2030;2;3;0;2;0;5;1;;2003;2040;2040;X
Baturin;525028;TRK;2003;2003;2030;2030;2;3;0;1;0;5;0;;2003;2040;2040;X
Beloglazov;525029;TRK;2003;2003;2030;2030;3;2;0;1;0;5;0;;2003;2040;2040;X
Demchenko;525030;TRK;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Petrikov;525032;TRK;2003;2030;2030;2030;3;2;0;0;0;5;1;;2003;2040;2040;X
Zadorozhny;525033;TRK;2003;2003;2030;2030;3;3;0;1;0;5;1;;2003;2040;2040;X
