Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Kankiriho;85501;U18;2003;2030;2030;2030;3;9;0;1;0;5;0;Pkankiriho;2000;2019;2030;X
Mugisha;85502;U18;2003;2030;2030;2030;3;9;0;1;0;5;0;Nmugisha;2000;2019;2030;X
Nyakairima;85503;U18;2003;2003;2030;2030;2;9;0;1;0;5;0;Anyakairima;2000;2019;2030;X
Walmala;85504;U18;2003;2003;2030;2030;2;9;0;1;0;5;0;Ewalmala;2000;2019;2030;X
Owesigire;85505;U18;2003;2030;2030;2030;3;9;0;1;0;5;2;Unknown;2000;2019;2030;X
Museveni;85506;U18;2003;2003;2003;2030;3;5;2;2;0;5;0;L60701;2003;2030;2030;X
Koreta;85507;U18;2003;2003;2030;2030;3;4;0;2;0;5;0;L60703;2003;2030;2030;X
Rusoke;85508;U18;2003;2030;2030;2030;3;4;0;2;0;5;0;L60704;2003;2030;2030;X
Muheesi;85509;U18;2003;2030;2030;2030;3;4;0;2;0;5;0;L60705;2003;2030;2030;X
Turyagenda;85510;U18;2003;2030;2030;2030;3;4;0;1;0;5;2;L60707;2003;2030;2030;X
