Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Sir Jackson;87000;ENG;2003;2003;2003;2003;0;3;129;3;0;5;0;L87000;2003;2030;2030;x
Sir Beach;87001;ENG;2003;2003;2003;2003;0;2;6;2;0;5;0;L87001;2003;2030;2030;x
Lord Carver;87002;ENG;2003;2003;2003;2003;0;2;0;2;0;5;0;L87002;2003;2030;2030;x
Sir Walker;87003;ENG;2003;2003;2003;2003;0;3;0;3;0;5;0;L87003;2003;2030;2030;x
Sir Wheeler;87004;ENG;2003;2003;2003;2003;0;3;0;3;0;5;0;L87004;2003;2030;2030;x
Sir Reith;87005;ENG;2003;2003;2003;2003;0;2;128;2;0;5;0;L87005;2003;2030;2030;x
Dannett;87006;ENG;2003;2003;2003;2003;0;2;7;2;0;5;0;L87006;2003;2030;2030;x
Palmer;87007;ENG;2003;2003;2003;2100;1;1;0;1;0;5;0;L87007;2003;2030;2030;x
O'Donoghue;87008;ENG;2003;2003;2003;2100;1;2;0;2;0;5;0;L87008;2003;2030;2030;x
Kiszely;87009;ENG;2003;2003;2003;2100;1;3;0;3;0;5;0;L87009;2003;2030;2030;x
Sir Fry;87010;ENG;2003;2003;2003;2100;1;1;21;1;0;5;0;L87010;2003;2030;2030;x
Fulton;87011;ENG;2003;2003;2003;2100;1;2;1;2;0;5;0;L87011;2003;2030;2030;x
Sir Willcocks;87012;ENG;2003;2003;2003;2100;1;1;130;1;0;5;0;L87012;2003;2030;2030;x
Dannatt;87013;ENG;2003;2003;2003;2100;1;3;0;3;0;5;0;L87013;2003;2030;2030;x
Trousdell;87014;ENG;2003;2003;2003;2100;1;2;0;2;0;5;0;L87014;2003;2030;2030;x
Wall;87015;ENG;2003;2003;2100;2100;2;2;64;2;0;5;0;L87015;2003;2030;2030;x
Brims;87016;ENG;2003;2003;2100;2100;2;2;2;2;0;5;0;L87016;2003;2030;2030;x
Gilchrist;87017;ENG;2003;2003;2100;2100;2;4;1;4;0;5;0;L87017;2003;2030;2030;x
Cross;87018;ENG;2003;2003;2100;2100;2;3;0;3;0;5;0;L87018;2003;2030;2030;x
Bailey;87019;ENG;2003;2003;2100;2100;2;2;4;2;0;5;0;L87019;2003;2030;2030;x
Riley;87020;ENG;2003;2003;2100;2100;2;2;256;2;0;5;0;L87020;2003;2030;2030;x
Baxter;87021;ENG;2003;2003;2100;2100;2;1;128;1;0;5;0;L87021;2003;2030;2030;x
Huntley;87022;ENG;2003;2003;2100;2100;2;4;4;4;0;5;0;L87022;2003;2030;2030;x
Applegate;87023;ENG;2003;2003;2100;2100;2;2;16;2;0;5;0;L87023;2003;2030;2030;x
Gordon;87024;ENG;2003;2003;2100;2100;2;3;0;3;0;5;0;L87024;2003;2030;2030;x
Wilson;87025;ENG;2003;2003;2100;2100;2;2;2;2;0;5;0;L87025;2003;2030;2030;x
Shaw;87026;ENG;2003;2003;2100;2100;2;2;0;2;0;5;0;L87026;2003;2030;2030;x
Dutton;87027;ENG;2003;2003;2100;2100;2;2;0;2;0;5;0;L87027;2003;2030;2030;x
Binns;87028;ENG;2003;2100;2100;2100;3;1;128;1;0;5;0;L87028;2003;2030;2030;x
Page;87029;ENG;2003;2100;2100;2100;3;1;1;1;0;5;0;L87029;2003;2030;2030;x
Cowlam;87030;ENG;2003;2100;2100;2100;3;3;0;3;0;5;0;L87030;2003;2030;2030;x
Jeffrey;87031;ENG;2003;2100;2100;2100;3;1;4;1;0;5;0;L87031;2003;2030;2030;x
Kerr;87032;ENG;2003;2100;2100;2100;3;2;0;2;0;5;0;L87032;2003;2030;2030;x
Farquhar;87033;ENG;2003;2100;2100;2100;3;3;0;3;0;5;0;L87033;2003;2030;2030;x
Hawley;87034;ENG;2003;2100;2100;2100;3;2;144;2;0;5;0;L87034;2003;2030;2030;x
Kirkland;87035;ENG;2003;2100;2100;2100;3;2;0;2;0;5;0;L87035;2003;2030;2030;x
Rook;87036;ENG;2003;2100;2100;2100;3;2;1;2;0;5;0;L87036;2003;2030;2030;x
Hughes;87037;ENG;2003;2100;2100;2100;3;1;0;1;0;5;0;L87037;2003;2030;2030;x
Meek;87038;ENG;2003;2100;2100;2100;3;1;4;1;0;5;0;L87038;2003;2030;2030;x
Nugent;87039;ENG;2003;2100;2100;2100;3;3;1;3;0;5;0;L87039;2003;2030;2030;x
Torrens-Spence;87040;ENG;2003;2100;2100;2100;3;3;0;3;0;5;0;L87040;2003;2030;2030;x
C. Wilson;87041;ENG;2003;2100;2100;2100;3;3;0;3;0;5;0;L87041;2003;2030;2030;x
Harbottle;87042;ENG;2003;2100;2100;2100;3;4;2;4;0;5;0;L87042;2003;2030;2030;x
Sir Pledger;87043;ENG;2003;2003;2003;2003;0;3;4096;3;0;5;2;L87043;2003;2030;2030;x
Sir Stirrup;87044;ENG;2003;2003;2003;2003;0;2;16384;2;0;5;2;L87044;2003;2030;2030;x
Burridge;87045;ENG;2003;2003;2003;2100;1;4;0;4;0;5;2;L87045;2003;2030;2030;x
Torpy;87046;ENG;2003;2003;2003;2100;1;2;0;2;0;5;2;L87046;2003;2030;2030;x
Wright;87047;ENG;2003;2003;2003;2100;1;3;0;3;0;5;2;L87047;2003;2030;2030;x
Heath;87048;ENG;2003;2003;2100;2100;2;2;4096;2;0;5;2;L87048;2003;2030;2030;x
Hesketh;87049;ENG;2003;2003;2100;2100;2;5;131072;5;0;5;2;L87049;2003;2030;2030;x
Thornton;87050;ENG;2003;2003;2100;2100;2;2;0;2;0;5;2;L87050;2003;2030;2030;x
Hobart;87051;ENG;2003;2003;2100;2100;2;4;0;4;0;5;2;L87051;2003;2030;2030;x
Loader;87052;ENG;2003;2003;2100;2100;2;3;16384;3;0;5;2;L87052;2003;2030;2030;x
Collier;87053;ENG;2003;2003;2100;2100;2;1;131072;1;0;5;2;L87053;2003;2030;2030;x
P. Walker;87054;ENG;2003;2003;2100;2100;2;3;0;3;0;5;2;L87054;2003;2030;2030;x
Dalton;87055;ENG;2003;2003;2100;2100;2;2;4096;2;0;5;2;L87055;2003;2030;2030;x
Case;87056;ENG;2003;2100;2100;2100;3;2;0;2;0;5;2;L87056;2003;2030;2030;x
Williams;87057;ENG;2003;2100;2100;2100;3;1;8192;1;0;5;2;L87057;2003;2030;2030;x
Morris;87058;ENG;2003;2100;2100;2100;3;3;0;3;0;5;2;L87058;2003;2030;2030;x
Nickols;87059;ENG;2003;2100;2100;2100;3;2;0;2;0;5;2;L87059;2003;2030;2030;x
Harwood;87060;ENG;2003;2100;2100;2100;3;3;4096;3;0;5;2;L87060;2003;2030;2030;x
Mackie;87061;ENG;2003;2100;2100;2100;3;2;4096;2;0;5;2;L87061;2003;2030;2030;x
Lacey;87062;ENG;2003;2100;2100;2100;3;2;0;2;0;5;2;L87062;2003;2030;2030;x
Morgans;87063;ENG;2003;2100;2100;2100;3;3;131072;3;0;5;2;L87063;2003;2030;2030;x
Sir Garnett;87064;ENG;2003;2003;2003;2003;0;2;0;2;0;5;1;L87064;2003;2030;2030;x
Sir Band;87065;ENG;2003;2003;2003;2003;0;4;4096;4;0;5;1;L87065;2003;2030;2030;x
Sir West;87066;ENG;2003;2003;2003;2003;0;3;0;3;0;5;1;L87066;2003;2030;2030;x
Sir Burnell-Nugent;87067;ENG;2003;2003;2003;2100;1;2;2024;2;0;5;1;L87067;2003;2030;2030;x
Jenkins;87068;ENG;2003;2003;2003;2100;1;1;0;1;0;5;1;L87068;2003;2030;2030;x
Stanhope;87069;ENG;2003;2003;2003;2100;1;3;0;3;0;5;1;L87069;2003;2030;2030;x
Haddacks;87070;ENG;2003;2003;2003;2100;1;2;0;2;0;5;1;L87070;2003;2030;2030;x
Snelson;87071;ENG;2003;2003;2100;2100;2;1;0;1;0;5;1;L87071;2003;2030;2030;x
Style;87072;ENG;2003;2003;2100;2100;2;3;4096;3;0;5;1;L87072;2003;2030;2030;x
McLean;87073;ENG;2003;2003;2100;2100;2;3;9216;3;0;5;1;L87073;2003;2030;2030;x
Davies;87074;ENG;2003;2003;2100;2100;2;2;0;2;0;5;1;L87074;2003;2030;2030;x
Lippiett;87075;ENG;2003;2003;2100;2100;2;2;0;2;0;5;1;L87075;2003;2030;2030;x
Laurence;87076;ENG;2003;2003;2100;2100;2;3;4096;3;0;5;1;L87076;2003;2030;2030;x
Soar;87077;ENG;2003;2003;2100;2100;2;3;2048;3;0;5;1;L87077;2003;2030;2030;x
Parry;87078;ENG;2003;2003;2100;2100;2;2;4096;2;0;5;1;L87078;2003;2030;2030;x
Massey;87079;ENG;2003;2003;2100;2100;2;4;0;4;0;5;1;L87079;2003;2030;2030;x
Kilgour;87080;ENG;2003;2003;2100;2100;2;1;0;1;0;5;1;L87080;2003;2030;2030;x
Miller;87081;ENG;2003;2100;2100;2100;3;3;2024;3;0;5;1;L87081;2003;2030;2030;x
Fanshawe;87082;ENG;2003;2100;2100;2100;3;3;12288;3;0;5;1;L87082;2003;2030;2030;x
Silcock;87083;ENG;2003;2100;2100;2100;3;2;0;2;0;5;1;L87083;2003;2030;2030;x
Stevenson;87084;ENG;2003;2100;2100;2100;3;2;0;2;0;5;1;L87084;2003;2030;2030;x
Whitaker;87085;ENG;2003;2100;2100;2100;3;1;0;1;0;5;1;L87085;2003;2030;2030;x
Raby;87086;ENG;2003;2100;2100;2100;3;3;0;3;0;5;1;L87086;2003;2030;2030;x
Zambellas;87087;ENG;2003;2100;2100;2100;3;2;0;2;0;5;1;L87087;2003;2030;2030;x
Van Beek;87088;ENG;2003;2100;2100;2100;3;1;8192;1;0;5;1;L87088;2003;2030;2030;x
Anderson;87089;ENG;2003;2100;2100;2100;3;1;0;1;0;5;1;L87089;2003;2030;2030;x
