Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Kirichenko;86001;UKR;2003;2003;2003;2003;2;9;132;3;0;5;0;Kirichenko;2000;2030;2030;x
Ravesky;86002;UKR;2003;2030;2030;2030;1;6;0;2;0;5;0;vitalyraevsky;2000;2030;2030;x
Popkov;86003;UKR;2003;2003;2030;2030;1;5;0;2;0;5;0;Spopkov;2000;2030;2030;x
Smesko;86004;UKR;2003;2003;2003;2030;2;7;16;3;0;5;0;none;2000;2030;2030;x
Romanchenko;86005;UKR;2003;2030;2030;2030;2;7;0;3;0;5;0;none;2000;2030;2030;x
Gvozd;86006;UKR;2003;2003;2003;2003;1;5;16;1;0;5;0;Vgvozd;2000;2030;2030;x
Svyda;86007;UKR;2003;2003;2003;2030;3;8;0;2;0;5;0;Isvyda;2000;2030;2030;x
Tregubenko;86008;UKR;2003;2003;2030;2030;2;6;1;1;0;5;0;Stregubenko;2000;2030;2030;x
Mozharovskiy;86009;UKR;2003;2003;2030;2030;2;5;0;2;0;5;0;mozharovskiy;2000;2030;2030;x
Petruk;86010;UKR;2003;2003;2003;2030;2;6;0;1;0;5;0;;2000;2030;2030;x
Kutsin;86011;UKR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2000;2030;2030;x
Syrotenko;86012;UKR;2003;2030;2030;2030;1;7;0;3;0;5;0;;2000;2030;2030;x
Bessarab;86013;UKR;2003;2030;2030;2030;2;6;0;2;0;5;0;;2000;2030;2030;x
Ostrovsky;86014;UKR;2003;2003;2030;2030;2;5;130;2;0;5;0;;2000;2030;2030;x
Myzhenko;86015;UKR;2003;2030;2030;2030;1;6;0;1;0;5;2;;2000;2030;2030;x
Metelap;86016;UKR;2003;2030;2030;2030;2;5;0;1;0;5;2;;2000;2030;2030;x
Onysko;86017;UKR;2003;2030;2030;2030;1;4;0;1;0;5;0;;2000;2030;2030;x
Taran;86018;UKR;2003;2030;2030;2030;2;5;32;1;0;5;0;;2000;2030;2030;x
Tenyuh;86019;UKR;2003;2003;2003;2030;1;5;0;2;0;5;1;Tenyuh;2000;2030;2030;x
Kniaz;86020;UKR;2003;2003;2030;2030;1;4;0;1;0;5;1;;2000;2030;2030;x
Rusnak;86021;UKR;2003;2003;2003;2030;1;5;8192;2;0;5;2;Rusnak;2000;2030;2030;x
Hlebov;86022;UKR;2003;2030;2030;2030;3;2;0;2;0;5;2;;2000;2030;2030;x
Kuliev;86023;UKR;2003;2030;2030;2030;2;4;256;1;0;5;0;;2000;2030;2030;x
Toropchin;86024;UKR;2003;2003;2003;2030;1;4;0;1;0;5;2;toropchin;2000;2030;2030;x
Klimov;86025;UKR;2003;2003;2030;2030;2;3;0;1;0;5;2;;2000;2030;2030;x
