Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X 
Schultz;87501;USA;2003;2003;2003;2003;0;9;0;3;0;5;0;L87501;2003;2019;2019;X 
Keane;87502;USA;2003;2003;2003;2003;0;9;0;2;0;5;0;L87502;2003;2019;2019;X 
Nyland;87503;USA;2003;2003;2003;2003;0;9;0;3;0;5;0;L87503;2003;2008;2008;X 
Myers;87504;USA;2003;2003;2003;2003;0;9;0;5;0;5;0;L87504;2003;2005;2005;X 
Pace;87505;USA;2003;2003;2003;2003;0;9;256;5;0;5;0;L87505;2003;2007;2007;X 
Schoomaker;87506;USA;2003;2003;2003;2003;0;9;0;4;0;5;0;L87506;2003;2019;2019;X 
Casey;87507;USA;2003;2003;2003;2003;0;9;1;3;0;5;0;L87507;2003;2019;2019;X 
Hagee;87508;USA;2003;2003;2003;2019;1;9;256;3;0;5;0;L87508;2003;2007;2007;X 
Shinseki;87509;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87509;2003;2019;2019;X 
Jones J.L.;87510;USA;2003;2003;2003;2019;1;9;0;4;0;5;0;L87510;2003;2007;2007;X 
Byrnes;87511;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87511;2003;2019;2019;X 
Kern;87512;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87512;2003;2019;2019;X 
Hill;87513;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87513;2003;2019;2019;X 
Nuttall;87514;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87514;2003;2019;2019;X 
Estrada;87515;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87515;2003;2019;2019;X 
Vaughn;87516;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87516;2003;2019;2019;X 
Brownlee;87517;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87517;2003;2019;2019;X 
Ellis;87518;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87518;2003;2019;2019;X 
Franks;87519;USA;2003;2003;2003;2019;1;9;0;3;0;5;0;L87519;2003;2019;2019;X 
Clark;87520;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87520;2003;2019;2019;X 
Shalikashivli;87521;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;Unknown;2003;2019;2019;X 
Joulwan;87522;USA;2003;2003;2003;2019;1;9;0;2;0;5;0;L87522;2003;2019;2019;X 
Kadish;87523;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87523;2003;2019;2019;X 
Beauchamp;87524;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87524;2003;2019;2019;X 
Raduege;87525;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87525;2003;2019;2019;X 
Magruder;87526;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87526;2003;2019;2019;X 
Lever;87527;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87527;2003;2019;2019;X 
Bergman;87528;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87528;2003;2019;2019;X 
Hailston;87529;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87529;2003;2019;2019;X 
Hanlon jr.;87530;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87530;2003;2019;2019;X 
Cortez;87531;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87531;2003;2019;2019;X 
Hughey;87532;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87532;2003;2019;2019;X 
Gregson;87533;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87533;2003;2019;2019;X 
Bedard;87534;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87534;2003;2019;2019;X 
Bowdon;87535;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87535;2003;2019;2019;X 
Conant;87536;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87536;2003;2019;2019;X 
Allen;87537;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87537;2003;2019;2019;X 
Profit;87538;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87538;2003;2019;2019;X 
Benes;87539;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;L87539;2003;2019;2019;X 
Wharton;87540;USA;2003;2003;2019;2019;2;9;0;2;0;5;0;Unknown;2003;2019;2019;X 
Walters;87541;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87541;2003;2019;2019;X 
Kennedy;87542;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87542;2003;2019;2019;X 
Clapper;87543;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87543;2003;2019;2019;X 
Lamontagne;87544;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87544;2003;2019;2019;X 
Hayden;87545;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87545;2003;2019;2019;X 
Berndt;87546;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87546;2003;2019;2019;X 
Smith;87547;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87547;2003;2019;2019;X 
Blackman jr.;87548;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87548;2003;2019;2019;X 
Cartwright;87549;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87549;2003;2019;2019;X 
Conway;87550;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87550;2003;2019;2019;X 
DeLong;87551;USA;2003;2003;2019;2019;2;9;0;3;0;5;0;L87551;2003;2019;2019;X 
