Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Demidov;526002;UZB;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Denisenko;526003;UZB;2003;2003;2030;2030;3;2;256;0;0;5;0;;2003;2040;2040;X
Devyataev;526004;UZB;2003;2003;2003;2030;1;3;16;1;0;5;0;;2003;2040;2040;X
Didenko;526005;UZB;2003;2030;2030;2030;3;3;128;0;0;5;0;;2003;2040;2040;X
Dokuchalov;526008;UZB;2003;2003;2030;2030;3;3;32;1;0;5;0;;2003;2040;2040;X
Dolgov;526009;UZB;2003;2030;2030;2030;3;3;16;0;0;5;0;;2003;2040;2040;X
Donchuk;526010;UZB;2003;2030;2030;2030;3;4;264;0;0;5;0;;2003;2040;2040;X
Doronin;526011;UZB;2003;2003;2030;2030;3;3;256;1;0;5;0;;2003;2040;2040;X
Drachenk;526012;UZB;2003;2030;2030;2030;3;2;4;0;0;5;0;;2003;2040;2040;X
Druzenkov;526013;UZB;2003;2030;2030;2030;3;2;128;0;0;5;0;;2003;2040;2040;X
Dudin;526014;UZB;2003;2030;2030;2030;3;2;1;0;0;5;0;;2003;2040;2040;X
Dymchenko;526015;UZB;2003;2030;2030;2030;3;2;8;0;0;5;0;;2003;2040;2040;X
Dzusov;526016;UZB;2003;2030;2030;2030;3;4;128;0;0;5;0;;2003;2040;2040;X
Fetkulin;526017;UZB;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
Ghukov;526018;UZB;2003;2003;2030;2030;2;3;2;0;0;5;0;;2003;2040;2040;X
Ilgen;526019;UZB;2003;2030;2030;2030;3;3;2;0;0;5;0;;2003;2040;2040;X
Ipatiev;526020;UZB;2003;2003;2003;2030;2;4;256;3;0;5;0;;2003;2040;2040;X
Jüngling;526026;UZB;2003;2030;2030;2030;3;3;1;0;0;5;0;;2003;2040;2040;X
Karimov;526027;UZB;2003;2003;2003;2030;1;4;8;2;0;5;0;;2003;2040;2040;X
Shokirov;526028;UZB;2003;2003;2003;2030;1;4;64;2;0;5;0;;2003;2040;2040;X
Zaharchenko;526033;UZB;2003;2003;2030;2030;3;3;2;1;0;5;0;;2003;2040;2040;X
Dema;526034;UZB;2003;2030;2030;2030;3;2;2024;0;0;5;1;;2003;2040;2040;X
Demidov;526035;UZB;2003;2030;2030;2030;3;2;0;0;0;5;1;;2003;2040;2040;X
Doronin;526036;UZB;2003;2003;2030;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Ibadinov;526037;UZB;2003;2003;2030;2030;2;3;4096;0;0;5;1;;2003;2040;2040;X
Krasnorudskiy;526038;UZB;2003;2003;2030;2030;3;2;0;1;0;5;1;;2003;2040;2040;X
Niyazov;526039;UZB;2003;2003;2030;2030;2;3;8192;1;0;5;1;;2003;2040;2040;X
Danilin;526040;UZB;2003;2003;2030;2030;2;2;0;1;0;5;1;;2003;2040;2040;X
Dmitryuk;526041;UZB;2003;2003;2030;2030;3;3;16384;1;0;5;2;;2003;2040;2040;X
Dolina;526042;UZB;2003;2030;2030;2030;3;2;0;0;0;5;1;;2003;2040;2040;X
Dzuba;526043;UZB;2003;2003;2030;2030;2;2;32768;0;0;5;2;;2003;2040;2040;X
Gvornikov;526044;UZB;2003;2003;2030;2030;3;3;0;1;0;5;1;;2003;2040;2040;X
Ipatiev;526045;UZB;2003;2003;2030;2030;2;2;4096;0;0;5;2;;2003;2040;2040;X
