Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Allen;89501;VEN;2000;2030;2030;2030;3;9;0;2;0;5;0;Fjrallen;2003;2030;2030;x
Azuaje;89502;VEN;2000;2030;2030;2030;3;9;128;2;0;5;0;Pazuaje;2003;2030;2030;x
Baduel;89503;VEN;2000;2000;2004;2030;1;9;0;3;0;5;0;M89516;2003;2030;2030;x
Burgos;89504;VEN;2000;2030;2030;2030;3;9;0;1;0;5;0;Hdburgos;2003;2030;2030;x
Carneiro;89505;VEN;2000;2000;2030;2030;2;9;0;2;0;5;0;Jgcarneiro;2003;2030;2030;x
Carrion;89506;VEN;2000;2030;2030;2030;3;9;272;1;0;5;0;Facarrion;2003;2030;2030;x
Dominguez;89507;VEN;2000;2030;2030;2030;3;9;256;2;0;5;0;Lmdominguez;2003;2030;2030;x
Ferreira;89508;VEN;2000;2030;2030;2030;2;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Figueroa;89509;VEN;2000;2030;2030;2030;3;9;0;2;0;5;0;Cfigueroa;2003;2030;2030;x
Garcia;89510;VEN;2000;2000;2030;2030;2;9;0;2;0;5;0;Jgarciac;2003;2030;2030;x
González F.F.;89511;VEN;2000;2030;2030;2030;3;9;0;1;0;5;0;Ffgonzalez;2003;2030;2030;x
González J.G.;89512;VEN;2000;2030;2030;2030;3;9;4;2;0;5;0;Jggonzalez;2003;2030;2030;x
Hernandez J.E.;89513;VEN;2000;2030;2030;2030;3;9;1;1;0;5;0;Jehernandez;2003;2030;2030;x
Pernalete;89514;VEN;2000;2030;2030;2030;3;9;0;2;0;5;0;Unknown;2003;2030;2030;x
Petit;89515;VEN;2000;2030;2030;2030;3;9;1;1;0;5;0;Unknown;2003;2030;2030;x
Rangel G.;89516;VEN;2000;2000;2000;2030;1;9;0;2;0;5;0;Grangel;2003;2030;2030;x
Rangel S.Y.;89517;VEN;2000;2030;2030;2030;3;9;2;2;0;5;0;Syrangel;2003;2030;2030;x
