Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
L.H. Anh;90001;WLL;2000;2030;2030;2030;3;9;0;0;0;5;0;Lhanh;2003;2030;2030;x
L.V. Dung;90002;WLL;2000;2000;2030;2030;2;9;0;1;0;5;0;Lvdung;2003;2030;2030;x
N.H. Kham;90003;WLL;2000;2000;2030;2030;2;9;0;1;0;5;0;Nhkham;2003;2030;2030;x
P.T. Kien;90004;WLL;2000;2000;2030;2030;2;9;2;2;0;5;0;Ptkien;2003;2030;2030;x
P.H. Loi;90005;WLL;2000;2000;2030;2030;2;9;0;1;0;5;0;Unknown;2003;2030;2030;x
N.K. Nghien;90006;WLL;2000;2006;2030;2030;2;9;0;2;0;5;0;Nknghien;2003;2030;2030;x
L.T. Tiem;90007;WLL;2000;2000;2030;2030;2;9;0;1;0;5;0;Ltthiem;2003;2030;2030;x
P.Q. Thanh;90008;WLL;2000;2000;2006;2030;1;9;4;2;0;5;0;M90008;2003;2030;2030;x
N.K. Toan;90009;WLL;2000;2000;2030;2030;2;9;524288;2;0;5;0;Nktoan;2003;2030;2030;x
P.V. Tra;90010;WLL;2000;2000;2000;2000;0;9;524816;3;15;5;0;M90007;2003;2006;2006;X
N.V. Hien;90011;WLL;2000;2008;2030;2030;2;9;0;1;0;5;1;Unknown;2003;2030;2030;x
D.S. Kong;90012;WLL;2000;2000;2030;2030;2;9;0;1;0;5;1;M9009;2003;2030;2030;x
N.H. Vinh;90013;WLL;2000;2030;2030;2030;3;9;0;1;0;5;1;Unknown;2003;2030;2030;x
N.D. Suat;90014;WLL;2000;2000;2000;2003;0;9;0;2;0;5;2;Unknown;2003;2030;2030;x
D.M. Tuan;90015;WLL;2000;2030;2030;2030;3;9;0;1;0;5;2;Unknown;2003;2030;2030;x
