Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Ahmad al Hamid;320000;YEM;2003;2003;2030;2030;2;1;0;1;0;5;0;L320000;2003;2040;2040;X
al Qader al Husseini;320001;YEM;2003;2003;2003;2030;2;3;16;2;0;2;0;L320001;2003;2040;2040;X
al Zakari;320002;YEM;2003;2030;2030;2030;3;2;0;0;0;4;0;L320002;2003;2040;2040;X
Fawzi al Kaukji;320004;YEM;2003;2030;2030;2030;3;2;4;1;0;3;0;L320004;2003;2040;2040;X
Husseini al Hamid;320006;YEM;2003;2003;2030;2030;2;2;0;0;0;5;0;L320006;2003;2040;2040;X
Mansur al Badr;320008;YEM;2003;2003;2030;2030;2;2;1;1;0;5;0;L320008;2003;2040;2040;X
Montgomerie-Clives;320009;YEM;2003;2003;2030;2030;2;3;2;0;0;5;0;L320009;2003;2040;2040;X
Mousa Ahmed;320010;YEM;2003;2030;2030;2030;3;2;0;1;0;4;1;L320010;2003;2040;2040;X
Spinls Pasha;320014;YEM;2003;2003;2030;2030;2;3;0;2;0;5;2;L320014;2003;2040;2040;X
Yahya al Hamid;320015;YEM;2003;2003;2003;2003;0;2;0;1;0;5;2;L320015;2003;2040;2040;X
