Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Chigaba;92001;EUS;2003;2030;2030;2030;3;9;2;1;0;5;0;Unknown;2000;2030;2030;x
Chiwenga;92002;EUS;2003;2003;2003;2030;1;9;0;1;0;5;0;Cchiwenga;2000;2030;2030;x
Garira;92003;EUS;2003;2030;2030;2030;3;9;32;0;0;5;0;Unknown;2000;2030;2030;x
Manyika;92004;EUS;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2000;2030;2030;x
Mpatiwa;92005;EUS;2003;2030;2030;2030;3;9;256;0;0;5;0;Unknown;2000;2030;2030;x
Munawa;92006;EUS;2003;2030;2030;2030;3;9;0;0;0;5;0;Unknown;2000;2030;2030;x
Mupande;92007;EUS;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2000;2030;2030;x
Mutisi;92008;EUS;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2000;2030;2030;x
Ncube;92009;EUS;2003;2030;2030;2030;3;9;0;1;0;5;0;Unknown;2000;2030;2030;x
Nyikayaramba;92010;EUS;2003;2030;2030;2030;3;9;0;1;0;5;0;Nyikayaramba;2000;2030;2030;x
Shoko;92011;EUS;2003;2030;2030;2030;3;9;256;0;0;5;0;Unknown;2000;2030;2030;x
Sibanda;92012;EUS;2003;2003;2030;2030;2;9;0;2;0;5;0;Psibanda;2000;2030;2030;x
Sigauke;92013;EUS;2003;2030;2030;2030;3;9;132;2;0;5;0;Unknown;2000;2030;2030;x
Chasakara;92014;EUS;2003;2030;2030;2030;3;9;0;0;0;5;2;Unknown;2000;2030;2030;x
Nhamoinesu;92015;EUS;2003;2030;2030;2030;3;9;0;0;0;5;2;Unknown;2000;2030;2030;x
Sango;92016;EUS;2003;2030;2030;2030;3;9;0;0;0;5;2;Unknown;2000;2030;2030;x
Shiri;92017;EUS;2003;2003;2003;2030;1;9;0;1;0;5;2;Pshiri;2000;2030;2030;x
