BUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
12501;Head of State;Than Shwe;2003;2050;2050;FA;Pig-headed Isolationist;High;M12501;x
12502;Head of Government;Than Shwe;2003;2050;2050;FA;Silent Workhorse;High;M12501;x
12503;Foreign Minister;Win Aung;2003;2050;2050;FA;Great Compromiser;High;M12503;x
12504;Minister of Armament;Hla Tun;2003;2050;2050;FA;Resource Industrialist;High;M12504;x
12505;Minister of Security;Tin Hlaing;2003;2050;2050;FA;Crime Fighter;High;M12505;x
12506;Chief of Staff;Khin Nyunt;2003;2050;2050;FA;School of Fire Support;High;M12506;x
12507;Chief of Staff;Maung Aye;2003;2050;2050;FA;School of Defence;High;M12507;x
12508;Chief of Army;Maung Aye;2003;2050;2050;FA;Guns and Butter Doctrine;High;M12507;x
12509;Chief of Navy;Kyi Min;2003;2050;2050;FA;Open Seas Doctrine;High;Unknown;x
12510;Chief of Air Force;Myat Hein;2003;2050;2050;FA;Naval Aviation Doctrine;High;M12510;x
;Replacements;;;;;;;x
12511;Head of State;Aung San Suu Kyi;2003;2050;2050;SL;Die-Hard Reformer;High;M12511;x
12512;Head of Government;Khin Nyunt;2003;2050;2050;PA;Naive Optimist;High;M12506;x
12513;Head of Government;Soe Win;2004;2050;2050;FA;Flamboyant Tough Guy;High;M12513;x
12514;Head of Government;Sein Win;2003;2050;2050;SL;Silent Workhorse;High;M12514;x
12515;Foreign Minister;Sein Win;2003;2050;2050;SL;Ideological Crusader;High;M12514;x
12516;Minister of Armament;U Bo Hla-Tint;2003;2050;2050;SL;laissez-faire capitalist;High;M12516;x
12517;Minister of Security;Maung Oo;2004;2050;2050;FA;Back Stabber;High;M12517;x
12518;Minister of Security;Sann Aung;2003;2050;2050;SL;Silent Lawyer;High;Unknown;x
12519;Head of Military Intelligence;Maung Oo;2004;2050;2050;FA;Logistics Specialist;High;M12517;x
12520;Head of Military Intelligence;Tint Swe;2004;2050;2050;SL;Political Specialist;High;Unknown;x
