U00;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
78500;Head of State;Juan José Ibarretxe;2003;2050;2050;SC;Popular Figurehead;High;M78500;x
78501;Head of Government;Artur Mas i Gavarró;2003;2050;2050;SC;Silent Workhorse;High;M78501;x
78502;Foreign Minister;Iñigo Iturrate;2003;2050;2050;SC;Great Compromiser;High;M78502;x
78503;Minister of Armament;Jordi Casas;2003;2050;2050;SC;Resource Industrialist;High;M78503;x
78504;Minister of Security;Dolors Batalla;2003;2050;2050;SC;Crime Fighter;High;M78504;x
78505;Head of Military Intelligence;Duran Lleida;2003;2050;2050;SC;Technical Specialist;High;M78505;x
78506;Chief of Staff;Xavier Trias;2003;2050;2050;SC;School of Defence;High;M78506;x
78507;Chief of Army;Unknown;2003;2050;2050;SC;Guns and Butter Doctrine;High;Unknown;x
78508;Chief of Navy;Gonzalo Saenz de Samaniego;2003;2050;2050;SC;Open Seas Doctrine;High;M78508;x
78509;Chief of Air Force;Unknown;2003;2050;2050;SC;Naval Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
78511;Head of Government;Josep-Lluis Carod Robira;2003;2050;2050;SL;Political Protege;High;M78511;x
78512;Head of State;Arnaldo Otegui;2003;2050;2050;SL;Ruthless Powermonger;High;M78512;x
78513;Foreign Minister;Carme Capdevila;2003;2050;2050;SL;Biased Intellectual;High;M78513;x
78514;Chief of Staff;Joan Puigcercós;2003;2050;2050;SL;School of Psychology;High;M78514;x
