AFG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1;Head of State;Hamid Karzai;2003;2050;2050;FA;Powerhungry Demagogue;High;M1;x
2;Head of Government;Hamid Karzai;2003;2050;2050;FA;Political Protege;High;M1;x
3;Foreign Minister;Dr Abdullah;2003;2050;2050;FA;Iron Fisted Brute;High;M3;x
4;Minister of Armament;Mohammad Qaseem Fahim;2003;2050;2050;FA;Infantry Proponent;High;M4;x
5;Minister of Security;Abdul Rahim Karimi;2003;2050;2050;FA;Prince of Terror;High;M5;x
6;Head of Military Intelligence;Mr X;2003;2050;2050;FA;Dismal Enigma;High;Unknown;x
7;Chief of Staff;Mohammad Qaseem Fahim;2003;2050;2050;FA;School of Defence;High;M4;x
8;Chief of Army;Mohammad Qaseem Fahim;2003;2050;2050;FA;Static Defence Doctrine;High;M4;x
9;Chief of Navy;Mohammad Qaseem Fahim;2003;2050;2050;FA;Decisive Naval Battle Doctrine;High;M4;x
10;Chief of Air Force;Mohammad Qaseem Fahim;2003;2050;2050;FA;Army Aviation Doctrine;High;M4;x
;Replacements;;;;;;;x
