ALB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
501;Head of State;Alfred Moisiu;2003;2050;2050;SD;Insignificant Layman;High;M501;x
502;Head of Government;Fatos Nano;2003;2050;2050;SD;Ambitious Union Boss;High;Fnano;x
503;Foreign Minister;Ilir Meta;2003;2050;2050;SD;Biased Intellectual;High;Imeta;x
504;Minister of Armament;Pandeli Majko;2003;2050;2050;SD;Corrupt Kleptocrat;High;Pmajko;x
505;Minister of Security;Luan Rama;2003;2050;2050;SD;Silent Lawyer;High;Lrama;x
506;Head of Military Intelligence;Aldo Bumci;2003;2050;2050;SD;Logistics Specialist;High;M505;x
507;Chief of Staff;Pellumb Qazimi;2003;2050;2050;NA;School of Psychology;High;M507;x
508;Chief of Army;Kostaq Karoli;2003;2050;2050;NA;elastic defence doctrine;High;M508;x
509;Chief of Navy;Kudret Cela;2003;2050;2050;NA;Open Seas Doctrine;High;M510;x
510;Chief of Air Force;Astrit Jaupi;2003;2050;2050;NA;Army Aviation Doctrine;High;M509;x
;Replacements;;;;;;;x
511;Head of State;Alfred Moisiu;2003;2050;2050;ML;Insignificant Layman;High;M501;x
512;Head of Government;Sali Berisha;2005;2050;2050;SD;Silent Workhorse;High;M502;x
513;Head of State;Bamir Topi;2007;2050;2050;ML;Popular Figurehead;High;Btopi;x
514;Foreign Minister;Besnik Mustafaj;2005;2050;2050;SD;Apologetic Clerk;High;M503;x
515;Foreign Minister;Kastriot Islami;2003;2050;2050;SD;Iron Fisted Brute;Medium;Kislami;x
516;Foreign Minister;Lulzim Basha;2007;2050;2050;ML;Apologetic Clerk;High;Lbasha;x
517;Minister of Armament;Fatmir Mediu;2005;2050;2050;SC;Infantry Proponent;High;M504;x
518;Minister of Armament;Gazmend Oketa;2008;2050;2050;SC;Administrative Genius;High;Goketa;x
519;Minister of Security;Aldo Bumci;2003;2050;2050;SD;Man of the People;High;M505;x
520;Minister of Security;Igli Toska;2003;2050;2050;SD;Crime Fighter;High;Itoska;x
521;Minister of Security;Sokol Olldashi;2005;2050;2050;ML;Silent Lawyer;High;Solldashi;x
522;Minister of Security;Bujar Nishani;2007;2050;2050;ML;Back Stabber;High;Bnishani;x
523;Head of Government;Skënder Gjinushi;2003;2050;2050;SL;Naive Optimist;High;Sgjinushi;x
524;Head of State;Neritan Ceka;2003;2050;2050;SL;Popular Figurehead;High;Nceka;x
525;Foreign Minister;Pellumb Qazimi;2008;2050;2050;ML;General Staffer;High;M507;x
526;Chief of Staff;Maksim Malaj;2008;2050;2050;NA;School of Defence;High;Mmalaj;x
527;Chief of Staff;Zyber Dushku;2010;2050;2050;NA;School of Psychology;High;Zdushku;x
528;Chief of Staff;Kostaq Karoli;2006;2050;2050;NA;School of Fire Support;High;M508;x
529;Foreign Minister;Zef Bushati;2003;2050;2050;ML;Great Compromiser;High;Zbushati;x
530;Foreign Minister;Lublin Dilja;2007;2050;2050;ML;Apologetic Clerk;High;Ldilja;x
531;Minister of Armament;Sali Kelmendi;2003;2050;2050;ML;Laissez-Faire Capitalist;High;Skelmendi;x
532;Head of State;Hysni Milloshi;2003;2050;2050;LE;Weary Stiffneck;High;Hmilloshi;x
