ALG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1001;Head of State;Abdelaziz Bouteflika;2003;2050;2050;LWR;Popular Figurehead;High;M1000;x
1002;Head of Government;Ali Benflis;2003;2050;2050;LWR;Flamboyant Tough Guy;High;Abenflis;x
1003;Foreign Minister;Abdelaziz Belkhadem;2003;2050;2050;LWR;Biased Intellectual;High;Abelkhadem;x
1004;Minister of Armament;Hacne Gherabi;2003;2050;2050;LWR;Tank Proponent;High;Unknown;x
1005;Minister of Security;Noureddine Yazid Zerhouni;2003;2050;2050;LWR;Crime Fighter;High;Unknown;x
1006;Head of Military Intelligence;Smain Lamari;2003;2050;2050;LWR;Logistics Specialist;High;Unknown;x
1007;Chief of Staff;Tahar Khaoua;2003;2050;2050;LWR;School of Defence;High;Unknown;x
1008;Chief of Army;Mohamed Lamari;2003;2050;2050;NA;Guns and Butter Doctrine;High;Mlamari;x
1009;Chief of Navy;Unknown;2003;2050;2050;LWR;Open Seas Doctrine;High;Unknown;x
1010;Chief of Air Force;Unknown;2003;2050;2050;LWR;Naval Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
1011;Head of Government;Abdelaziz Belkhadem;2003;2050;2050;LWR;Flamboyant Tough Guy;High;Abelkhadem;x
1012;Head of Government;Ahmed Ouyahia;2003;2050;2050;LWR;Silent Workhorse;High;M1001;x
1013;Foreign Minister;Reguieg Bentabet;2003;2050;2050;LWR;Great Compromiser;High;Rbentabet;x
1014;Foreign Minister;Mohammed Bedjaoui;2003;2050;2050;LWR;Great Compromiser;High;Mbedjaoui;x
1015;Foreign Minister;Mourad Medelci;2003;2050;2050;LWR;Apologetic Clerk;High;Mmedelci;x
1016;Minister of Armament;Abdelmalek Guenaizia;2003;2050;2050;LWR;Resource Industrialist;High;Aguenaizia;x
1017;Head of State;Saad Abdallah Djaballah;2003;2050;2050;FA;Barking Buffoon;High;Sadjaballah;x
1018;Head of Government;Anwar Haddam;2003;2050;2050;FA;Flamboyant Tough Guy;High;Ahaddam;x
1019;Minister of Security;Ali Belhadj;2003;2050;2050;NS;Prince of Terror;High;Abelhadj;x
1020;Minister of Armament;Abdelwahid Bouabdallah;2003;2050;2050;SD;Laissez-Faire Capitalist;High;Abouabdallah;x
1021;Head of Government;Abdelwahid Bouabdallah;2003;2050;2050;SD;Corporate Suit;High;Abouabdallah;x
1022;Minister of Armament;Abderrachid Boukerzaza;2003;2050;2050;SD;Theoretical Scientist;High;Aboukerzaza;x
1023;Foreign Minister;Said Djinnit;2003;2050;2050;ML;Great Compromiser;High;Sdjinnit;x
1024;Minister of Armament;Amar Ghoul;2003;2050;2050;LWR;Theoretical Scientist;High;Aghoul;x
1025;Head of State;Louisa Hanoune;2003;2050;2050;ST;Die-hard Reformer;High;Lhanoune;x
1026;Foreign Minister;Rabeh Kebir;2003;2050;2050;FA;Ideological Crusader;High;Rkebir;x
1027;Head of State;Ali Fawzi Rebaine;2003;2050;2050;SL;Benevolent Gentleman;High;Afrebaine;x
1028;Head of Government;Said Saidi;2003;2050;2050;SL;Corporate Suit;High;Ssaidi;x
1029;Minister of Security;Bouguerra Soltani;2003;2050;2050;PA;Man of the People;High;Bsoltani;x
1030;Foreign Minister;Youcef Yousfi;2003;2050;2050;SD;Biased Intellectual;High;Yyousfi;x
1031;Head of Military Intelligence;Mohamed Mediene;2003;2050;2050;LWR;Political Specialist;High;Unknown;x
1032;Chief of Army;Ahmed Gaid Salah;2003;2050;2050;NA;Elastic Defence Doctrine;High;Agsalah;x
1033;Minister of Armament;Liamine Zéroual;2003;2050;2050;PA;Military Entrepreneur;High;Lzeroual;x
1034;Minister of Armament;Madani Mezrag;2003;2050;2050;NS;Infantry Proponent;High;Mmezrag;x
1035;Head of Military Intelligence;Abdelkader Chebouti;2003;2050;2050;NS;Dismal Enigma;High;Unknown;x
