AST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
3500;Head of State;Queen Elizabeth II;2003;2050;2050;ML;Popular Figurehead;High;M87000;x
3501;Head of Government;John Howard;2003;2050;2050;ML;Political Protege;High;M3502;x
3502;Foreign Minister;Alexander Downer;2003;2050;2050;ML;Ideological Crusader;High;M3503;x
3503;Minister of Armament;Robert Hill;2003;2050;2050;ML;Administrative Genius;High;M3504;x
3504;Minister of Security;Daryl Williams;2003;2050;2050;ML;Man of the People;High;dwilliams;x
3505;Head of Military Intelligence;Frank Lewincamp;2003;2050;2050;NA;Political Specialist;High;Flewincamp;x
3506;Chief of Staff;Peter Cosgrove;2003;2050;2050;NA;School of Manoeuvre;High;pcosgrove;x
3507;Chief of Army;Peter Leahy;2003;2050;2050;NA;Decisive Battle Doctrine;High;M3508;x
3508;Chief of Navy;Chris Ritchie;2003;2050;2050;NA;Open Seas Doctrine;High;M3509;x
3509;Chief of Air Force;Allan Grant Houston;2003;2050;2050;NA;Army Aviation Doctrine;High;M3510;x
;Replacements;;;;;;;x
3511;Minister of Security;Peter Dutton;2010;2050;2050;ML;Crime Fighter;High;Pdutton;x
3512;Head of Government;Mark Latham;2003;2050;2050;SD;Flamboyant Tough Guy;High;Mlatham;x
3513;Minister of Armament;Brendan Nelson;2003;2050;2050;ML;Battle Fleet Proponent;High;bnelson;x
3514;Minister of Armament;Joel Fitzgibbon;2006;2050;2050;SD;Air Superiority Proponent;High;jfitzgibbon;x
3515;Head of Government;Kevin Rudd;2007;2050;2050;SD;Silent Workhorse;High;krudd;x
3516;Minister of Security;Phillip Ruddock;2003;2050;2050;ML;Silent Lawyer;High;pruddock;x
3517;Minister of Security;Robert McClelland;2003;2050;2050;SD;Crime Fighter;High;rmcclelland;x
3518;Foreign Minister;Stephen Smith;2003;2050;2050;SD;Great Compromiser;High;ssmith;x
3519;Minister of Armament;Nick Minchin;2003;2050;2050;ML;Military Entrepreneur;High;nminchin;x
3520;Minister of Armament;Lindsay Tanner;2005;2050;2050;ML;Resource Industrialist;High;ltanner;x
3521;Head of Military Intelligence;David Irvine;2003;2050;2050;NA;Political Specialist;High;dirvine;x
3522;Chief of Navy;Russ Shalders;2003;2050;2050;NA;Decisive Naval Battle Doctrine;High;rshalders;x
3523;Chief of Air Force;Geoff Shepherd;2004;2050;2050;NA;Air Superiority Doctrine;High;gshepherd;x
3524;Chief of Staff;Allan Grant Houston;2004;2050;2050;NA;School of Mass Combat;High;M3510;x
3525;Chief of Army;Ken Gillespie;2007;2050;2050;NA;Guns and Butter Doctrine;High;kgillespie;x
3526;Head of Military Intelligence;Paul O'Sullivan;2003;2050;2050;NA;Political Specialist;High;Posullivan;x
3527;Head of Military Intelligence;Peter Varghese;2003;2050;2050;NA;Dismal Enigma;High;Unknown;x
3528;Head of Military Intelligence;Dennis Richardson;2003;2050;2050;NA;Dismal Enigma;High;Drichardson;x
3529;Head of Military Intelligence;Maurice McNarn;2003;2050;2050;NA;Logistics Specialist;High;Mmcnarn;x
