CAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
95501;Head of State;Arnold Schwarzenegger;2003;2050;2050;ML;Pig-headed Isolationist;High;Aschwarzenegger;x
95502;Head of Government;Arnold Schwarzenegger;2003;2050;2050;ML;Silent Workhorse;High;Aschwarzenegger;x
95503;Foreign Minister;Elton Gallegly;2003;2050;2050;ML;Biased Intellectual;High;Egallegly;x
95504;Minister of Armament;Duncan Hunter;2003;2050;2050;ML;Battle Fleet Proponent;High;Dhunter;x
95505;Minister of Security;Matthew Bettenhausen;2003;2050;2050;ML;Silent Lawyer;High;Mbettenhausen;x
95506;Head of Military Intelligence;Dan Lundgren;2003;2050;2050;ML;Political Specialist;High;Dlundgren;x
95507;Chief of Staff;William H. Wade;2003;2050;2050;NA;School of Fire Support;High;Whwade;x
95508;Chief of Army;Louis Antonetti;2003;2050;2050;NA;Elastic Defence Doctrine;High;Lantonetti;x
95509;Chief of Navy;Philip Greene;2003;2050;2050;NA;Decisive Naval Battle Doctrine;High;Pgreene;x
95510;Chief of Air Force;Dennis Lucas;2003;2050;2050;NA;Air Superiority Doctrine;High;Dlucas;x
;Replacements;;;;;;;x
95511;Chief of Army;Jeffrey Gidley;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Jgidley;x
95512;Foreign Minister;Barbara Boxer;2003;2050;2050;SL;Ideological Crusader;High;Bboxer;x
95513;Foreign Minister;Dana Rohrabacher;2003;2050;2050;ML;Apologetic Clerk;High;Drohrabacher;x
95514;Foreign Minister;Ed Royce;2003;2050;2050;ML;Great Compromiser;High;Eroyce;x
95515;Foreign Minister;Bradley Sherman;2003;2050;2050;SL;Biased Intellectual;High;Bsherman;x
95516;Foreign Minister;Barbara Lee;2003;2050;2050;SD;Ideological Crusader;High;Blee;x
95517;Foreign Minister;James Costa;2003;2050;2050;SL;Great Compromiser;High;Jcosta;x
95518;Head of Military Intelligence;Mike Thompson;2003;2050;2050;SL;Industrial Specialist;High;Mthompson;x
95519;Head of Military Intelligence;Adam Schiff;2003;2050;2050;SL;Technical Specialist;High;Aschiff;x
95520;Head of State;Philip Angelides;2003;2050;2050;SL;Weary Stiffneck;High;Pangelides;x
95521;Head of Government;Philip Angelides;2003;2050;2050;SL;Corporate Suit;High;Pangelides;x
95522;Chief of Navy;Terry Kraft;2003;2050;2050;SL;Power Projection Doctrine;High;Tkraft;x
95523;Chief of Navy;Robert Willard;2003;2050;2050;ML;Power Projection Doctrine;High;robertfwillard;x
