CAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
14001;Head of State;Queen Elizabet II;2003;2050;2050;SL;Popular Figurehead;High;M14011;x 
14002;Head of Government;Jean Chrétien;2003;2050;2050;SL;Ambitious Union Boss;High;Jcretien;x
14003;Foreign Minister;Bill Graham;2003;2050;2050;SL;Ideological Crusader;High;Bgraham;x
14004;Minister of Armament;John McCallum;2003;2050;2050;SL;Administrative Genius;High;Jmccallum;x 
14005;Minister of Security;Martin Cauchon;2003;2050;2050;SL;Compassionate Gentleman;High;Mcauchon;x 
14006;Head of Military Intelligence;Ward Elcock;2003;2050;2050;SL;Logistics Specialist;High;M14006;x 
14007;Chief of Staff;Ray Henault;2003;2050;2050;SL;School of Fire Support;High;M14007;x 
14008;Chief of Army;Rick Hillier;2003;2050;2050;SL;Guns and Butter Doctrine;High;Rhillier;x 
14009;Chief of Navy;Bruce MacLean;2003;2050;2050;SL;Open Seas Doctrine;High;M14009;x 
14010;Chief of Air Force;Astra Ken Pennie;2003;2050;2050;SL;Air Superiority Doctrine;High;M14010;x
;Replacements;;;;;;;x
14011;Head of State;Adrienne Clarkson;2003;2050;2050;SL;Popular Figurehead;High;M14001;x 
14012;Head of Government;Stephen Harper;2006;2050;2050;SC;Smiling Oilman;High;M14022;x 
14013;Head of Government;Stephane Dion;2003;2050;2050;SL;Naive Optimist;High;M14023;x 
14014;Head of State;Queen Elizabet II;2003;2050;2050;ML;Popular Figurehead;High;M14011;x 
14015;Head of Government;Paul Martin;2003;2050;2050;SL;Naive Optimist;High;M14002;x 
14016;Foreign Minister;Pierre Pettigrew;2003;2050;2050;SL;Great Compromiser;High;M14003;x 
14017;Foreign Minister;Peter MacKay;2006;2050;2050;SC;Biased Intellectual;High;Pmackay;x
14018;Foreign Minister;Maxime Bernier;2006;2050;2050;SC;Apologetic Clerk;High;Mbernier;x
14019;Foreign Minister;David Emerson;2008;2050;2050;ML;Great Compromiser;High;M14004;x
14020;Minister of Armament;David Pratt;2003;2050;2050;SL;laissez-faire capitalist;High;Dpratt;x
14021;Minister of Armament;Bill Graham;2003;2050;2050;SL;laissez-faire capitalist;High;Bgraham;x
14022;Minister of Armament;Gordon O'Connor;2003;2050;2050;SC;Military Entrepreneur;High;Goconnor;x
14023;Minister of Armament;Peter MacKay;2006;2050;2050;SC;laissez-faire capitalist;High;Pmackay;x
14024;Chief of Staff;Rick Hillier;2003;2050;2050;SL;School of Psychology;High;Rhillier;x
14025;Head of Government;Don Andrews;2003;2050;2050;PA;Flamboyant Tough Guy;High;Dandrews;x
14026;Foreign Minister;Glenn Bahr;2008;2050;2050;NS;Ideological Crusader;High;Unknown;x
14027;Minister of Security;Doug Christie;2003;2050;2050;PA;Silent Lawyer;High;Dchristie;x
14028;Minister of Security;Paul Fromm;2003;2050;2050;FA;Prince of Terror;High;Pfromm;x
14029;Minister of Armament;Paul Fromm;2003;2050;2050;FA;Tank Proponent;High;Pfromm;x
14030;Minister of Security;Melissa Guille;2008;2050;2050;FA;Prince of Terror;High;Mguille;x
14031;Foreign Minister;Gary Schipper;2003;2050;2050;FA;Ideological Crusader;High;Unknown;x
14032;Minister of Security;Jean-Claude Rivest;2003;2050;2050;ML;Crime Fighter;High;Jcrivest;x
14033;Minister of Security;Dalton McGuinty;2003;2050;2050;SL;Man of the People;High;Dmcguinty;x
14034;Minister of Security;Rob Merrifield;2003;2050;2050;SC;Silent Lawyer;High;Rmerrifield;x
14035;Minister of Security;Irwin Cotler;2003;2050;2050;SL;Man of the People;High;Icotler;x
14036;Minister of Security;Victor Toews;2006;2050;2050;SC;Crime Fighter;High;Vtoews;x
14037;Minister of Security;Robert Nicholson;2006;2050;2050;ML;Silent Lawyer;High;Rnicholson;x
14038;Minister of Armament;Ward Elcock;2003;2050;2050;SL;Administrative Genius;High;M14006;x
14039;Head of Military Intelligence;Dale Neufeld;2003;2050;2050;SL;Dismal Enigma;High;Dneufeld;x
14040;Head of Military Intelligence;James Dudd;2004;2050;2050;SL;Political Specialist;High;Jdudd;x
14041;Head of Military Intelligence;Jack Hooper;2004;2050;2050;SL;Political Specialist;High;Jhooper;x
14042;Head of Military Intelligence;Luc Portelance;2007;2050;2050;SL;Logistics Specialist;High;Lportelance;x
14043;Head of Government;Stéphane Dion;2006;2050;2050;SL;Silent Workhorse;High;Sdion;x
14044;Foreign Minister;Michael Ignatieff;2003;2050;2050;SL;Biased Intellectual;High;Mignatieff;x
14045;Minister of Security;Ken Dryden;2003;2050;2050;SL;Compassionate Gentleman;High;Kdryden;x
14046;Head of Government;Jack Layton;2003;2050;2050;SD;Ambitious Union Boss;High;Jlayton;x
14047;Minister of Security;Bill Siksay;2003;2050;2050;SD;Man of the People;High;Bsiksay;x
14048;Minister of Armament;Peter Stoffer;2003;2050;2050;SD;Military Entrepreneur;High;Pstoffer;x
14049;Minister of Security;Brian Masse;2008;2050;2050;SD;Compassionate Gentleman;High;Bmasse;x
14050;Foreign Minister;Anita Andreychuk;2003;2050;2050;ML;Great Compromiser;High;Aandreychuk;x
14051;Minister of Armament;Michael Fortier;2003;2050;2050;ML;Resource Industrialist;High;Mfortier;x
14052;Minister of Security;Pierre Claude Nolin;2003;2050;2050;ML;Compassionate Gentleman;High;Pcnolin;x
14053;Minister of Armament;Jean-Pierre Blackburn;2003;2050;2050;SC;laissez-faire capitalist;High;Jpblackburn;x
14054;Minister of Armament;Robert Fonberg;2007;2050;2050;ML;Administrative Genius;High;Rfonberg;x
14055;Minister of Armament;Dean Del Mastro;2010;2050;2050;ML;Tank Proponent;High;Ddmastro;x
14056;Minister of Armament;James Flaherty;2006;2050;2050;ML;laissez-faire capitalist;High;Jflaherty;x
14057;Foreign Minister;Helena Guergis;2010;2050;2050;ML;Great Compromiser;High;Hguergis;x
14058;Minister of Armament;Laurie Hawn;2006;2050;2050;SC;Air Superiority Proponent;High;Lhawn;x
14059;Foreign Minister;Rahim Jaffer;2015;2050;2050;ML;Biased Intellectual;High;Rjaffer;x
14060;Minister of Armament;James Prentice;2007;2050;2050;ML;Resource Industrialist;High;Jprentice;x
14061;Minister of Security;James Prentice;2007;2050;2050;ML;Silent Lawyer;High;Jprentice;x
14062;Minister of Security;Monte Solberg;2009;2050;2050;SC;Man of the People;High;Msolberg;x
14063;Foreign Minister;Kevin Sorenson;2008;2050;2050;ML;Apologetic Clerk;High;Ksorenson;x
