CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
80501;Head of State;Chen Shui-bian;2003;2050;2050;SL;Stern Imperialist;High;M80501;x
80502;Head of Government;Yu Shyi-kun;2003;2050;2050;SL;Political Protege;High;M80502;x
80503;Foreign Minister;Eugene Chien;2003;2050;2050;SL;Biased Intellectual;High;M80503;x
80504;Minister of Armament;Lin Chuan;2003;2050;2050;SL;laissez-faire capitalist;High;TW_Lin_Chuan;x
80505;Minister of Security;Tsai Tsao-ming;2003;2050;2050;SL;Compassionate Gentleman;High;M80504;x
80506;Head of Military Intelligence;Dai Po-te;2003;2050;2050;SL;Political Specialist;High;TW_Dai_Po-te;x
80507;Chief of Staff;Lee Jye;2003;2050;2050;NA;School of Defence;High;M80507;x
80508;Chief of Army;Chu Kai-sheng;2003;2050;2050;NA;elastic defence doctrine;High;M80528;x
80509;Chief of Navy;Chen Pang-chih;2003;2050;2050;NA;Power Projection Doctrine;High;M80509;x
80510;Chief of Air Force;Lee Tien-yu;2003;2050;2050;NA;Air Superiority Doctrine;High;M80510;x
;Replacements;;;;;;;x
80511;Head of State;Lien Chan;2004;2050;2050;ML;Weary Stiffneck;High;M80511;x
80512;Head of State;Lu Hsiu-lien;2003;2050;2050;SL;Die-hard Reformer;High;M80512;x
80513;Head of State;James Soong;2004;2050;2050;ML;Die-hard Reformer;High;M80513;x
80514;Head of Government;Frank Hsieh;2008;2050;2050;SL;Corporate Suit;High;M80514;x
80515;Head of Government;Su Tseng-chang;2006;2050;2050;SL;Flamboyant Tough Guy;High;M80515;x
80516;Minister of Armament;Lee Jye;2004;2050;2050;SL;Air Superiority Proponent;High;M80507;x
80517;Minister of Armament;Kao Hua-chu;2003;2050;2050;ML;Administrative Genius;High;M80519;x
80518;Minister of Armament;Lee Tien-yu;2007;2050;2050;ML;Tank Proponent;High;M80510;x
80519;Minister of Security;Hsueh Shih-ming;2003;2050;2050;SL;Silent Lawyer;High;M80522;x
80520;Minister of Security;Weng Yueh-sheng;2003;2050;2050;ML;Crime Fighter;High;M80523;x
80521;Minister of Security;Shih Mao-lin;2003;2050;2050;ML;Efficient Sociopath;High;M80524;x
80522;Head of Military Intelligence;Hsueh Shih-ming;2003;2050;2050;SL;Logistics Specialist;High;M80522;x
80523;Head of Military Intelligence;Shih Mao-lin;2003;2050;2050;ML;Technical Specialist;High;M80524;x
80524;Head of Military Intelligence;Weng Yueh-sheng;2003;2050;2050;ML;Naval Intelligence Specialist;High;M80523;x
80525;Chief of Staff;Chu Kai-sheng;2008;2050;2050;NA;School of Fire Support;High;M80528;x
80526;Chief of Staff;Kao Hua-chu;2003;2050;2050;NA;School of Defence;High;M80519;x
80527;Chief of Staff;Lee Tien-yu;2007;2050;2050;NA;School of Psychology;High;M80510;x
80528;Chief of Army;Kao Hua-chu;2003;2050;2050;NA;Decisive Battle Doctrine;High;M80519;x
80529;Head of State;Ma Ying-jeou;2008;2050;2050;ML;Autocratic Charmer;High;Myjeou;x
80530;Head of Government;Frank Hsieh;2005;2050;2050;SL;Naive Optimist;High;M80514;x
80531;Head of Government;Chang Chun-hsiung;2003;2050;2050;SL;Flamboyant Tough Guy;High;Cchsiung;x
80532;Head of Government;Liu Chao-shiuan;2008;2050;2050;ML;Corporate Suit;High;Lcshiuan;x
