CHL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
16501;Head of State;Ricardo Lagos;2003;2050;2050;SD;Benevolent Gentleman;High;M16501;x 
16502;Head of Government;Ricardo Lagos;2003;2050;2050;SD;Naive Optimist;High;M16501;x 
16503;Foreign Minister;Soledad Alvear;2003;2050;2050;SD;Great Compromiser;High;M16503;x 
16504;Minister of Armament;Michelle Bachelet;2003;2050;2050;SD;Air Superiority Proponent;High;M16504;x 
16505;Minister of Security;Alberto Cienfuegos Becerra;2003;2050;2050;SD;Crime Fighter;High;M16505;x 
16506;Head of Military Intelligence;Gustavo Villalobos;2003;2050;2050;SD;Political Specialist;High;M16506;x 
16507;Chief of Staff;Juan Carlos Salgado Brocal;2003;2050;2050;ML;School of Manoeuvre;High;M16507;x 
16508;Chief of Army;Juan Emilio Cheyre;2003;2050;2050;SD;Armoured Spearhead Doctrine;High;M16508;x 
16509;Chief of Navy;Miguel Ángel Vergara;2003;2050;2050;SD;Open Seas Doctrine;High;M16509;x 
16510;Chief of Air Force;Osvaldo Sarabia Vilches;2003;2050;2050;SD;Air Superiority Doctrine;High;M16510;x 
;Replacements;;;;;;;x
16511;Foreign Minister;Ignacio Walker;2003;2050;2050;SD;Great Compromiser;High;M16511;x 
16512;Minister of Armament;Carlos Parra;2003;2050;2050;SD;Air Superiority Proponent;High;M16512;x 
16513;Minister of Security;Federico Schwerter Atero;2003;2050;2050;ML;Crime Fighter;High;Unknown;x 
16514;Minister of Security;Nelson Godoy Barrientos;2003;2050;2050;ML;Crime Fighter;High;Unknown;x 
16515;Chief of Staff;Jorge Huerta Dunsmore;2003;2050;2050;ML;School of Fire Support;High;M16515;x 
16516;Chief of Army;Javier Urbina Paredes;2003;2050;2050;ML;elastic defence doctrine;High;M16516;x 
16517;Chief of Navy;Raúl Silva Gordon;2003;2050;2050;ML;Open Seas Doctrine;High;M16517;x 
16518;Chief of Navy;Oscar Manzano Soko;2003;2050;2050;ML;Decisive Naval Battle Doctrine;High;M16518;x 
16519;Chief of Air Force;Ricardo Ortega Perrier;2003;2050;2050;ML;Air Superiority Doctrine;High;M16519;x
