CMB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
13001;Head of State;Norodom Sihamoni;2003;2050;2050;PA;Autocratic Charmer;High;M13001;x
13002;Head of Government;Hun Sen;2003;2050;2050;PA;Political Protege;High;M13002;x
13003;Foreign Minister;Hor Namhong;2003;2050;2050;PA;General Staffer;High;M13003;x
13004;Minister of Armament;Nhek Bunchhay;2003;2050;2050;PA;Infantry Proponent;High;M13004;x
13005;Minister of Security;Ang Vong Vattana;2003;2050;2050;PA;Compassionate Gentleman;High;Unknown;x
13006;Head of Military Intelligence;Ang Vong Vattana;2003;2050;2050;PA;Political Specialist;High;Unknown;x
13007;Chief of Staff;Ke Kim Yan;2003;2050;2050;PA;School of Defence;High;M13007;x
13008;Chief of Army;Ke Kim Yan;2003;2050;2050;PA;Static Defence Doctrine;High;M13007;x
13009;Chief of Navy;Norodom Vatvani;2003;2050;2050;PA;Open Seas Doctrine;High;Unknown;x
13010;Chief of Air Force;Um Samkhan;2003;2050;2050;PA;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
13011;Head of Government;Sar Kheng;2003;2050;2050;PA;Political Protege;High;M13011;x
13012;Head of Government;Norodom Sirivudh;2003;2050;2050;SD;Naive Optimist;High;M13012;x
13013;Head of Government;Sok An;2003;2050;2050;SC;Silent Workhorse;High;M13013;x
13014;Head of Government;Lu Lay Sreng;2003;2050;2050;ML;Corporate Suit;High;M13014;x
13015;Head of Government;Tea Banh;2003;2050;2050;LWR;Backroom Backstabber;High;Unknown;x
13016;Head of Government;Hor Namhong;2003;2050;2050;FA;Flamboyant Tough Guy;High;M13003;x
13017;Head of Government;Nhek Bunchhay;2003;2050;2050;LE;Political Protege;High;M13004;x
13018;Minister of Security;Hour Sareth;2003;2050;2050;PA;Silent Lawyer;High;Unknown;x
13019;Head of Military Intelligence;Hour Sareth;2003;2050;2050;PA;Industrial Specialist;High;Unknown;x
