CON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
20501;Head of State;Joseph Kabila;2003;2050;2050;LWR;Resigned Generalissimo;High;Jkabila;x
20502;Head of Government;Likulia Bolongo;2003;2050;2050;LWR;Political Protege;High;Lbolongo;x
20503;Foreign Minister;Antipas Mbusa Nyamwisi;2003;2050;2050;LWR;Ideological Crusader;High;Amnyamwisi;x
20504;Minister of Armament;Adolphe Onusumba;2003;2050;2050;LWR;Corrupt Kleptocrat;High;Aonusumba;x
20505;Minister of Security;Denis Numbi;2003;2050;2050;LWR;Silent Lawyer;High;Dknumbi;x
20506;Head of Military Intelligence;Dieudonné Mbandakulu;2003;2050;2050;NA;Logistics Specialist;High;Dmbandakulu;x
20507;Chief of Staff;Baudouin Nyamuniobo;2003;2050;2050;NA;School of Psychology;High;Bnyamuniobo;x
20508;Chief of Army;Kisempia Sungilanga;2003;2050;2050;NA;Elastic Defence Doctrine;High;Ksungilanga;x
20509;Chief of Air Force;Bitanihirwa Kamara;2003;2050;2050;NA;Army Aviation Doctrine;High;Unknown;x
20510;Chief of Navy;Baudouin Nyamuniobo;2003;2050;2050;NA;Indirect Approach Doctrine;High;Dmbandakulu;x
;Replacements;;;;;;;x
20511;Head of Government;Antoine Gizenga;2003;2050;2050;LWR;Political Protege;High;Agizenga;x
20512;Head of Government;Adolphe Muzito;2003;2050;2050;LWR;Flamboyant Tough Guy;High;Amuzito;x
20513;Minister of Armament;Charles Mwando;2003;2050;2050;LWR;Corrupt Kleptocrat;High;Cmsimba;x
20514;Minister of Armament;Chikez Diemu;2003;2050;2050;LWR;Corrupt Kleptocrat;High;Cdiemu;x
20515;Chief of Staff;Kisempia Sungilanga;2003;2050;2050;NA;School of Fire Support;High;Ksungilanga;x
20516;Chief of Staff;Dieudonné Mbandakulu;2003;2050;2050;NA;School of Defence;High;Dmbandakulu;x
20517;Chief of Staff;Didier Longila;2003;2050;2050;NA;School of Psychology;High;Delongila;x
20518;Chief of Navy;Amuli Bahigwa;2003;2050;2050;NA;Base Control Doctrine;High;Unknown;x
20519;Chief of Army;Sylvain Buki;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Sbuki;x
