CRO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
18501;Head of State;Stjepan Mesic;2003;2050;2050;SD;Benevolent Gentleman;High;M18501;x
18502;Head of Government;Ivica Racan;2003;2050;2050;SD;Naive Optimist;High;Racan;x
18503;Foreign Minister;Tonino Picula;2003;2050;2050;SL;Great Compromiser;High;Picula;x
18504;Minister of Armament;Zeljka Antunovic;2003;2050;2050;SL;Corrupt Kleptocrat;High;Antunovic;x
18505;Minister of Security;Sime Lucin;2003;2050;2050;SL;Silent Lawyer;High;Lucin;x
18506;Head of Military Intelligence;Damir Loncaric;2003;2050;2050;SD;Political Specialist;High;Dloncaric;x
18507;Chief of Staff;Josip Lucic;2003;2050;2050;NA;School of Manoeuvre;High;M18507;x
18508;Chief of Army;Marijan Marekovic;2003;2050;2050;NA;Elastic Defence Doctrine;High;M18508;x
18509;Chief of Navy;Zdravko Kardum;2003;2050;2050;NA;Open Seas Doctrine;High;M18510;x
18510;Chief of Air Force;Viktor Koprivnjak;2003;2050;2050;NA;Army Aviation Doctrine;High;M18509;x
;Replacements;;;;;;;x
18511;Head of State;Jadranka Kosor;2003;2050;2050;ML;Weary Stiffneck;High;M18511;x
18512;Head of Government;Boris Miksic;2005;2050;2050;ML;Naive Optimist;High;Miksic;x
18513;Head of State;Anto Kovacevic;2005;2050;2050;PA;Autocratic Charmer;High;Akovacevic;x
18514;Head of Government;Damir Polancec;2010;2050;2050;ML;Political Protege;High;Polancec;x
18515;Head of Government;Ivo Sanader;2003;2050;2050;ML;Flamboyant Tough Guy;High;M18502;x
18516;Head of Government;Ivic Pasalic;2003;2050;2050;PA;Backroom Backstabber;High;Pasalic;x
18517;Head of Government;Zoran Milanovic;2007;2050;2050;SD;Naive Optimist;High;Zmilanovic;x
18518;Foreign Minister;Miomir Zuzul;2003;2050;2050;ML;Biased Intellectual;High;Zuzul;x
18519;Foreign Minister;Kolinda Grabar Kitarovic;2004;2050;2050;ML;Great Compromiser;High;M18503;x
18520;Foreign Minister;Mirjana Mladineo;2007;2050;2050;ML;Great Compromiser;High;Mladineo;x
18521;Foreign Minister;Neven Mimica;2003;2050;2050;SD;Great Compromiser;High;Mimica;x
18522;Head of State;Miroslav Tudjman;2003;2050;2050;PA;Weary Stiffneck;High;Tudjman;x
18523;Minister of Armament;Berislav Roncevic;2003;2050;2050;ML;Corrupt Kleptocrat;High;M18504;x
18524;Minister of Armament;Ljubo Cesic;2003;2050;2050;PA;Military Entrepreneur;High;Rojs;x
