CYP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
19501;Head of State;Tassos Papadopoulos;2003;2050;2050;SC;Popular Figurehead;High;M19501;x
19502;Head of Government;Tassos Papadopoulos;2003;2050;2050;SC;Corporate Suit;High;M19501;x
19503;Foreign Minister;Georgios Iacovou;2003;2050;2050;SC;Great Compromiser;High;M19503;x
19504;Minister of Armament;Kyriakos Macronicolas;2003;2050;2050;SC;Resource Industrialist;High;Unknown;x
19505;Minister of Security;Doros Theodorou;2003;2050;2050;SC;Compassionate Gentleman;High;M19505;x
19506;Head of Military Intelligence;Doros Theodorou;2003;2050;2050;SC;Political Specialist;High;Unknown;x
19507;Chief of Staff;Athanasios Nicolodemos;2003;2050;2050;SC;School of Defence;High;Unknown;x
19508;Chief of Army;Athanasios Nicolodemos;2003;2050;2050;SC;Static Defence Doctrine;High;Unknown;x
19509;Chief of Navy;Andreas Ioannides;2003;2050;2050;SC;Base Control Doctrine;High;Unknown;x
19510;Chief of Air Force;Unknown;2003;2050;2050;SC;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
