ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
87000;Head of State;Queen Elizabeth II;2003;2050;2050;ML;Popular Figurehead;High;M87000;x
87001;Head of Government;Tony Blair;2003;2050;2050;SL;Naive Optimist;High;M87001;x
87002;Foreign Minister;Jack Straw;2003;2050;2050;SL;Ideological Crusader;High;M87002;x
87003;Minister of Armament;Geoff Hoon;2003;2050;2050;SL;Corrupt Kleptocrat;High;Hoon;x
87004;Minister of Armament;David Blunkett;2003;2050;2050;SL;laissez-faire capitalist;High;M87004;x
87005;Head of Military Intelligence;Richard Dearlove;2003;2050;2050;SL;Political Specialist;High;M87005;x
87006;Chief of Staff;Michael Boyce;2003;2050;2050;NA;School of Psychology;High;M87006;x
87007;Chief of Army;Michael Jackson;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Jackson;x
87008;Chief of Navy;Alan West;2003;2050;2050;NA;Open Seas Doctrine;High;M87008;x
87009;Chief of Air Force;Peter Squire;2003;2050;2050;NA;Army Aviation Doctrine;High;Psquire;x
;Replacements;;;;;;;x
87011;Head of State;King Charles III;2003;2050;2050;SL;Popular Figurehead;High;Unknown;x
87012;Head of State;King Charles III;2003;2050;2050;ML;Popular Figurehead;High;Unknown;x
87013;Head of State;King William V;2003;2050;2050;ML;Popular Figurehead;High;Unknown;x
87014;Head of State;King William V;2003;2050;2050;SL;Popular Figurehead;High;Unknown;x
87015;Head of Government;Michael Howard;2003;2050;2050;ML;Backroom Backstabber;High;M87012;x
87016;Head of Government;Gordon Brown;2007;2050;2050;SL;Naive Optimist;High;Gbrowneng;x
87017;Foreign Minister;Liam Fox;2003;2050;2050;ML;Biased Intellectual;High;M87013;x
87018;Minister of Armament;George Osborne;2003;2050;2050;ML;Administrative Genius;High;M87014;x
87019;Minister of Armament;Vincent Cable;2003;2050;2050;SL;laissez-faire capitalist;High;M87015;x
87020;Minister of Security;David Davis;2003;2050;2050;ML;Crime Fighter;High;M87016;x
87021;Minister of Security;Mark Oaten;2003;2050;2050;SL;Man of the People;High;M87017;x
87022;Head of Military Intelligence;John Scarlett;2003;2050;2050;NA;Dismal Enigma;High;Unknown;x
87023;Head of Military Intelligence;Eliza Manningham-Buller;2003;2050;2050;SL;Industrial Specialist;High;Unknown;x
87024;Head of Military Intelligence;Weyman Bennett;2003;2050;2050;LWR;Political Specialist;High;Unknown;x
87025;Minister of Security;Charles Clarke;2003;2050;2050;SL;Crime Fighter;High;Cclarke;x
87026;Chief of Air Force;Geoff Hoon;2003;2050;2050;SL;Air Superiority Doctrine;High;Unknown;x
87027;Foreign Minister;Tony Lecomber;2003;2050;2050;FA;iron fisted brute;High;Unknown;x
87028;Foreign Minister;Valerie Amos;2003;2050;2050;SL;Great Compromiser;High;Amos;x
87029;Minister of Security;David Boothroyd;2012;2050;2050;SL;Compassionate Gentleman;High;Boothroyd;x
87030;Minister of Security;Steve Bullock;2003;2050;2050;SL;Man of the People;High;Bullock;x
87031;Foreign Minister;Matt Carter;2013;2050;2050;SL;Great Compromiser;High;Carter;x
87032;Foreign Minister;Michael Cashman;2004;2050;2050;SL;Ideological Crusader;High;Cashman;x
87033;Foreign Minister;Alun Davies;2005;2050;2050;SL;Biased Intellectual;High;Davies;x
87034;Minister of Armament;Howard Dawber;2012;2050;2050;SL;laissez-faire capitalist;High;Dawber;x
87035;Minister of Armament;Paul Drayson;2006;2050;2050;SL;Theoretical Scientist;High;Drayson;x
87036;Minister of Security;Clive Efford;2004;2050;2050;SL;Man of the People;High;Efford;x
87037;Foreign Minister;Robert Evans;2003;2050;2050;SL;Great Compromiser;High;Evans;x
87038;Minister of Security;Richard Howitt;2005;2050;2050;SL;Silent Lawyer;High;Howitt;x
87039;Minister of Armament;John Reid;2003;2050;2050;SL;laissez-faire capitalist;High;Reid;x
87040;Minister of Armament;Desmond Browne;2006;2050;2050;SL;laissez-faire capitalist;High;Browne;x
87041;Foreign Minister;Margaret Beckett;2006;2050;2050;SL;Apologetic Clerk;High;Beckett;x
87042;Foreign Minister;David Milliband;2007;2050;2050;SL;Biased Intellectual;High;Milliband;x
