ETH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
26001;Head of State;Girma Wolde-Giorgis;2003;2050;2050;SD;Popular Figurehead;High;Gwgiorgis;x
26002;Head of Government;Meles Zenawi;2003;2050;2050;SD;Ambitious Union Boss;High;Mzenawi;x
26003;Foreign Minister;Seyoum Mesfin;2003;2050;2050;SD;Biased Intellectual;High;Smesfin;x
26004;Minister of Armament;Kuma Demeksa;2003;2050;2050;SD;Administrative Genius;High;Kdemeksa;x
26005;Minister of Security;Assefa Kessito;2003;2050;2050;SD;Compassionate Gentleman;High;Akessito;x
26006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
26007;Chief of Staff;Samora Yunis;2003;2050;2050;NA;School of Fire Support;High;Unknown;x
26008;Chief of Army;Gabre Heard;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Gheard;x
26009;Chief of Air Force;Molla Hailemariam;2003;2050;2050;NA;Air Superiority Doctrine;High;Unknown;x
26010;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
26011;Chief of Staff;Samoran Yunus;2003;2050;2050;NA;School of Manoeuvre;High;Syunus;x
