GAB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
29501;Head of State;Omar Bongo Ondimba;2003;2050;2050;PA;Ruthless Powermonger;High;Obondimba;x
29502;Head of Government;Jean-François Emane;2003;2050;2050;PA;Political Protege;High;Jfemane;x
29503;Foreign Minister;Paul Toungui;2003;2050;2050;PA;Great Compromiser;High;Ptoungui;x
29504;Minister of Armament;Ali Bongo Ondimba;2003;2050;2050;PA;Corrupt Kleptocrat;High;Abondimba;x
29505;Minister of Security;Martin Mabala;2003;2050;2050;PA;Crime Fighter;High;Mmabala;x
29506;Head of Military Intelligence;Philippe Mayila;2003;2050;2050;PA;Political Specialist;High;Pmayila;x
29507;Chief of Staff;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
29508;Chief of Army;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
29509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
29510;Chief of Navy;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
29511;Head of State;Ali Bongo Ondimba;2003;2050;2050;PA;Ruthless Powermonger;High;Abondimba;X
29512;Head of Government;Jean Eyeghé Ndong;2003;2050;2050;PA;Flamboyant Tough Guy;High;Jendong;x
29513;Head of Government;Paul Mba;2003;2050;2050;PA;Happy Amateur;High;Pmba;x
29514;Minister of Security;Jean-François Ndongou;2003;2050;2050;PA;Silent Lawyer;High;Jfndongou;x
