GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
17701;Head of State;Eduard Shevardnadze;2003;2050;2050;SC;Benevolent Gentleman;High;M17701;x
17702;Head of Government;Avtandil Jorbenadze;2003;2050;2050;SC;Political Protege;High;M17702;x
17703;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17704;Foreign Minister;Irakli Menaghashvili;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17705;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17706;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17707;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17708;Head of Military Intelligence;Valeri Khaburdzania;2003;2050;2050;SC;Political Specialist;High;Unknown;x
17709;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
17710;Minister of Security;Koba Narchemashvili;2003;2050;2050;SC;Prince of Terror;High;Knarche;x
;Replacements;;;;;;;x
17711;Head of State;Mikhail Saakashvili;2003;2050;2050;ML;Die-hard Reformer;High;M17711;x
17712;Head of Government;Mikhail Saakashvili;2003;2050;2050;ML;Backroom Backstabber;High;M17711;x
17713;Head of State;Zurab Zhvania;2003;2050;2050;ML;Die-hard Reformer;High;Zhvania;x
17714;Foreign Minister;Giorgi Baramidze;2005;2050;2050;ML;Biased Intellectual;High;Baramidze;x
17715;Head of State;Zurab Noghaideli;2005;2050;2050;ML;Die-hard Reformer;High;Noghaideli;x
17716;Minister of Armament;Vladimer Gurgenidze;2007;2050;2050;ML;Administrative Genius;High;Gurgenidze;x
17717;Foreign Minister;Tedo Japaridze;2003;2050;2050;ML;Great Compromiser;High;Unknown;x
17718;Foreign Minister;Salome Zourabichvili;2003;2050;2050;ML;Ideological Crusader;High;Zourabichvili;x
17719;Foreign Minister;Gela Bezhuashvili;2005;2050;2050;ML;Apologetic Clerk;High;Bezhuashvili;x
17720;Foreign Minister;Irakli Alasania;2009;2050;2050;ML;Great Compromiser;High;Ialasania;x
17721;Minister of Armament;Irakli Okruashvili;2004;2050;2050;ML;Corrupt Kleptocrat;High;Iokruashvili;x
17722;Minister of Armament;Davit Kezerashvili;2007;2050;2050;ML;Corrupt Kleptocrat;High;Dkezerashvili;x
17723;Minister of Security;Irakli Okruashvili;2004;2050;2050;ML;Back Stabber;High;Iokruashvili;x
17724;Minister of Security;Igor Giorgadze;2003;2050;2050;PA;Crime Fighter;High;Igiorgadze;x
17725;Head of Military Intelligence;Igor Giorgadze;2003;2050;2050;PA;Political Specialist;High;Igiorgadze;x
17726;Head of State;Levan Gachechiladze;2008;2050;2050;SC;Barking Buffoon;High;Lgachechiladze;x
17727;Minister of Armament;Giorgi Muchaidze;2007;2050;2050;ML;Resource Industrialist;High;Gmuchaidze;x
17728;Foreign Minister;David Bakradze;2008;2050;2050;ML;Apologetic Clerk;High;Dbakradze;x
17729;Foreign Minister;Ekaterine Tkeshelashvili;2008;2050;2050;ML;Great Compromiser;High;Etkeshelashvili;x
17730;Minister of Security;Vano Merabishvili;2004;2050;2050;ML;Man of the People;High;Vmerabishvili;x
17731;Head of Government;Lado Gurgenidze;2007;2050;2050;ML;Political Protege;High;Lgurgenidze;x
17732;Head of Military Intelligence;Gela Bezhuashvili;2008;2050;2050;ML;Dismal Enigma;High;Bezhuashvili;x
17733;Chief of Staff;Zaza Gogava;2006;2050;2050;NA;School of Fire Support;High;Zgogava;x
17734;Chief of Staff;Zaza Gogava;2006;2050;2050;NA;School of Manoeuvre;High;Zgogava;x
