GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
31001;Head of State;Johannes Rau;2003;2050;2050;SD;Insignificant Layman;High;M31001;X
31002;Head of Government;Gerhard Schröder;2003;2050;2050;SL;Ambitious Union Boss;High;M31002;x
31003;Foreign Minister;Joschka Fischer;2003;2050;2050;SD;Great Compromiser;High;Joschka Fischer;X
31004;Minister of Armament;Wolfgang Clement;2003;2050;2050;SL;laissez-faire capitalist;High;M31004;X
31005;Minister of Security;Otto Schilly;2003;2050;2050;SL;Crime Fighter;High;M31005;X
31006;Head of Military Intelligence;August Hanning;2003;2050;2050;SL;Technical Specialist;High;M31006;X
31007;Chief of Staff;Wolfgang Schneiderhan;2003;2050;2050;SL;School of Defence;High;M31007;X
31008;Chief of Army;Hans-Otto Budde;2003;2050;2050;SD;Armoured Spearhead Doctrine;High;M31008;X
31009;Chief of Navy;Lutz Feldt;2003;2050;2050;SD;Open Seas Doctrine;High;M31009;X
31010;Chief of Air Force;Klaus Peter Stieglitz;2003;2050;2050;ML;Air Superiority Doctrine;High;M31010;X
;Replacements;;;;;;;x
31011;Head of State;Horst Köhler;2003;2050;2050;ML;Benevolent Gentleman;High;M31011;X
31012;Head of State;Udo Voigt;2003;2050;2050;FA;Powerhungry Demagogue;High;M31012;X
31013;Head of State;Gregor Gysi;2003;2050;2050;LWR;Die-hard Reformer;High;M31013;X
31014;Head of Government;Angela Merkel;2003;2050;2050;ML;Naive Optimist;High;M31014;X
31015;Head of Government;Holger Apfel;2003;2050;2050;FA;Flamboyant Tough Guy;High;M31015;X
31016;Head of Government;Lothar Bisky;2003;2050;2050;LWR;Naive Optimist;High;M31016;X
31017;Head of Government;Guido Westerwelle;2003;2050;2050;ML;Silent Workhorse;High;M31017;X
31018;Head of Government;Joschka Fischer;2003;2050;2050;SD;Ambitious Union Boss;High;Joschka Fischer;X
31019;Foreign Minister;Peter Marx;2003;2050;2050;FA;Iron Fisted Brute;High;M31188;X
31020;Foreign Minister;Wolfgang Gehrcke;2003;2050;2050;LWR;Ideological Crusader;High;M31020;X
31021;Foreign Minister;Guido Westerwelle;2003;2050;2050;ML;Apologetic Clerk;High;M31017;X
31022;Minister of Armament;Heidemarie Wieczorek-Zeul;2003;2050;2050;SD;Administrative Genius;High;M31022;X
31023;Minister of Armament;Hans Eichel;2003;2050;2050;SD;Resource Industrialist;High;M31023;X
31024;Minister of Armament;Sascha Roßmüller;2003;2050;2050;FA;Tank Proponent;High;M31024;X
31025;Minister of Armament;Rolf Kutzmutz;2003;2050;2050;LWR;Administrative Genius;High;M31025;X
31026;Minister of Armament;Renate Künast;2003;2050;2050;SD;Military Entrepreneur;High;M31026;X
31027;Minister of Security;Brigitte Zypries;2003;2050;2050;SL;Silent Lawyer;High;M31027;X
31028;Minister of Security;Ulrich Eigenfeld;2003;2050;2050;FA;Prince of Terror;High;M31028;X
31029;Minister of Security;Harald Werner;2003;2050;2050;LWR;Man of the People;High;M31029;X
31030;Head of Military Intelligence;Harald Werner;2003;2050;2050;LWR;Industrial Specialist;High;M31029;X
31031;Head of Military Intelligence;Ulrich Eigenfeld;2003;2050;2050;FA;Political Specialist;High;M31028;X
31032;Head of Military Intelligence;Otto Schilly;2003;2050;2050;SL;Dismal Enigma;High;M31005;X
31033;Head of State;Gesine Schwan;2003;2050;2050;SD;Benevolent Gentleman;High;M31033;X
31034;Head of State;Franz Müntefering;2003;2050;2050;SD;Stern Imperialist;High;M31034;X
31035;Head of State;Wolfgang Thierse;2003;2050;2050;SD;Autocratic Charmer;High;M31035;X
31036;Head of Government;Franz Müntefering;2003;2050;2050;SD;Silent Workhorse;High;M31034;X
31037;Head of Government;Peter Struck;2003;2050;2050;SD;Backroom Backstabber;High;M31037;X
31038;Head of Government;Matthias Platzeck;2003;2050;2050;SD;Ambitious Union Boss;High;M31038;X
31039;Head of Government;Kurt Beck;2003;2050;2050;SD;Naive Optimist;High;M31039;X
31040;Foreign Minister;Frank W. Steinmeier;2003;2050;2050;SD;Great Compromiser;High;M31040;X
31041;Foreign Minister;Martin Schulz;2003;2050;2050;SD;The Cloak N Dagger Schemer;High;M31041;X
31042;Foreign Minister;Matthias Platzeck;2003;2050;2050;SD;Biased Intellectual;High;M31038;X
31043;Minister of Armament;Peter Sruck;2003;2050;2050;SD;Administrative Genius;High;M31037;X
31044;Minister of Armament;Johannes Kahrs;2003;2050;2050;SD;Resource Industrialist;High;M31044;X
31045;Minister of Armament;Jörn Thießen;2003;2050;2050;SD;Military Entrepreneur;High;M31045;X
31046;Minister of Security;Sigmar Gabriel;2003;2050;2050;SD;Crime Fighter;High;M31046;X
31047;Minister of Security;Hermann Scherr;2003;2050;2050;SD;Back Stabber;High;M31047;X
