GLD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
31501;Head of State;John Kufuor;2003;2050;2050;ML;Die-hard Reformer;High;Jkufuor;x
31502;Head of Government;John Kufuor;2003;2050;2050;ML;Silent Workhorse;High;Jkufuor;x
31503;Foreign Minister;Hackman Owusu-Agyemang;2003;2050;2050;ML;Ideological Crusader;High;Hoagyemang;x
31504;Minister of Armament;Kwame Addo-Kufuor;2003;2050;2050;ML;Laissez-Faire Capitalist;High;Kakufuor;x
31505;Minister of Security;Malik Yakubu;2003;2050;2050;ML;Back Stabber;High;Myakubu;x
31506;Head of Military Intelligence;Yaw Donkor;2003;2050;2050;NA;Dismal Enigma;High;Ydonkor;x
31507;Chief of Staff;Seth Obeng;2003;2050;2050;NA;School of Psychology;High;Sobeng;x
31508;Chief of Army;Clayton Yaache;2003;2050;2050;NA;Elastic Defence Doctrine;High;Cyaache;x
31509;Chief of Air Force;Edward Mantey;2003;2050;2050;NA;Army Aviation Doctrine;High;Eamantey;x
31510;Chief of Navy;John Gbenah;2003;2050;2050;NA;Indirect Approach Doctrine;High;Unknown;x
;Replacements;;;;;;;x
31511;Head of State;John Atta Mills;2003;2050;2050;SL;Benevolent Gentleman;High;Jamills;x
31512;Head of Government;John Atta Mills;2003;2050;2050;SL;Corporate Suit;High;Jamills;x
31513;Head of State;Nana Akufo-Addo;2008;2050;2050;ML;Weary Stiffneck;High;Naaddo;x
31514;Head of Government;Nana Akufo-Addo;2008;2050;2050;ML;Naive Optimist;High;Naaddo;x
31515;Foreign Minister;Nana Akufo-Addo;2003;2050;2050;ML;Biased Intellectual;High;Naaddo;x
31516;Foreign Minister;Akwasi Osei-Adjei;2003;2050;2050;ML;Great Compromiser;High;Aoadjei;x
31517;Minister of Armament;Akwasi Osei-Adjei;2003;2050;2050;ML;Resource Industrialist;High;Aoadjei;x
31518;Foreign Minister;Muhammad Mumuni;2003;2050;2050;SL;Apologetic Clerk;High;Mmumuni;x
31519;Foreign Minister;Oboshie Sai-Cofie;2003;2050;2050;SL;Great Compromiser;High;Oscofie;x
31520;Foreign Minister;Aliu Mahama;2003;2050;2050;ML;Ideological Crusader;High;Amahama;x
31521;Minister of Security;Kwame Addo-Kufuor;2008;2050;2050;ML;Silent Lawyer;High;Kakufuor;x
31522;Minister of Armament;Albert Dapaah;2003;2050;2050;ML;Infantry Proponent;High;Adapaah;x
31523;Minister of Security;Cletus Avoka;2003;2050;2050;SL;Crime Fighter;High;Cavoka;x
31524;Minister of Security;Hackman Owusu-Agyemang;2003;2050;2050;ML;Compassionate Gentleman;High;Hoagyemang;x
31525;Minister of Security;Papa Owusu-Ankomah;2004;2050;2050;ML;Man of the People;High;Poankomah;x
31526;Minister of Armament;Joseph Smith;2008;2050;2050;NA;Military Entrepreneur;High;Jhsmith;x
31527;Minister of Armament;Abraham Osei-Aidooh;2004;2050;2050;ML;Administrative Genius;High;Aoaidooh;x
31528;Minister of Security;Stephen Boateng;2003;2050;2050;SL;Silent Lawyer;High;Sboateng;x
31529;Chief of Army;Samuel Odotei;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Sodotei;x
31530;Chief of Staff;Clayton Yaache;2005;2050;2050;NA;School of Defence;High;Cyaache;x
31531;Chief of Army;Joseph Adinkrah;2008;2050;2050;NA;Decisive Battle Doctrine;High;Jadinkrah;x
31532;Foreign Minister;Edward Mantey;2005;2050;2050;ML;General Staffer;High;Eamantey;x
31533;Chief of Air Force;Julius Boateng;2003;2050;2050;NA;Air Superiority Doctrine;High;Jboateng;x
31534;Chief of Air Force;Michael Oje;2008;2050;2050;NA;Naval Aviation Doctrine;High;Msoje;x
31535;Chief of Navy;Arthur Nunoo;2003;2050;2050;NA;Indirect Approach Doctrine;High;Unknown;x
31536;Chief of Navy;Matthew Quashie;2006;2050;2050;NA;Indirect Approach Doctrine;High;Mquarshie;x
31537;Chief of Staff;Joseph Boateng;2003;2050;2050;NA;School of Fire Support;High;Unknown;x
31538;Chief of Staff;Arthur Nunoo;2005;2050;2050;NA;School of Psychology;High;Unknown;x
31539;Chief of Staff;Paul Blay;2008;2050;2050;NA;School of Manoeuvre;High;Pablay;x
31540;Chief of Army;Paul Blay;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Pablay;x
31541;Chief of Army;Ahmed Abdulai;2003;2050;2050;NA;Guns and Butter Doctrine;High;Aabdulai;x
31542;Chief of Staff;Julius Danquah;2003;2050;2050;NA;School of Fire Support;High;Jdanquah;x
31543;Chief of Army;John Attipoe;2003;2050;2050;NA;Decisive Battle Doctrine;High;Jattipoe;x
31544;Chief of Navy;Muniru Tahiru;2008;2050;2050;NA;Indirect Approach Doctrine;High;Unknown;x
