GUA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
77101;Head of State;Enrique Bolaños;2003;2050;2050;ML;Insignificant Layman;High;M77101;x
77102;Head of Government;Enrique Bolaños;2003;2050;2050;ML;Corporate Suit;High;M77101;x
77103;Minister of Armament;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77104;Foreign Minister;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77105;Chief of Navy;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77106;Chief of Army;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77107;Chief of Air Force;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77108;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77109;Chief of Staff;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
77110;Minister of Security;Undistinguished suit;2003;2050;2050;SC;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
77111;Head of State;Daniel Ortega;2003;2050;2050;LWR;Resigned Generalissimo;High;M77111;x
77112;Head of Government;Daniel Ortega;2003;2050;2050;LWR;Flamboyant Tough Guy;High;M77111;x
