HOL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
11600;Head of State;Queen Beatrix;2003;2050;2050;SC;Popular Figurehead;High;M11600;x
11601;Head of Government;Jan Peter Balkenende;2003;2050;2050;SC;Silent Workhorse;High;M11601;x
11602;Foreign Minister;Ben Bot;2003;2050;2050;SC;General Staffer;High;M11602;x
11603;Minister of Armament;Henk Kamp;2003;2050;2050;SC;Military Entrepreneur;High;M11606;x
11604;Minister of Security;Piet Hein Donner;2003;2050;2050;SC;Man of the People;High;M11604;x
11605;Head of Military Intelligence;B.Dedden;2003;2050;2050;SC;Technical Specialist;High;Unknown;x
11606;Chief of Staff;Henk Kamp;2003;2050;2050;SC;School of Defence;High;M11606;x
11607;Chief of Army;Marcel Urlings;2003;2050;2050;SC;Guns and Butter Doctrine;High;M11607;x
11608;Chief of Navy;R.Klaver;2003;2050;2050;SC;Indirect Approach Doctrine;High;M11608;x
11609;Chief of Air Force;D.L.Berlijn;2003;2050;2050;SC;Naval Aviation Doctrine;High;M11609;x
;Replacements;;;;;;;x
