ICL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
533001;Head of State;Ólafur Ragnar Grímsson;2003;2050;2050;SL;Die-hard Reformer;High;M533001;x
533002;Head of Government;Davíd Oddsson;2003;2050;2050;SL;Ambitious Union Boss;High;M533002;x
533003;Foreign Minister;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533004;Minister of Armament;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533005;Minister of Security;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533006;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533007;Chief of Staff;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533008;Chief of Army;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533009;Chief of Navy;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
533010;Chief of Air Force;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
