INO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
37501;Head of State;Megawati Sukarnoputri;2003;2050;2050;SL;Barking Buffoon;High;M37501;x
37502;Head of Government;Megawati Sukarnoputri;2003;2050;2050;SL;Corporate Suit;High;M37501;x
37503;Foreign Minister;Hasan Wirajuda;2003;2050;2050;SL;Great Compromiser;High;Hwirajuda;x
37504;Minister of Armament;Matori Abdul Djalil;2003;2050;2050;SD;Administrative Genius;High;Madjalil;x
37505;Minister of Security;Muhammad Abdul Rachman;2003;2050;2050;SD;Man of the People;High;M37505;x
37506;Head of Military Intelligence;A. M. Hendropriyono;2003;2050;2050;SD;Political Specialist;High;M37506;x
37507;Chief of Staff;Endriartono Suarto;2003;2050;2050;NA;School of Fire Support;High;Esuarto;x
37508;Chief of Army;Ryamizad Ryacudu;2003;2050;2050;NA;Guns and Butter Doctrine;High;Rryacudu;x
37509;Chief of Navy;Bernard Kent Sondakh;2003;2050;2050;NA;Base Control Doctrine;High;M37509;x
37510;Chief of Air Force;Chappy Hakim;2003;2050;2050;NA;Air Superiority Doctrine;High;M37510;x
;Replacements;;;;;;;x
37511;Foreign Minister;Soemadi Brotodiningrat;2003;2050;2050;SL;Ideological Crusader;High;M37511;x
37512;Head of State;Susilo Bambang Yudhoyono;2004;2050;2050;ML;Die-hard Reformer;High;Sbyudhoyono;x
37513;Head of Government;Susilo Bambang Yudhoyono;2004;2050;2050;ML;Flamboyant Tough Guy;High;Sbyudhoyono;x
37514;Minister of Armament;Juwono Sudarsono;2003;2050;2050;ML;Administrative Genius;High;Jsudarsono;x
37515;Foreign Minister;Juwono Sudarsono;2003;2050;2050;ML;Ideological Crusader;High;Jsudarsono;x
37516;Chief of Army;Djoko Santoso;2003;2050;2050;NA;Decisive Battle Doctrine;High;Dsantoso;x
37517;Chief of Army;Agustadi Sasongko Purnomo;2006;2050;2050;NA;Armoured Spearhead Doctrine;High;Aspurnomo;x
37518;Chief of Staff;Djoko Suyanto;2006;2050;2050;NA;School of Fire Support;High;Dsuyanto;x
37519;Chief of Air Force;Djoko Suyanto;2004;2050;2050;NA;Air Superiority Doctrine;High;Dsuyanto;x
37520;Chief of Staff;Djoko Santoso;2007;2050;2050;NA;School of Psychology;High;Dsantoso;x
37521;Chief of Air Force;Herman Prayitno;2006;2050;2050;NA;Naval Aviation Doctrine;High;Hprayitno;x
37522;Chief of Air Force;Madya Soebandrio;2007;2050;2050;NA;Air Superiority Doctrine;High;Msoebandrio;x
37523;Chief of Navy;Slamet Soebijanto;2003;2050;2050;NA;Indirect Approach Doctrine;High;Ssoebijanto;x
