IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
39001;Head of State;Mary McAleese;2003;2050;2050;SL;Popular Figurehead;High;M39001;x 
39002;Head of Government;Bertie Ahern;2003;2050;2050;SC;Backroom Backstabber;High;M39002;x 
39003;Foreign Minister;Brian Cowen;2003;2050;2050;ML;Ideological Crusader;High;M39003;x 
39004;Minister of Armament;Charlie McCreevy;2003;2050;2050;ML;Laissez-Faire Capitalist;High;M39004;x 
39005;Minister of Security;Michael McDowell;2003;2050;2050;ML;Crime Fighter;High;M39005;x 
39006;Head of Military Intelligence;Unknown;2003;2050;2050;ML;Undistinguished Suit;High;M39006;x 
39007;Chief of Staff;Michael Smith;2003;2050;2050;SC;School of Fire Support;High;M39007;x 
39008;Chief of Army;Colm Mangan;2003;2050;2050;SL;Guns and Butter Doctrine;High;M39008;x 
39009;Chief of Navy;Frank Lynch;2003;2050;2050;SL;Open Seas Doctrine;High;M39009;x 
39010;Chief of Air Force;Colm Mangan;2003;2050;2050;SL;Naval Aviation Doctrine;High;M39008;x 
;Replacements;;;;;;;x
