ISR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
39501;Head of State;Ariel Sharon;2003;2050;2050;ML;Die-hard Reformer;High;M39501;x
39502;Head of Government;Moshe Katzav;2003;2050;2050;ML;Happy Amateur;High;M39502;x
39503;Foreign Minister;Silvan Shalom;2003;2050;2050;SC;Biased Intellectual;High;M39503;x
39504;Minister of Armament;Gidon Ezra;2003;2050;2050;ML;Administrative Genius;High;M39504;x
39505;Minister of Security;Shaul Mofaz;2003;2050;2050;ML;Prince of Terror;High;M39505;x
39506;Head of Military Intelligence;Aaron 'Farkash' Zeevi;2003;2050;2050;SL;Technical Specialist;High;M39506;x
39507;Chief of Staff;Moshe 'Bogy' Yeelon;2003;2050;2050;SL;School of Defence;High;M39507;x
39508;Chief of Army;Iftach Ron-Tal;2003;2050;2050;SC;Armoured Spearhead Doctrine;High;M39508;x
39509;Chief of Navy;Yedidia Yaari;2003;2050;2050;SC;Indirect Approach Doctrine;High;M39509;x
39510;Chief of Air Force;Eliezer Shakedi;2003;2050;2050;ML;Air Superiority Doctrine;High;M39510;x
;Replacements;;;;;;;x
39511;Head of State;Yosef Tomy Lapid;2003;2050;2050;ML;Stern Imperialist;High;M39511;x
39512;Head of State;Avigdor Liberman;2003;2050;2050;SC;Stern Imperialist;High;M39512;x
39513;Head of State;Binyamin Fuad Ben-Eliezer;2003;2050;2050;SL;Insignificant Layman;High;M39513;x
39514;Head of State;Itzhak Herzog;2003;2050;2050;SL;Pig-headed Isolationist;High;M39514;x
39515;Head of State;Effi Eitam;2003;2050;2050;SC;Autocratic Charmer;High;M39515;x
39516;Head of State;Yossi Faritzki;2003;2050;2050;ML;Weary Stiffneck;High;M39516;x
39517;Foreign Minister;Nathan Sheranski;2003;2050;2050;SL;iron fisted brute;High;M39517;x
39518;Foreign Minister;Haim Ramon;2003;2050;2050;SL;Great Compromiser;High;M39518;x
39519;Foreign Minister;Avraham 'Byge' Shochat;2003;2050;2050;SC;General Staffer;High;M39519;x
39520;Foreign Minister;Avraham Poraz;2003;2050;2050;ML;Ideological Crusader;High;M39520;x
39521;Foreign Minister;Ilan Leivovic;2003;2050;2050;ML;Apologetic Clerk;High;M39521;x
39522;Foreign Minister;Dani Yatom;2003;2050;2050;SL;Biased Intellectual;High;M39522;x
39523;Foreign Minister;Eli Yishai;2003;2050;2050;SL;Ideological Crusader;High;M39523;x
39524;Minister of Armament;Binyamin Netanyaho;2003;2050;2050;ML;Laissez-Faire Capitalist;High;M39524;x
39525;Minister of Armament;Matan Vilnai;2003;2050;2050;SC;Military Entrepreneur;High;M39525;x
39526;Minister of Armament;Uzi Landau;2003;2050;2050;SL;Infantry Proponent;High;M39526;x
39527;Minister of Armament;Eitan Kabel;2003;2050;2050;ML;air to ground proponent;High;M39527;x
39528;Minister of Armament;Ehud Yatom;2003;2050;2050;ML;Strategic Air Proponent;High;M39528;x
39529;Minister of Armament;Efraim Sne ;2003;2050;2050;SC;Battle Fleet Proponent;High;M39529;x
39530;Minister of Security;Shimon Peres;2003;2050;2050;SL;Compassionate Gentleman;High;M39530;x
39531;Minister of Security;Ehud Olmert;2003;2050;2050;SL;Silent Lawyer;High;M39531;x
39532;Minister of Security;Amram Mitzna;2003;2050;2050;SL;Crime Fighter;High;M39532;x
39533;Minister of Security;Ehud Ratzabi;2003;2050;2050;ML;Prince of Terror;High;M39533;x
39534;Minister of Security;Yuri Stern;2003;2050;2050;SC;Back Stabber;High;M39534;x
39535;Minister of Security;Eliezer Zandberg;2003;2050;2050;SC;Man of the People;High;M39535;x
39536;Head of Military Intelligence;Moshe Schori;2003;2050;2050;ML;Logistics Specialist;High;M39536;x
39537;Chief of Staff;Dan Halotz;2003;2050;2050;SL;School of Fire Support;High;M39537;x
39538;Chief of Staff;Gabi Ashkenazi;2003;2050;2050;SL;School of Psychology;High;M39538;x
39539;Chief of Staff;Moshe Kaplinski;2003;2050;2050;ML;School of Manoeuvre;High;M39539;x
39540;Chief of Army;Beni Genz;2003;2050;2050;SC;Elastic Defence Doctrine;High;M39540;x
39541;Chief of Navy;David Ben-Bashat;2003;2050;2050;SL;Open Seas Doctrine;High;M39541;x
39542;Chief of Air Force;Ido Nehoshtan;2003;2050;2050;ML;Army Aviation Doctrine;High;M39542;x
