KAZ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
42501;Head of State;Nursultan A. Nazarbayev;2003;2050;2050;SD;Autocratic Charmer;High;M42501;x
42502;Head of Government;Daniyal K. Akhmetov;2003;2050;2050;SD;Corporate Suit;High;M42502;x
42503;Foreign Minister;Kassymzhomart K. Tokaev;2003;2050;2050;SD;General Staffer;High;Unknown;x
42504;Minister of Armament;Mukhtar K. Altynbaev;2003;2050;2050;SD;laissez-faire capitalist;High;Unknown;x
42505;Minister of Security;Onalsyn I. Zhumabekov;2003;2050;2050;SD;Man of the People;High;Unknown;x
42506;Head of Military Intelligence;Onalsyn I. Zhumabekov;2003;2050;2050;SD;Logistics Specialist;High;Unknown;x
42507;Chief of Staff;Mukhtar K. Altynbaev;2003;2050;2050;SD;School of Fire Support;High;Unknown;x
42508;Chief of Army;Mukhtar K. Altynbaev;2003;2050;2050;SD;Guns and Butter Doctrine;High;Unknown;x
42509;Chief of Navy;Unknown;2003;2050;2050;SD;Decisive Naval Battle Doctrine;High;Unknown;x
42510;Chief of Air Force;Mukhtar K. Altynbaev;2003;2050;2050;SD;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
