KOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
75501;Head of State;Roh Moo-hyun;2003;2050;2050;SL;Benevolent Gentleman;High;M75501;x
75502;Head of Government;Goh Kun;2003;2050;2050;SD;Corporate Suit;High;M75502;x
75503;Foreign Minister;Yoon Young-kwan;2003;2050;2050;SL;Apologetic Clerk;High;M75503;x
75504;Minister of Armament;Yoon Jin-shik;2003;2050;2050;SD;Administrative Genius;High;M75504;x
75505;Minister of Security;Kang Kum-sil;2003;2050;2050;ML;Compassionate Gentleman;High;M75505;x
75506;Head of Military Intelligence;Cho Young-dong;2003;2050;2050;SD;Logistics Specialist;High;Unknown;x
75507;Chief of Staff;Jae Joon;2003;2050;2050;SD;School of Defence;High;M75507;x
75508;Chief of Army;Jong-hwan;2003;2050;2050;SD;Static Defence Doctrine;High;M75508;x
75509;Chief of Navy;Moon Jung-il;2003;2050;2050;SD;Indirect Approach Doctrine;High;Unknown;x
75510;Chief of Air Force;Kim Dae-wook;2003;2050;2050;ML;Carpet Bombing Doctrine;High;Unknown;x
;Replacements;;;;;;;x
75511;Minister of Armament;Park Ho-goon;2003;2050;2050;ML;Resource Industrialist;High;Unknown;x
75512;Chief of Staff;Yang Woo-chun;2003;2050;2050;SD;School of Mass Combat;High;Unknown;x
75513;Chief of Army;Jung Soo-sung;2003;2050;2050;SD;Guns and Butter Doctrine;High;Unknown;x
