KUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
591901;Head of State;Massoud Barzani;2003;2050;2050;SD;Die-hard Reformer;High;Mbarzani;x
591902;Head of Government;Nechervan Idris Barzani;2003;2050;2050;SD;Flamboyant Tough Guy;High;Nibarzani;x
591903;Minister of Armament;Omer Fattah Hussain;2003;2050;2050;ML;Administrative Genius;High;Ofhussain;x
591904;Foreign Minister;Hoshyar Zebari;2003;2050;2050;SC;Apologetic Clerk;High;M38517;x 
591905;Chief of Navy;Undistinguished Suit;2003;2050;2050;ML;Undistinguished Suit;High;Unknown;x
591906;Chief of Army;Undistinguished Suit;2003;2050;2050;ML;Undistinguished Suit;High;Unknown;x
591907;Chief of Air Force;Undistinguished Suit;2003;2050;2050;ML;Undistinguished Suit;High;Unknown;x
591908;Head of Military Intelligence;Masrour Barzani;2003;2050;2050;SD;Political Specialist;High;Mabarzani;x
591909;Chief of Staff;Undistinguished Suit;2003;2050;2050;ML;Undistinguished Suit;High;Unknown;x
591910;Minister of Security;Osman Hadji Mahmoud;2003;2050;2050;SD;Man of the People;High;Unknown;x
;Replacements;;;;;;;x
591911;Minister of Security;Abdul Karim Sinjari;2003;2050;2050;SD;Silent Lawyer;High;Aksinjari;x
591912;Head of State;Salaheddine Bahaaeddin;2003;2050;2050;SC;Benevolent Gentleman;High;Unknown;x
591913;Foreign Minister;Mohammad Tufik Rahim;2003;2050;2050;SD;Apologetic Clerk;High;Unknown;x
591914;Minister of Armament;Barham Salih;2003;2050;2050;SD;Theoretical Scientist;High;Bsalih;x
591915;Foreign Minister;Widad Akrawi;2003;2050;2050;SD;Ideological Crusader;High;Wakrawi;x
591916;Foreign Minister;Qubad Talabani;2007;2050;2050;SD;Great Compromiser;High;Qtalabani;x
591917;Foreign Minister;Howar Ziad;2003;2050;2050;SD;Biased Intellectual;High;Hziad;x
