LAO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
45501;Head of State;Khamtay Siphandone;2003;2050;2050;ST;Weary Stiffneck;High;Ksiphandone;x
45502;Head of Government;Boungnang Vorachith;2003;2050;2050;ST;Silent Workhorse;High;M258602;x
45503;Minister of Armament;Douangchay Phichit;2003;2050;2050;ST;Military Entrepreneur;High;Dphichit;x
45504;Foreign Minister;Somsavat Lengsavad;2003;2050;2050;ST;Ideological Crusader;High;Slengsavad;x
45505;Chief of Navy;Undistinguished suit;2003;2050;2050;ST;Undistinguished suit;High;Unknown;x
45506;Chief of Army;Undistinguished suit;2003;2050;2050;ST;Undistinguished suit;High;Unknown;x
45507;Chief of Air Force;Undistinguished suit;2003;2050;2050;ST;Undistinguished suit;High;Unknown;x
45508;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;ST;Undistinguished suit;High;Unknown;x
45509;Chief of Staff;Undistinguished suit;2003;2050;2050;ST;Undistinguished suit;High;Unknown;x
45510;Minister of Security;Thongbanh Sengaphone;2003;2050;2050;ST;Prince of Terror;High;Tsengaphone;x
;Replacements;;;;;;;x
45511;Head of State;Choummaly Sayasone;2003;2050;2050;ST;Weary Stiffneck;High;M258601;x
45512;Head of Government;Bouasone Bouphavanh;2003;2050;2050;ST;Flamboyant Tough Guy;High;Bbouphavanh;x
45513;Foreign Minister;Thongloun Sisoulith;2003;2050;2050;ST;Apologetic Clerk;High;Tsisoulith;x
45514;Head of State;Zong Zoua Her;2003;2050;2050;ML;Weary Stiffneck;High;Unknown;x
45515;Head of Government;Bounlet Saycocie;2003;2050;2050;SC;Old General;High;Unknown;x
